t_s,class,az_deg,dist_m
4.1,car,71,3.23
4.2,car,65,10.82
4.3,car,64,14.46
4.4,car,62,14.16
4.5,car,63,14.98
4.6,car,63,14.84
4.7,car,64,13.65
4.8,car,65,13.40
4.9,car,69,13.52
5.0,car,71,12.17
5.1,car,72,12.04
5.2,car,76,11.74
5.3,car,77,10.90
5.4,car,81,10.75
5.5,car,86,10.48
5.6,bike_bell,179,
5.6,car,87,10.81
5.7,bike_bell,160,
5.7,car,92,10.84
5.8,bike_bell,146,
5.8,car,98,11.53
5.9,bike_bell,-173,
5.9,car,102,10.73
6.0,bike_bell,162,
6.0,car,108,11.33
6.1,bike_bell,-167,
6.1,car,112,8.73
6.2,bike_bell,-166,
6.2,car,122,9.17
6.3,bike_bell,-166,
6.3,car,128,8.75
6.4,bike_bell,-164,
6.4,car,133,8.31
6.5,bike_bell,-163,
6.5,car,136,7.99
6.6,bike_bell,-163,
6.6,car,143,7.63
6.7,bike_bell,-162,
6.7,car,147,8.78
6.8,bike_bell,-160,
6.8,car,148,7.26
6.9,bike_bell,-159,
6.9,car,148,11.15
7.0,bike_bell,-157,
7.0,car,154,12.73
7.1,bike_bell,-158,
7.1,car,153,13.89
7.2,bike_bell,-148,
7.2,car,156,13.99
7.3,bike_bell,-136,
7.3,car,158,15.54
7.4,bike_bell,-125,
7.4,car,162,14.65
7.5,bike_bell,-110,
7.5,car,161,12.20
7.6,car,162,9.42
7.7,car,163,12.35
7.8,car,164,13.88
7.9,car,168,7.28
8.0,car,166,12.29
8.1,car,168,6.76
8.2,car,167,13.11
8.3,car,168,2.97
8.4,car,168,7.37
