t_s,class,az_deg,dist_m
0.4,siren,179,
0.5,siren,176,
0.6,siren,178,
0.7,siren,179,
0.8,siren,177,
0.9,siren,179,
1.0,siren,176,
1.1,siren,175,
1.2,siren,177,
1.3,siren,176,
1.4,siren,175,
1.5,siren,175,
1.6,siren,177,
1.7,siren,174,
1.8,siren,175,
1.9,siren,175,
2.0,siren,176,
2.1,siren,176,
2.2,siren,176,
2.3,siren,174,
2.4,siren,174,
2.5,siren,174,
2.6,siren,174,
2.7,siren,174,
2.8,siren,175,
2.9,siren,175,
3.0,siren,174,
3.1,siren,174,
3.2,siren,178,
3.3,siren,176,
3.4,siren,175,
3.5,siren,174,
3.6,siren,172,
3.7,siren,174,
3.8,siren,172,
3.9,siren,172,
4.0,siren,171,
4.1,siren,171,
4.2,siren,172,
4.3,siren,173,
4.4,siren,173,
4.5,siren,173,
4.6,siren,174,
4.7,siren,170,
4.8,siren,168,
4.9,siren,167,
5.0,siren,167,
5.1,siren,166,
5.2,siren,167,
5.3,siren,165,
5.4,siren,166,
5.5,siren,166,
5.6,siren,166,
5.7,siren,165,
5.8,siren,164,
5.9,siren,162,
6.0,siren,161,
6.1,siren,159,
6.2,siren,156,
6.3,siren,153,
6.4,siren,148,
6.5,siren,145,
6.6,siren,147,
6.7,siren,135,
6.8,siren,128,
6.9,siren,118,
7.0,siren,103,
7.1,siren,90,
7.2,siren,76,
7.3,siren,56,
7.4,siren,46,
7.5,siren,40,
7.6,siren,35,
7.7,siren,31,
7.8,siren,25,
7.9,siren,22,
8.0,siren,21,
8.1,siren,19,
8.2,siren,16,
8.3,siren,15,
8.4,siren,11,
8.5,siren,10,
8.6,siren,11,
8.7,siren,9,
8.8,siren,10,
8.9,siren,11,
9.0,siren,10,
9.1,siren,9,
9.2,siren,10,
9.3,siren,8,
9.4,siren,7,
9.5,siren,5,
9.6,siren,2,
9.7,siren,2,
9.8,siren,0,
9.9,siren,2,
10.0,siren,2,
