t_s,class,az_deg,dist_m
0.8,siren,2,
0.9,siren,0,
1.0,siren,0,
1.1,siren,0,
1.2,siren,0,
1.3,siren,0,
1.4,siren,-2,
1.5,siren,-4,
1.6,siren,-6,
1.7,siren,-5,
1.8,siren,-4,
1.9,siren,-4,
2.0,siren,-4,
2.3,siren,-2,
4.2,siren,0,
4.3,siren,-5,
4.4,siren,-6,
4.5,siren,-7,
4.6,siren,-7,
4.7,siren,-7,
4.8,siren,-6,
4.9,siren,-6,
5.0,siren,-4,
5.1,siren,-4,
5.2,siren,-2,
5.3,siren,-1,
5.4,siren,-3,
5.5,siren,-2,
5.6,siren,-3,
5.7,siren,-4,
5.8,siren,-3,
5.9,siren,-3,
6.0,siren,-4,
6.1,siren,-6,
6.2,siren,-7,
6.3,siren,-5,
6.4,siren,-6,
6.5,siren,-5,
6.6,siren,-3,
7.1,siren,0,
7.2,siren,0,
8.7,siren,0,
8.8,siren,-2,
8.9,siren,-4,
9.0,siren,-6,
9.1,siren,-5,
9.2,siren,-7,
9.3,siren,-5,
9.4,siren,-4,
9.5,siren,-6,
9.6,siren,-6,
9.7,siren,-4,
9.8,siren,-3,
9.9,siren,-4,
10.0,siren,-4,
