t_s,class,az_deg,dist_m
0.3,bike_bell,-96,
0.4,bike_bell,-93,
0.5,bike_bell,-94,
0.6,bike_bell,-92,
0.8,bike_bell,-92,
0.9,bike_bell,-92,
1.1,car,-87,0.51
1.2,car,-90,3.63
1.3,car,-90,2.28
1.4,car,-90,4.16
1.5,car,-90,4.18
1.6,car,-90,6.24
1.7,car,-90,5.66
1.8,car,-91,5.51
1.9,car,-91,6.67
2.0,car,-94,9.08
2.1,car,-93,8.10
2.2,car,-93,10.05
2.3,bike_bell,-104,
2.3,car,-92,8.12
2.4,bike_bell,-102,
2.4,car,-93,10.53
2.5,bike_bell,-100,
2.5,car,-91,11.19
2.6,bike_bell,-99,
2.6,car,-91,9.70
2.7,bike_bell,-100,
2.7,car,-91,8.98
2.8,bike_bell,-99,
2.8,car,-93,11.50
2.9,car,-92,11.30
3.0,car,-93,10.87
3.1,bike_bell,-104,
3.1,car,-93,11.74
3.2,car,-95,14.34
3.3,car,-96,13.31
3.4,bike_bell,-112,
3.4,car,-98,14.33
3.5,bike_bell,-113,
3.5,car,-102,13.39
3.6,car,-99,13.94
3.7,car,-100,13.65
3.8,car,-97,13.12
3.9,bike_bell,-110,
3.9,car,-99,13.01
4.0,car,-99,12.79
4.1,bike_bell,-112,
4.1,car,-103,11.68
4.2,car,-103,11.91
4.3,bike_bell,-108,
4.3,car,-105,11.79
4.4,car,-103,11.29
4.5,car,-108,11.42
4.6,car,-108,11.30
4.7,bike_bell,-115,
4.7,car,-110,11.34
4.8,car,-110,10.16
4.9,car,-112,10.09
5.0,car,-112,9.41
5.1,car,-111,9.36
5.2,car,-117,8.93
5.3,car,-116,8.06
5.4,car,-122,7.60
5.5,car,-126,7.58
5.6,car,-130,6.70
5.7,car,-135,6.82
5.8,car,-139,6.56
5.9,car,-143,6.10
6.0,car,-146,5.91
6.1,car,-151,6.20
6.2,car,-157,6.39
6.3,car,-160,7.18
6.4,car,-163,7.25
6.5,car,-172,6.83
6.6,car,176,6.07
6.7,car,166,5.26
6.8,car,159,4.71
6.9,car,148,4.48
7.0,car,147,5.21
7.1,car,144,4.19
7.2,car,142,4.71
7.3,car,138,5.42
7.4,car,133,5.26
7.5,car,128,5.98
7.6,car,125,5.79
7.7,car,125,5.92
7.8,car,122,6.83
7.9,car,117,7.09
8.0,car,117,6.93
8.1,car,114,7.32
8.2,car,114,7.09
8.3,car,110,8.09
8.4,car,107,7.68
8.5,car,104,8.39
8.6,car,102,8.99
8.7,car,99,9.64
8.8,car,95,9.64
8.9,car,95,10.26
9.0,car,90,10.48
9.1,car,93,10.25
9.2,car,89,10.87
9.3,car,89,11.17
9.4,car,87,11.34
9.5,car,87,11.14
9.6,car,87,12.07
9.7,car,87,10.99
9.8,car,88,11.13
9.9,car,88,10.86
10.0,car,91,11.31
