t_s,class,az_deg,dist_m
0.5,car,56,6.63
0.6,car,56,4.86
0.7,car,58,4.11
0.8,car,58,11.06
0.9,car,60,9.91
1.0,car,58,14.57
1.1,car,56,15.92
1.2,car,58,15.89
1.3,car,58,15.51
1.4,car,55,13.79
1.5,car,57,12.87
1.6,car,59,12.35
1.7,car,58,11.29
1.8,car,59,12.13
1.9,car,59,11.18
2.0,car,60,10.39
2.1,car,61,9.83
2.2,car,60,9.11
2.3,car,58,8.34
2.4,car,56,7.56
2.5,car,50,6.99
2.6,car,45,6.26
2.7,car,36,5.28
2.8,car,20,5.64
2.9,car,8,5.42
3.0,car,-1,2.70
3.0,car,-27,1.63
3.0,car,26,7.46
3.1,car,-70,1.45
3.1,car,21,10.42
3.2,car,-81,3.82
3.3,car,-89,5.01
3.4,car,-90,4.76
3.5,car,-94,5.37
3.6,car,-95,6.32
3.7,car,-96,7.15
3.8,car,-97,7.28
3.9,car,-96,7.38
4.0,car,-99,8.82
4.1,car,-100,8.28
4.2,car,-99,8.09
4.3,car,-98,8.68
4.4,car,-98,8.56
4.5,car,-96,7.30
4.6,car,-97,7.10
4.7,car,-99,5.60
4.8,car,-101,8.80
4.9,car,-102,8.36
5.0,car,-105,10.13
5.1,car,-102,9.54
5.2,car,-102,9.43
5.3,car,-104,9.02
5.4,car,-102,7.58
5.5,car,-102,7.12
5.6,car,-100,7.62
5.7,car,-99,6.58
5.8,car,-96,3.90
5.9,car,-97,5.31
