t_s,obj,class,az_deg,dist_m,vis
0.1,0,car,177.1,23.67,1
0.2,0,car,177.1,23.35,1
0.3,0,car,177.0,23.03,1
0.4,0,car,177.0,22.71,1
0.5,0,car,177.0,22.39,1
0.6,0,car,176.9,22.07,1
0.7,0,car,176.9,21.76,1
0.8,0,car,176.8,21.44,1
0.9,0,car,176.8,21.12,1
1.0,0,car,176.7,20.80,1
1.1,0,car,176.7,20.48,1
1.2,0,car,176.6,20.16,1
1.3,0,car,176.6,19.84,1
1.4,0,car,176.5,19.52,1
1.5,0,car,176.5,19.20,1
1.6,0,car,176.4,18.89,1
1.7,0,car,176.3,18.57,1
1.8,0,car,176.3,18.25,1
1.9,0,car,176.2,17.93,1
2.0,0,car,176.1,17.61,1
2.1,0,car,176.1,17.29,1
2.2,0,car,176.0,16.97,1
2.3,0,car,175.9,16.65,1
2.4,0,car,175.8,16.34,1
2.5,0,car,175.8,16.02,1
2.6,0,car,175.7,15.70,1
2.7,0,car,175.6,15.38,1
2.8,0,car,175.5,15.06,1
2.9,0,car,175.4,14.74,1
3.0,0,car,175.3,14.43,1
3.1,0,car,175.2,14.11,1
3.2,0,car,175.1,13.79,1
3.3,0,car,175.0,13.47,1
3.4,0,car,174.8,13.15,1
3.5,0,car,174.7,12.83,1
3.6,0,car,174.6,12.52,1
3.7,0,car,174.4,12.20,1
3.8,0,car,174.3,11.88,1
3.9,0,car,174.1,11.56,1
4.0,0,car,173.9,11.24,1
4.1,0,car,173.8,10.93,1
4.2,0,car,173.6,10.61,1
4.3,0,car,173.4,10.29,1
4.4,0,car,173.2,9.98,1
4.5,0,car,172.9,9.66,1
4.6,0,car,172.7,9.34,1
4.7,0,car,172.5,9.02,1
4.8,0,car,172.2,8.71,1
4.9,0,car,171.9,8.39,1
5.0,0,car,171.6,8.08,1
5.1,0,car,171.2,7.76,1
5.2,0,car,170.8,7.44,1
5.3,0,car,170.4,7.13,1
5.4,0,car,170.0,6.81,1
5.5,0,car,169.5,6.50,1
5.6,0,car,169.0,6.19,1
5.7,0,car,168.4,5.87,1
5.8,0,car,167.7,5.56,1
5.9,0,car,166.9,5.25,1
6.0,0,car,166.1,4.94,1
6.1,0,car,165.2,4.63,1
6.2,0,car,164.1,4.32,1
6.3,0,car,162.8,4.02,1
6.4,0,car,161.4,3.71,1
6.5,0,car,159.7,3.41,1
6.6,0,car,157.6,3.12,1
6.7,0,car,155.1,2.82,1
6.8,0,car,152.1,2.54,1
6.9,0,car,148.3,2.26,1
7.0,0,car,143.5,2.00,1
7.1,0,car,137.3,1.75,1
7.2,0,car,129.2,1.54,1
7.3,0,car,118.6,1.36,1
7.4,0,car,105.6,1.24,1
7.5,0,car,90.7,1.20,1
7.6,0,car,75.8,1.24,1
7.7,0,car,62.6,1.36,1
7.8,0,car,51.9,1.54,1
7.9,0,car,43.7,1.75,1
8.0,0,car,37.3,2.00,1
8.1,0,car,32.4,2.26,1
8.2,0,car,28.5,2.54,1
8.3,0,car,25.4,2.82,1
8.4,0,car,22.9,3.12,1
8.5,0,car,20.8,3.41,1
8.6,0,car,19.1,3.71,1
8.7,0,car,17.6,4.02,1
8.8,0,car,16.3,4.32,1
8.9,0,car,15.2,4.63,1
9.0,0,car,14.2,4.94,1
9.1,0,car,13.4,5.25,1
9.2,0,car,12.6,5.56,1
9.3,0,car,11.9,5.87,1
9.4,0,car,11.3,6.19,1
9.5,0,car,10.8,6.50,1
9.6,0,car,10.3,6.81,1
9.7,0,car,9.8,7.13,1
9.8,0,car,9.4,7.44,1
9.9,0,car,9.0,7.76,1
