t_s,class,az_deg,dist_m
0.3,car,177,6.12
0.4,car,177,7.64
0.5,car,179,18.85
0.6,car,179,18.76
0.7,car,-179,20.79
0.8,car,-179,25.08
0.9,car,-179,26.89
1.0,car,179,27.14
1.1,car,-179,27.08
1.2,car,-178,27.19
1.3,car,-179,28.38
1.4,car,-179,27.06
1.5,car,-179,26.34
1.6,car,-179,24.94
1.7,car,179,23.20
1.8,car,-179,22.89
1.9,car,-179,19.83
2.0,car,-179,22.21
2.1,car,179,20.33
2.2,car,-179,21.28
2.3,car,-179,21.79
2.4,car,179,21.09
2.5,car,179,21.69
2.6,car,-179,22.84
2.7,car,-179,22.65
2.8,car,-178,21.36
2.9,car,-178,22.91
3.0,car,-178,21.93
3.1,car,-177,21.08
3.2,car,-179,19.87
3.3,car,-176,17.86
3.4,car,-176,16.41
3.5,car,-177,16.43
3.6,car,-175,14.56
3.7,car,-177,15.15
3.8,car,-177,14.62
3.9,car,-176,14.11
4.0,car,-176,13.44
4.1,car,-175,11.95
4.2,car,-176,12.13
4.3,car,-177,11.66
4.4,car,-176,11.11
4.5,car,-177,11.18
4.6,car,-177,10.76
4.7,car,-177,10.10
4.8,car,-176,10.01
4.9,car,-175,9.17
5.0,car,-176,8.32
5.1,car,-175,8.12
5.2,car,-174,7.01
5.3,car,-172,6.30
5.4,car,-171,5.61
5.5,car,-171,4.91
5.6,car,-169,5.13
5.7,car,-167,4.25
5.8,car,-166,3.72
5.9,car,-164,3.47
6.0,car,-161,2.83
6.1,car,-157,2.58
6.2,car,-150,2.25
6.3,car,-143,2.01
6.4,car,-130,1.61
6.5,car,-104,1.45
6.6,car,-78,1.68
6.7,car,-56,2.10
6.8,car,-42,2.45
6.9,car,-28,3.09
7.0,car,-22,3.76
7.1,car,-20,4.07
7.2,car,-15,4.71
7.3,car,-12,4.95
7.4,car,-11,5.27
7.5,car,-11,5.59
7.6,car,-10,6.20
7.7,car,-9,6.31
7.8,car,-9,6.52
7.9,car,-9,7.06
8.0,car,-8,7.60
8.1,car,-8,8.06
8.2,car,-7,8.58
8.3,car,-7,8.47
8.4,car,-6,9.11
8.5,car,-6,9.41
8.6,car,-5,9.73
8.7,car,-5,10.15
8.8,car,-4,10.46
8.9,car,-4,10.77
9.0,car,-4,10.96
9.1,car,-4,11.50
9.2,car,-3,11.83
9.3,car,-4,12.49
9.4,car,-3,12.89
9.5,car,-4,13.96
9.6,car,-3,15.46
9.7,car,-3,15.76
9.8,car,-3,15.89
9.9,car,-2,17.14
10.0,car,-3,19.58
