t_s,class,az_deg,dist_m
0.8,bike,-85,0.90
0.9,bike,-85,1.04
1.0,bike,-87,1.10
1.1,bike,-84,1.24
1.2,bike,-87,0.90
1.3,bike,-86,2.04
1.4,bike,-89,0.98
1.5,bike,-87,1.68
1.6,bike,-88,2.26
1.7,bike,-88,2.22
1.8,bike,-85,2.49
1.9,bike,-84,2.87
2.0,bike,-88,1.80
2.1,bike,-87,2.62
2.2,bike,-85,2.55
2.3,bike,-86,3.12
2.4,bike,-83,3.92
2.5,bike,-84,3.53
2.6,bike,-85,3.61
2.7,bike,-86,3.26
2.8,bike,-91,2.29
2.9,bike,-86,3.41
3.0,bike,-85,3.39
3.1,bike,-87,3.08
3.2,bike,-84,3.06
3.3,bike,-88,2.27
3.4,bike,-89,1.44
3.5,bike,-91,0.95
3.6,crossing,-68,
3.6,crossing,-95,
3.7,crossing,-61,
3.7,crossing,-90,
3.8,crossing,-47,
3.8,crossing,-90,
3.9,crossing,-48,
3.9,crossing,-84,
4.0,crossing,-58,
4.0,crossing,-84,
4.1,crossing,-57,
4.1,crossing,-74,
4.2,crossing,-59,
4.2,crossing,-81,
4.3,crossing,-50,
4.4,crossing,-48,
4.4,crossing,-72,
4.5,crossing,-46,
4.5,crossing,-67,
4.6,crossing,-44,
4.6,crossing,-75,
4.7,crossing,-49,
4.7,crossing,-85,
4.8,crossing,-47,
4.8,crossing,-86,
4.9,crossing,-52,
4.9,crossing,-86,
5.0,crossing,-54,
5.0,crossing,-80,
5.1,crossing,-48,
5.1,crossing,-80,
5.2,crossing,-56,
5.2,crossing,-87,
5.3,crossing,-59,
5.3,crossing,-83,
5.4,crossing,-54,
5.4,crossing,-80,
5.5,crossing,-62,
5.5,crossing,-85,
5.6,crossing,-58,
5.6,crossing,-84,
5.7,crossing,-49,
5.7,crossing,-81,
5.8,crossing,-58,
5.8,crossing,-89,
5.9,crossing,-63,
5.9,crossing,-99,
6.0,crossing,-72,
6.0,crossing,-56,
6.0,crossing,-99,
7.1,car,-75,1.08
7.1,car,-84,0.88
7.2,car,104,1.65
7.2,car,-85,0.56
7.3,car,-78,0.57
8.6,bike,-175,2.67
8.8,bike,179,3.68
8.9,bike,176,4.19
9.0,bike,175,4.63
9.2,crossing,-176,
9.3,crossing,-175,
9.4,crossing,-179,
9.5,crossing,-177,
9.6,crossing,-178,
9.7,crossing,179,
9.8,crossing,179,
9.9,crossing,179,
10.0,crossing,175,
