t_s,obj,class,az_deg,dist_m,vis
0.2,0,train,-84.4,63.91,1
0.3,0,train,-84.3,62.24,1
0.4,0,train,-84.3,60.58,1
0.5,0,train,-84.2,58.92,1
0.6,0,train,-84.2,57.25,1
0.7,0,train,-84.1,55.59,1
0.8,0,train,-84.1,53.93,1
0.9,0,train,-84.0,52.27,1
1.0,0,train,-83.9,50.61,1
1.1,0,train,-83.9,48.95,1
1.2,0,train,-83.8,47.29,1
1.3,0,train,-83.7,45.63,1
1.4,0,train,-83.6,43.98,1
1.5,0,train,-83.5,42.32,1
1.6,0,train,-83.4,40.67,1
1.7,0,train,-83.3,39.02,1
1.8,0,train,-83.2,37.36,1
1.9,0,train,-83.0,35.72,1
2.0,0,train,-82.9,34.07,1
2.1,0,train,-82.7,32.42,1
2.2,0,train,-82.5,30.78,1
2.3,0,train,-82.3,29.14,1
2.4,0,train,-82.1,27.51,1
2.5,0,train,-81.8,25.88,1
2.6,0,train,-81.5,24.25,1
2.7,0,train,-81.2,22.63,1
2.8,0,train,-80.7,21.02,1
2.9,0,train,-80.3,19.43,1
3.0,0,train,-79.7,17.84,1
3.1,0,train,-79.0,16.27,1
3.2,0,train,-78.1,14.72,1
3.3,0,train,-77.1,13.21,1
3.4,0,train,-75.6,11.73,1
3.5,0,train,-73.7,10.32,1
3.6,0,train,-70.8,8.99,1
3.7,0,train,-66.4,7.80,1
3.8,0,train,-58.6,6.81,1
3.9,0,train,-42.9,6.13,1
4.0,0,train,-8.1,5.85,1
4.1,0,train,36.2,6.05,1
4.2,0,train,59.7,6.67,1
4.3,0,train,70.5,7.61,1
4.4,0,train,76.3,8.78,1
4.5,0,train,79.9,10.08,1
4.6,0,train,82.3,11.48,1
4.7,0,train,84.0,12.95,1
4.8,0,train,85.3,14.46,1
4.9,0,train,86.3,16.00,1
5.0,0,train,87.1,17.57,1
5.1,0,train,87.7,19.15,1
5.2,0,train,88.3,20.75,1
5.3,0,train,88.8,22.36,1
5.4,0,train,89.2,23.98,1
5.5,0,train,89.5,25.60,1
5.6,0,train,89.8,27.23,1
5.7,0,train,90.1,28.86,1
5.8,0,train,90.3,30.50,1
5.9,0,train,90.5,32.14,1
6.0,0,train,90.7,33.79,1
6.1,0,train,90.9,35.43,1
6.2,0,train,91.0,37.08,1
6.3,0,train,91.2,38.73,1
6.4,0,train,91.3,40.39,1
6.5,0,train,91.4,42.04,1
6.6,0,train,91.5,43.69,1
6.7,0,train,91.6,45.35,1
6.8,0,train,91.7,47.01,1
6.9,0,train,91.8,48.67,1
7.0,0,train,91.9,50.33,1
7.1,0,train,92.0,51.99,1
7.2,0,train,92.1,53.65,1
7.3,0,train,92.1,55.31,1
7.4,0,train,92.2,56.97,1
7.5,0,train,92.2,58.63,1
7.6,0,train,92.3,60.30,1
7.7,0,train,92.4,61.96,1
7.8,0,train,92.4,63.62,1
7.9,0,train,92.5,65.29,1
8.0,0,train,92.5,66.95,1
8.1,0,train,92.5,68.62,1
8.2,0,train,92.6,70.28,1
8.3,0,train,92.6,71.95,1
8.4,0,train,92.7,73.61,1
8.5,0,train,92.7,75.28,1
8.6,0,train,92.7,76.94,1
8.7,0,train,92.8,78.61,1
8.8,0,train,92.8,80.28,1
8.9,0,train,92.8,81.94,1
9.0,0,train,92.9,83.61,1
9.1,0,train,92.9,85.28,1
9.2,0,train,92.9,86.94,1
9.3,0,train,92.9,88.61,1
9.4,0,train,93.0,90.28,1
9.5,0,train,93.0,91.95,1
9.6,0,train,93.0,93.61,1
9.7,0,train,93.0,95.28,1
9.8,0,train,93.1,96.95,1
9.9,0,train,93.1,98.62,1
0.3,1,train,-85.7,82.10,1
0.4,1,train,-85.7,80.44,1
0.5,1,train,-85.7,78.77,1
0.6,1,train,-85.7,77.10,1
0.7,1,train,-85.7,75.44,1
0.8,1,train,-85.7,73.77,1
0.9,1,train,-85.7,72.10,1
1.0,1,train,-85.7,70.44,1
1.1,1,train,-85.7,68.77,1
1.2,1,train,-85.6,67.11,1
1.3,1,train,-85.6,65.44,1
1.4,1,train,-85.6,63.78,1
1.5,1,train,-85.6,62.11,1
1.6,1,train,-85.6,60.45,1
1.7,1,train,-85.6,58.78,1
1.8,1,train,-85.6,57.12,1
1.9,1,train,-85.5,55.46,1
2.0,1,train,-85.5,53.80,1
2.1,1,train,-85.5,52.13,1
2.2,1,train,-85.5,50.47,1
2.3,1,train,-85.5,48.81,1
2.4,1,train,-85.4,47.15,1
2.5,1,train,-85.4,45.49,1
2.6,1,train,-85.4,43.84,1
2.7,1,train,-85.4,42.18,1
2.8,1,train,-85.3,40.52,1
2.9,1,train,-85.3,38.87,1
3.0,1,train,-85.3,37.21,1
3.1,1,train,-85.2,35.56,1
3.2,1,train,-85.2,33.91,1
3.3,1,train,-85.1,32.27,1
3.4,1,train,-85.1,30.62,1
3.5,1,train,-85.0,28.98,1
3.6,1,train,-85.0,27.34,1
3.7,1,train,-84.9,25.71,1
3.8,1,train,-84.8,24.08,1
3.9,1,train,-84.7,22.45,1
4.0,1,train,-84.6,20.84,1
4.1,1,train,-84.4,19.23,1
4.2,1,train,-84.3,17.64,1
4.3,1,train,-84.1,16.06,1
4.4,1,train,-83.8,14.50,1
4.5,1,train,-83.5,12.97,1
4.6,1,train,-83.1,11.48,1
4.7,1,train,-82.5,10.05,1
4.8,1,train,-81.6,8.71,1
4.9,1,train,-80.2,7.49,1
5.0,1,train,-77.6,6.48,1
5.1,1,train,-70.6,5.79,1
5.2,1,train,-25.4,5.53,1
5.3,1,train,72.2,5.76,1
5.4,1,train,83.8,6.44,1
5.5,1,train,87.4,7.44,1
5.6,1,train,89.2,8.64,1
5.7,1,train,90.2,9.98,1
5.8,1,train,90.9,11.41,1
5.9,1,train,91.4,12.90,1
6.0,1,train,91.8,14.43,1
6.1,1,train,92.0,15.98,1
6.2,1,train,92.3,17.56,1
6.3,1,train,92.5,19.16,1
6.4,1,train,92.6,20.76,1
6.5,1,train,92.7,22.38,1
6.6,1,train,92.8,24.00,1
6.7,1,train,92.9,25.63,1
6.8,1,train,93.0,27.26,1
6.9,1,train,93.1,28.90,1
7.0,1,train,93.2,30.54,1
7.1,1,train,93.2,32.19,1
7.2,1,train,93.3,33.83,1
7.3,1,train,93.3,35.48,1
7.4,1,train,93.4,37.13,1
7.5,1,train,93.4,38.79,1
7.6,1,train,93.5,40.44,1
7.7,1,train,93.5,42.10,1
7.8,1,train,93.5,43.75,1
7.9,1,train,93.5,45.41,1
8.0,1,train,93.6,47.07,1
8.1,1,train,93.6,48.73,1
8.2,1,train,93.6,50.39,1
8.3,1,train,93.6,52.05,1
8.4,1,train,93.7,53.71,1
8.5,1,train,93.7,55.38,1
8.6,1,train,93.7,57.04,1
8.7,1,train,93.7,58.70,1
8.8,1,train,93.7,60.37,1
8.9,1,train,93.7,62.03,1
9.0,1,train,93.8,63.70,1
9.1,1,train,93.8,65.36,1
9.2,1,train,93.8,67.03,1
9.3,1,train,93.8,68.69,1
9.4,1,train,93.8,70.36,1
9.5,1,train,93.8,72.02,1
9.6,1,train,93.8,73.69,1
9.7,1,train,93.8,75.35,1
9.8,1,train,93.9,77.02,1
9.9,1,train,93.9,78.69,1
0.4,2,train,-86.6,100.35,1
0.5,2,train,-86.6,98.68,1
0.6,2,train,-86.6,97.01,1
0.7,2,train,-86.6,95.34,1
0.8,2,train,-86.6,93.68,1
0.9,2,train,-86.6,92.01,1
1.0,2,train,-86.6,90.34,1
1.1,2,train,-86.6,88.67,1
1.2,2,train,-86.6,87.01,1
1.3,2,train,-86.7,85.34,1
1.4,2,train,-86.7,83.67,1
1.5,2,train,-86.7,82.00,1
1.6,2,train,-86.7,80.34,1
1.7,2,train,-86.7,78.67,1
1.8,2,train,-86.7,77.00,1
1.9,2,train,-86.7,75.34,1
2.0,2,train,-86.7,73.67,1
2.1,2,train,-86.8,72.00,1
2.2,2,train,-86.8,70.34,1
2.3,2,train,-86.8,68.67,1
2.4,2,train,-86.8,67.01,1
2.5,2,train,-86.8,65.34,1
2.6,2,train,-86.8,63.68,1
2.7,2,train,-86.9,62.01,1
2.8,2,train,-86.9,60.35,1
2.9,2,train,-86.9,58.69,1
3.0,2,train,-86.9,57.02,1
3.1,2,train,-87.0,55.36,1
3.2,2,train,-87.0,53.70,1
3.3,2,train,-87.0,52.04,1
3.4,2,train,-87.0,50.37,1
3.5,2,train,-87.1,48.71,1
3.6,2,train,-87.1,47.05,1
3.7,2,train,-87.1,45.40,1
3.8,2,train,-87.2,43.74,1
3.9,2,train,-87.2,42.08,1
4.0,2,train,-87.3,40.43,1
4.1,2,train,-87.3,38.77,1
4.2,2,train,-87.4,37.12,1
4.3,2,train,-87.4,35.47,1
4.4,2,train,-87.5,33.82,1
4.5,2,train,-87.6,32.17,1
4.6,2,train,-87.7,30.53,1
4.7,2,train,-87.8,28.89,1
4.8,2,train,-87.9,27.25,1
4.9,2,train,-88.0,25.61,1
5.0,2,train,-88.1,23.99,1
5.1,2,train,-88.3,22.36,1
5.2,2,train,-88.5,20.75,1
5.3,2,train,-88.7,19.15,1
5.4,2,train,-88.9,17.55,1
5.5,2,train,-89.2,15.98,1
5.6,2,train,-89.6,14.42,1
5.7,2,train,-90.1,12.90,1
5.8,2,train,-90.8,11.41,1
5.9,2,train,-91.7,9.99,1
6.0,2,train,-93.1,8.65,1
6.1,2,train,-95.4,7.45,1
6.2,2,train,-99.7,6.46,1
6.3,2,train,-110.9,5.80,1
6.4,2,train,-162.7,5.57,1
6.5,2,train,125.4,5.83,1
6.6,2,train,110.1,6.53,1
6.7,2,train,104.8,7.53,1
6.8,2,train,102.1,8.75,1
6.9,2,train,100.5,10.09,1
7.0,2,train,99.5,11.52,1
7.1,2,train,98.8,13.01,1
7.2,2,train,98.2,14.54,1
7.3,2,train,97.8,16.09,1
7.4,2,train,97.4,17.67,1
7.5,2,train,97.1,19.26,1
7.6,2,train,96.9,20.87,1
7.7,2,train,96.7,22.48,1
7.8,2,train,96.5,24.11,1
7.9,2,train,96.4,25.74,1
8.0,2,train,96.2,27.37,1
8.1,2,train,96.1,29.01,1
8.2,2,train,96.0,30.65,1
8.3,2,train,95.9,32.29,1
8.4,2,train,95.9,33.94,1
8.5,2,train,95.8,35.59,1
8.6,2,train,95.7,37.24,1
8.7,2,train,95.6,38.89,1
8.8,2,train,95.6,40.55,1
8.9,2,train,95.5,42.20,1
9.0,2,train,95.5,43.86,1
9.1,2,train,95.4,45.52,1
9.2,2,train,95.4,47.18,1
9.3,2,train,95.4,48.84,1
9.4,2,train,95.3,50.50,1
9.5,2,train,95.3,52.16,1
9.6,2,train,95.3,53.82,1
9.7,2,train,95.2,55.48,1
9.8,2,train,95.2,57.15,1
9.9,2,train,95.2,58.81,1
0.4,3,train,-87.1,120.29,1
0.5,3,train,-87.2,118.62,1
0.6,3,train,-87.2,116.95,1
0.7,3,train,-87.2,115.28,1
0.8,3,train,-87.2,113.62,1
0.9,3,train,-87.2,111.95,1
1.0,3,train,-87.2,110.28,1
1.1,3,train,-87.3,108.61,1
1.2,3,train,-87.3,106.94,1
1.3,3,train,-87.3,105.27,1
1.4,3,train,-87.3,103.61,1
1.5,3,train,-87.3,101.94,1
1.6,3,train,-87.3,100.27,1
1.7,3,train,-87.4,98.60,1
1.8,3,train,-87.4,96.93,1
1.9,3,train,-87.4,95.27,1
2.0,3,train,-87.4,93.60,1
2.1,3,train,-87.5,91.93,1
2.2,3,train,-87.5,90.26,1
2.3,3,train,-87.5,88.60,1
2.4,3,train,-87.5,86.93,1
2.5,3,train,-87.6,85.26,1
2.6,3,train,-87.6,83.60,1
2.7,3,train,-87.6,81.93,1
2.8,3,train,-87.7,80.26,1
2.9,3,train,-87.7,78.60,1
3.0,3,train,-87.7,76.93,1
3.1,3,train,-87.8,75.26,1
3.2,3,train,-87.8,73.60,1
3.3,3,train,-87.8,71.93,1
