t_s,obj,class,az_deg,dist_m,vis
0.1,0,car,-171.8,17.19,1
0.2,0,car,-171.5,16.47,1
0.3,0,car,-171.1,15.77,1
0.4,0,car,-170.6,15.08,1
0.5,0,car,-170.2,14.41,1
0.6,0,car,-169.7,13.75,1
0.7,0,car,-169.2,13.11,1
0.8,0,car,-168.7,12.48,1
0.9,0,car,-168.1,11.87,1
1.0,0,car,-167.4,11.28,1
1.1,0,car,-166.7,10.70,1
1.2,0,car,-166.0,10.14,1
1.3,0,car,-165.1,9.60,1
1.4,0,car,-164.3,9.07,1
1.5,0,car,-163.3,8.56,1
1.6,0,car,-162.2,8.07,1
1.7,0,car,-161.0,7.59,1
1.8,0,car,-159.8,7.13,1
1.9,0,car,-158.4,6.69,1
2.0,0,car,-156.8,6.27,1
2.1,0,car,-155.1,5.87,1
2.2,0,car,-153.2,5.48,1
2.3,0,car,-151.1,5.12,1
2.4,0,car,-148.8,4.78,1
2.5,0,car,-146.2,4.46,1
2.6,0,car,-143.4,4.16,1
2.7,0,car,-140.3,3.88,1
2.8,0,car,-136.8,3.63,1
2.9,0,car,-133.1,3.40,1
3.0,0,car,-129.1,3.20,1
3.1,0,car,-124.7,3.03,1
3.2,0,car,-120.2,2.88,1
3.3,0,car,-115.4,2.76,1
3.4,0,car,-110.6,2.66,1
3.5,0,car,-105.8,2.59,1
3.6,0,car,-101.0,2.54,1
3.7,0,car,-96.4,2.51,1
3.8,0,car,-92.1,2.50,1
3.9,0,car,-88.2,2.50,1
4.0,0,car,-84.6,2.51,1
4.1,0,car,-81.3,2.53,1
4.2,0,car,-78.5,2.55,1
4.3,0,car,-76.0,2.58,1
4.4,0,car,-73.9,2.60,1
4.5,0,car,-72.1,2.63,1
4.6,0,car,-70.7,2.65,1
4.7,0,car,-69.6,2.67,1
4.8,0,car,-68.9,2.68,1
4.9,0,car,-68.4,2.69,1
5.0,0,car,-68.2,2.69,1
5.1,0,car,-68.2,2.69,1
5.2,0,car,-68.2,2.69,1
5.3,0,car,-68.2,2.69,1
5.4,0,car,-68.2,2.69,1
5.5,0,car,-68.2,2.69,1
5.6,0,car,-68.2,2.69,1
5.7,0,car,-68.2,2.69,1
5.8,0,car,-68.2,2.69,1
5.9,0,car,-68.2,2.69,1
6.0,0,car,-68.2,2.69,1
6.1,0,car,-68.2,2.69,1
6.2,0,car,-68.2,2.69,1
6.3,0,car,-68.2,2.69,1
6.4,0,car,-68.2,2.69,1
6.5,0,car,-68.2,2.69,1
6.6,0,car,-68.2,2.69,1
6.7,0,car,-68.2,2.69,1
6.8,0,car,-68.2,2.69,1
6.9,0,car,-68.2,2.69,1
7.0,0,car,-68.2,2.69,1
7.1,0,car,-68.2,2.69,1
7.2,0,car,-68.2,2.69,1
7.3,0,car,-68.2,2.69,1
7.4,0,car,-68.2,2.69,1
7.5,0,car,-68.2,2.69,1
7.6,0,car,-68.2,2.69,1
7.7,0,car,-68.2,2.69,1
7.8,0,car,-68.2,2.69,1
7.9,0,car,-68.2,2.69,1
8.0,0,car,-68.2,2.69,1
8.1,0,car,-68.1,2.69,1
8.2,0,car,-67.8,2.70,1
8.3,0,car,-67.2,2.71,1
8.4,0,car,-66.4,2.73,1
8.5,0,car,-65.4,2.75,1
8.6,0,car,-64.2,2.78,1
8.7,0,car,-62.7,2.82,1
8.8,0,car,-61.2,2.86,1
8.9,0,car,-59.4,2.91,1
9.0,0,car,-57.5,2.97,1
9.1,0,car,-55.6,3.04,1
9.2,0,car,-53.5,3.12,1
9.3,0,car,-51.3,3.21,1
9.4,0,car,-49.2,3.31,1
9.5,0,car,-47.0,3.43,1
9.6,0,car,-44.8,3.56,1
9.7,0,car,-42.7,3.70,1
9.8,0,car,-40.6,3.86,1
9.9,0,car,-38.5,4.03,1
