t_s,obj,class,az_deg,dist_m,vis
0.2,0,car,-81.7,53.38,1
0.3,0,car,-81.5,52.01,1
0.4,0,car,-81.3,50.64,1
0.5,0,car,-81.0,49.26,1
0.6,0,car,-80.8,47.90,1
0.7,0,car,-80.5,46.53,1
0.8,0,car,-80.2,45.16,1
0.9,0,car,-79.9,43.79,1
1.0,0,car,-79.6,42.43,1
1.1,0,car,-79.2,41.06,1
1.2,0,car,-78.8,39.70,1
1.3,0,car,-78.4,38.34,1
1.4,0,car,-78.0,36.99,1
1.5,0,car,-77.5,35.63,1
1.6,0,car,-77.0,34.28,1
1.7,0,car,-76.5,32.93,1
1.8,0,car,-75.9,31.59,1
1.9,0,car,-75.3,30.24,1
2.0,0,car,-74.6,28.91,1
2.1,0,car,-73.8,27.57,1
2.2,0,car,-73.0,26.25,1
2.3,0,car,-72.0,24.93,1
2.4,0,car,-71.0,23.62,1
2.5,0,car,-69.8,22.32,1
2.6,0,car,-68.5,21.03,1
2.7,0,car,-67.0,19.75,1
2.8,0,car,-65.4,18.49,1
2.9,0,car,-63.4,17.25,1
3.0,0,car,-61.2,16.03,1
3.1,0,car,-58.6,14.84,1
3.2,0,car,-55.6,13.69,1
3.3,0,car,-52.0,12.59,1
3.4,0,car,-47.8,11.55,1
3.5,0,car,-42.7,10.59,1
3.6,0,car,-36.7,9.74,1
3.7,0,car,-29.6,9.02,1
3.8,0,car,-21.3,8.47,1
3.9,0,car,-12.1,8.12,1
4.0,0,car,-2.3,8.00,1
4.1,0,car,7.6,8.12,1
4.2,0,car,17.0,8.47,1
4.3,0,car,25.5,9.02,1
4.4,0,car,32.9,9.74,1
4.5,0,car,39.2,10.59,1
4.6,0,car,44.6,11.55,1
4.7,0,car,49.1,12.59,1
4.8,0,car,52.9,13.69,1
4.9,0,car,56.1,14.84,1
5.0,0,car,58.9,16.03,1
5.1,0,car,61.3,17.25,1
5.2,0,car,63.4,18.49,1
5.3,0,car,65.2,19.75,1
5.4,0,car,66.8,21.03,1
5.5,0,car,68.2,22.32,1
5.6,0,car,69.4,23.62,1
5.7,0,car,70.5,24.93,1
5.8,0,car,71.5,26.25,1
5.9,0,car,72.5,27.57,1
6.0,0,car,73.3,28.91,1
6.1,0,car,74.0,30.24,1
6.2,0,car,74.7,31.59,1
6.3,0,car,75.4,32.93,1
6.4,0,car,76.0,34.28,1
6.5,0,car,76.5,35.63,1
6.6,0,car,77.0,36.99,1
6.7,0,car,77.5,38.34,1
6.8,0,car,77.9,39.70,1
6.9,0,car,78.3,41.06,1
7.0,0,car,78.7,42.43,1
7.1,0,car,79.1,43.79,1
7.2,0,car,79.4,45.16,1
7.3,0,car,79.7,46.53,1
7.4,0,car,80.0,47.90,1
7.5,0,car,80.3,49.26,1
7.6,0,car,80.5,50.64,1
7.7,0,car,80.8,52.01,1
7.8,0,car,81.0,53.38,1
7.9,0,car,81.3,54.75,1
8.0,0,car,81.5,56.13,1
8.1,0,car,81.7,57.50,1
8.2,0,car,81.9,58.88,1
8.3,0,car,82.1,60.26,1
8.4,0,car,82.2,61.63,1
8.5,0,car,82.4,63.01,1
8.6,0,car,82.6,64.39,1
8.7,0,car,82.7,65.77,1
8.8,0,car,82.9,67.14,1
8.9,0,car,83.0,68.52,1
9.0,0,car,83.2,69.90,1
9.1,0,car,83.3,71.28,1
9.2,0,car,83.4,72.66,1
9.3,0,car,83.5,74.04,1
9.4,0,car,83.7,75.43,1
9.5,0,car,83.8,76.81,1
9.6,0,car,83.9,78.19,1
9.7,0,car,84.0,79.57,1
9.8,0,car,84.1,80.95,1
9.9,0,car,84.2,82.33,1
0.3,1,car,83.3,90.67,1
0.4,1,car,83.2,89.43,1
0.5,1,car,83.1,88.19,1
0.6,1,car,83.0,86.95,1
0.7,1,car,82.9,85.71,1
0.8,1,car,82.8,84.47,1
0.9,1,car,82.7,83.23,1
1.0,1,car,82.6,81.99,1
1.1,1,car,82.5,80.75,1
1.2,1,car,82.3,79.51,1
1.3,1,car,82.2,78.28,1
1.4,1,car,82.1,77.04,1
1.5,1,car,82.0,75.80,1
1.6,1,car,81.8,74.57,1
1.7,1,car,81.7,73.33,1
1.8,1,car,81.5,72.09,1
1.9,1,car,81.4,70.86,1
2.0,1,car,81.2,69.62,1
2.1,1,car,81.1,68.39,1
2.2,1,car,80.9,67.16,1
2.3,1,car,80.7,65.92,1
2.4,1,car,80.6,64.69,1
2.5,1,car,80.4,63.46,1
2.6,1,car,80.2,62.23,1
2.7,1,car,80.0,61.00,1
2.8,1,car,79.8,59.77,1
2.9,1,car,79.6,58.54,1
