t_s,class,az_deg,dist_m
0.3,car,1,45.75
0.4,car,1,44.80
0.5,car,2,43.84
0.5,car,-178,102.92
0.6,car,2,42.89
0.6,car,-178,101.66
0.7,car,2,41.94
0.7,car,-178,100.39
0.8,car,2,40.99
0.8,car,-178,99.12
0.9,car,2,40.03
0.9,car,-177,97.85
1.0,car,2,39.08
1.0,car,-177,96.58
1.1,car,2,38.13
1.1,car,-177,95.31
1.2,car,2,37.18
1.2,car,-177,94.05
1.3,car,2,36.23
1.3,car,-177,92.78
1.4,car,2,35.27
1.4,car,-177,91.51
1.5,car,2,34.32
1.5,car,-177,90.24
1.6,car,2,33.37
1.6,car,-177,88.97
1.7,car,2,32.42
1.7,car,-177,87.71
1.8,car,2,31.46
1.8,car,-177,86.44
1.9,car,2,30.51
1.9,car,-177,85.17
2.0,car,2,29.56
2.0,car,-177,83.90
2.1,car,2,28.61
2.1,car,-177,82.64
2.2,car,2,27.66
2.2,car,-177,81.37
2.3,car,3,26.70
2.3,car,-177,80.10
2.4,car,3,25.75
2.4,car,-177,78.83
2.5,car,3,24.80
2.5,car,-177,77.57
2.6,car,3,23.85
2.6,car,-177,76.30
2.7,car,3,22.90
2.7,car,-177,75.03
2.8,car,3,21.95
2.8,car,-177,73.77
2.9,car,3,21.00
2.9,car,-177,72.50
3.0,car,3,20.04
3.0,car,-177,71.23
3.1,car,4,19.09
3.1,car,-176,69.96
3.2,car,4,18.14
3.2,car,-176,68.70
3.3,car,4,17.19
3.3,car,-176,67.43
3.4,car,4,16.24
3.4,car,-176,66.16
3.5,car,4,15.29
3.5,car,-176,64.90
3.6,car,5,14.34
3.6,car,-176,63.63
3.7,car,5,13.39
3.7,car,-176,62.37
3.8,car,5,12.44
3.8,car,-176,61.10
3.9,car,6,11.50
3.9,car,-176,59.83
4.0,car,6,10.55
4.0,car,-176,58.57
4.1,car,7,9.60
4.1,car,-176,57.30
4.2,car,8,8.66
4.2,car,-176,56.04
4.3,car,9,7.72
4.3,car,-175,54.77
4.4,car,10,6.78
4.4,car,-175,53.51
4.5,car,12,5.84
4.5,car,-175,52.24
4.6,car,14,4.91
4.6,car,-175,50.98
4.7,car,17,4.00
4.7,car,-175,49.71
4.8,car,22,3.10
4.8,car,-175,48.45
4.9,car,31,2.25
4.9,car,-175,47.18
5.0,car,50,1.53
5.0,car,-175,45.92
5.1,car,89,1.20
5.1,car,-174,44.66
5.2,car,127,1.53
5.2,car,-174,43.40
5.3,car,147,2.25
5.3,car,-174,42.13
5.4,car,157,3.10
5.4,car,-174,40.87
5.5,car,162,4.00
5.5,car,-174,39.61
5.6,car,166,4.91
5.6,car,-174,38.35
5.7,car,168,5.84
5.7,car,-173,37.09
5.8,car,170,6.78
5.8,car,-173,35.83
5.9,car,171,7.72
5.9,car,-173,34.57
6.0,car,172,8.66
6.0,car,-173,33.31
6.1,car,173,9.60
6.1,car,-172,32.05
6.2,car,173,10.55
6.2,car,-172,30.80
6.3,car,174,11.50
6.3,car,-172,29.54
6.4,car,174,12.44
6.4,car,-171,28.29
6.5,car,175,13.39
6.5,car,-171,27.04
6.6,car,175,14.34
6.6,car,-170,25.78
6.7,car,175,15.29
6.7,car,-170,24.54
6.8,car,176,16.24
6.8,car,-169,23.29
6.9,car,176,17.19
6.9,car,-169,22.04
7.0,car,176,18.14
7.0,car,-168,20.80
7.1,car,176,19.09
7.1,car,-167,19.57
7.2,car,176,20.04
7.2,car,-166,18.33
7.3,car,177,21.00
7.3,car,-165,17.11
7.4,car,177,21.95
7.4,car,-164,15.88
7.5,car,177,22.90
7.5,car,-163,14.67
7.6,car,177,23.85
7.6,car,-161,13.47
7.7,car,177,24.80
7.7,car,-159,12.28
7.8,car,177,25.75
7.8,car,-157,11.11
7.9,car,177,26.70
7.9,car,-154,9.96
8.0,car,177,27.66
8.0,car,-151,8.85
8.1,car,178,28.61
8.1,car,-146,7.78
8.2,car,178,29.56
8.2,car,-140,6.78
8.3,car,178,30.51
8.3,car,-132,5.90
8.4,car,178,31.46
8.4,car,-121,5.17
8.5,car,178,32.42
8.5,car,-108,4.68
8.6,car,178,33.37
8.6,car,-92,4.50
8.7,car,178,34.32
8.7,car,-76,4.68
8.8,car,178,35.27
8.8,car,-63,5.17
8.9,car,178,36.23
8.9,car,-52,5.90
9.0,car,178,37.18
9.0,car,-43,6.78
9.1,car,178,38.13
9.1,car,-37,7.78
9.2,car,178,39.08
9.2,car,-32,8.85
9.3,car,178,40.03
9.3,car,-28,9.96
9.4,car,178,40.99
9.4,car,-25,11.11
9.5,car,178,41.94
9.5,car,-22,12.28
9.6,car,178,42.89
9.6,car,-20,13.47
9.7,car,178,43.84
9.7,car,-19,14.67
9.8,car,178,44.80
9.8,car,-17,15.88
9.9,car,178,45.75
9.9,car,-16,17.11
10.0,car,178,46.70
10.0,car,-15,18.33
# オラクル（検出=GT系列）。モデル出力ではない
