t_s,class,az_deg,dist_m
0.3,car,-176,34.47
0.4,car,-176,33.62
0.5,car,-176,32.77
0.6,car,-176,31.92
0.7,car,-176,31.07
0.8,car,-175,30.22
0.9,car,-175,29.37
1.0,car,-175,28.52
1.1,car,-175,27.67
1.2,car,-175,26.82
1.3,car,-175,25.97
1.4,car,-174,25.12
1.5,car,-174,24.27
1.6,car,-174,23.43
1.7,car,-174,22.58
1.8,car,-174,21.73
1.9,car,-173,20.88
2.0,car,-173,20.04
2.1,car,-173,19.19
2.2,car,-172,18.35
2.3,car,-172,17.50
2.4,car,-172,16.66
2.5,car,-171,15.82
2.6,car,-171,14.97
2.7,car,-170,14.13
2.8,car,-169,13.30
2.9,car,-169,12.46
3.0,car,-168,11.62
3.1,car,-167,10.79
3.2,car,-166,9.98
3.3,car,-165,9.20
3.4,car,-163,8.45
3.5,car,-162,7.73
3.6,car,-160,7.04
3.7,car,-158,6.39
3.8,car,-155,5.78
3.9,car,-152,5.21
4.0,car,-148,4.67
4.1,car,-144,4.19
4.2,car,-139,3.75
4.3,car,-133,3.37
4.4,car,-126,3.06
4.5,car,-118,2.81
4.6,car,-109,2.64
4.7,car,-100,2.53
4.8,car,-91,2.50
4.9,car,-83,2.52
5.0,car,-75,2.59
5.1,car,-69,2.69
5.2,car,-63,2.80
5.3,car,-57,2.89
5.4,car,-52,2.97
5.5,car,-46,3.04
5.6,car,-40,3.10
5.7,car,-34,3.15
5.8,car,-28,3.19
5.9,car,-22,3.23
6.0,car,-16,3.27
6.1,car,-10,3.30
6.2,car,-3,3.33
6.3,car,3,3.37
6.4,car,10,3.41
6.5,car,17,3.47
6.6,car,24,3.53
6.7,car,31,3.62
6.8,car,37,3.76
6.9,car,43,3.94
7.0,car,48,4.16
7.1,car,53,4.41
7.2,car,57,4.68
7.3,car,61,4.98
7.4,car,65,5.30
7.5,car,67,5.64
7.6,car,70,5.98
7.7,car,72,6.34
7.8,car,74,6.71
7.9,car,76,7.08
8.0,car,78,7.46
8.1,car,79,7.85
8.2,car,81,8.24
8.3,car,82,8.63
8.4,car,83,9.03
8.5,car,84,9.43
8.6,car,85,9.83
8.7,car,86,10.24
8.8,car,87,10.65
8.9,car,88,11.06
9.0,car,88,11.47
9.1,car,89,11.89
9.2,car,90,12.30
9.3,car,90,12.72
9.4,car,91,13.13
9.5,car,91,13.55
9.6,car,92,13.97
9.7,car,92,14.39
9.8,car,92,14.81
9.9,car,93,15.23
10.0,car,93,15.66
# オラクル（検出=GT系列）。モデル出力ではない
