t_s,obj,class,az_deg,dist_m,vis
0.2,0,car,5.1,32.09,1
0.3,0,car,5.4,30.70,1
0.4,0,car,5.6,29.32,1
0.5,0,car,5.9,27.94,1
0.6,0,car,6.2,26.56,1
0.7,0,car,6.6,25.18,1
0.8,0,car,6.9,23.80,1
0.9,0,car,7.4,22.42,1
1.0,0,car,7.9,21.05,1
1.1,0,car,8.4,19.67,1
1.2,0,car,9.1,18.30,1
1.3,0,car,9.8,16.93,1
1.4,0,car,10.7,15.57,1
1.5,0,car,11.7,14.21,1
1.6,0,car,13.0,12.85,1
1.7,0,car,14.5,11.51,1
1.8,0,car,16.5,10.17,1
1.9,0,car,19.0,8.86,1
2.0,0,car,22.4,7.56,1
2.1,0,car,27.3,6.31,1
2.2,0,car,34.4,5.13,1
2.3,0,car,45.5,4.09,1
2.4,0,car,63.1,3.31,1
2.5,0,car,87.7,3.00,1
2.6,0,car,112.7,3.31,1
2.7,0,car,131.1,4.09,1
2.8,0,car,142.9,5.13,1
2.9,0,car,150.5,6.31,1
3.0,0,car,155.7,7.56,1
3.1,0,car,159.4,8.86,1
3.2,0,car,162.2,10.17,1
3.3,0,car,164.3,11.51,1
3.4,0,car,166.0,12.85,1
3.5,0,car,167.3,14.21,1
3.6,0,car,168.4,15.57,1
3.7,0,car,169.4,16.93,1
3.8,0,car,170.2,18.30,1
3.9,0,car,170.9,19.67,1
4.0,0,car,171.5,21.05,1
4.1,0,car,172.0,22.42,1
4.2,0,car,172.5,23.80,1
4.3,0,car,172.9,25.18,1
4.4,0,car,173.3,26.56,1
4.5,0,car,173.6,27.94,1
4.6,0,car,173.9,29.32,1
4.7,0,car,174.2,30.70,1
4.8,0,car,174.4,32.09,1
4.9,0,car,174.6,33.47,1
5.0,0,car,174.9,34.85,1
5.1,0,car,175.1,36.24,1
5.2,0,car,175.2,37.62,1
5.3,0,car,175.4,39.00,1
5.4,0,car,175.6,40.39,1
5.5,0,car,175.7,41.77,1
5.6,0,car,175.9,43.16,1
5.7,0,car,176.0,44.55,1
5.8,0,car,176.1,45.93,1
5.9,0,car,176.2,47.32,1
6.0,0,car,176.3,48.70,1
6.1,0,car,176.4,50.09,1
6.2,0,car,176.5,51.48,1
6.3,0,car,176.6,52.86,1
6.4,0,car,176.7,54.25,1
6.5,0,car,176.8,55.64,1
6.6,0,car,176.9,57.02,1
6.7,0,car,176.9,58.41,1
6.8,0,car,177.0,59.80,1
6.9,0,car,177.1,61.18,1
7.0,0,car,177.1,62.57,1
7.1,0,car,177.2,63.96,1
7.2,0,car,177.3,65.35,1
7.3,0,car,177.3,66.73,1
7.4,0,car,177.4,68.12,1
7.5,0,car,177.4,69.51,1
7.6,0,car,177.5,70.90,1
7.7,0,car,177.5,72.28,1
7.8,0,car,177.6,73.67,1
7.9,0,car,177.6,75.06,1
8.0,0,car,177.7,76.45,1
8.1,0,car,177.7,77.84,1
8.2,0,car,177.7,79.22,1
8.3,0,car,177.8,80.61,1
8.4,0,car,177.8,82.00,1
8.5,0,car,177.9,83.39,1
8.6,0,car,177.9,84.78,1
8.7,0,car,177.9,86.16,1
8.8,0,car,178.0,87.55,1
8.9,0,car,178.0,88.94,1
9.0,0,car,178.0,90.33,1
9.1,0,car,178.0,91.72,1
9.2,0,car,178.1,93.10,1
9.3,0,car,178.1,94.49,1
9.4,0,car,178.1,95.88,1
9.5,0,car,178.2,97.27,1
9.6,0,car,178.2,98.66,1
9.7,0,car,178.2,100.04,1
9.8,0,car,178.2,101.43,1
9.9,0,car,178.3,102.82,1
0.3,1,car,2.5,65.35,1
0.4,1,car,2.6,63.96,1
0.5,1,car,2.6,62.57,1
0.6,1,car,2.7,61.18,1
0.7,1,car,2.8,59.80,1
0.8,1,car,2.8,58.41,1
0.9,1,car,2.9,57.02,1
1.0,1,car,3.0,55.64,1
1.1,1,car,3.0,54.25,1
1.2,1,car,3.1,52.86,1
1.3,1,car,3.2,51.48,1
1.4,1,car,3.3,50.09,1
1.5,1,car,3.4,48.70,1
1.6,1,car,3.5,47.32,1
1.7,1,car,3.6,45.93,1
1.8,1,car,3.7,44.55,1
1.9,1,car,3.8,43.16,1
2.0,1,car,4.0,41.77,1
2.1,1,car,4.1,40.39,1
2.2,1,car,4.2,39.00,1
2.3,1,car,4.4,37.62,1
2.4,1,car,4.6,36.24,1
2.5,1,car,4.7,34.85,1
2.6,1,car,4.9,33.47,1
2.7,1,car,5.1,32.09,1
2.8,1,car,5.4,30.70,1
2.9,1,car,5.6,29.32,1
3.0,1,car,5.9,27.94,1
3.1,1,car,6.2,26.56,1
3.2,1,car,6.6,25.18,1
3.3,1,car,6.9,23.80,1
3.4,1,car,7.4,22.42,1
3.5,1,car,7.9,21.05,1
3.6,1,car,8.4,19.67,1
3.7,1,car,9.1,18.30,1
3.8,1,car,9.8,16.93,1
3.9,1,car,10.7,15.57,1
4.0,1,car,11.7,14.21,1
4.1,1,car,13.0,12.85,1
4.2,1,car,14.5,11.51,1
4.3,1,car,16.5,10.17,1
4.4,1,car,19.0,8.86,1
4.5,1,car,22.4,7.56,1
4.6,1,car,27.3,6.31,1
4.7,1,car,34.4,5.13,1
4.8,1,car,45.5,4.09,1
4.9,1,car,63.1,3.31,1
5.0,1,car,87.7,3.00,1
5.1,1,car,112.7,3.31,1
5.2,1,car,131.1,4.09,1
5.3,1,car,142.9,5.13,1
5.4,1,car,150.5,6.31,1
5.5,1,car,155.7,7.56,1
5.6,1,car,159.4,8.86,1
5.7,1,car,162.2,10.17,1
5.8,1,car,164.3,11.51,1
5.9,1,car,166.0,12.85,1
6.0,1,car,167.3,14.21,1
6.1,1,car,168.4,15.57,1
6.2,1,car,169.4,16.93,1
6.3,1,car,170.2,18.30,1
6.4,1,car,170.9,19.67,1
6.5,1,car,171.5,21.05,1
6.6,1,car,172.0,22.42,1
6.7,1,car,172.5,23.80,1
6.8,1,car,172.9,25.18,1
6.9,1,car,173.3,26.56,1
7.0,1,car,173.6,27.94,1
7.1,1,car,173.9,29.32,1
7.2,1,car,174.2,30.70,1
7.3,1,car,174.4,32.09,1
7.4,1,car,174.6,33.47,1
7.5,1,car,174.9,34.85,1
7.6,1,car,175.1,36.24,1
7.7,1,car,175.2,37.62,1
7.8,1,car,175.4,39.00,1
7.9,1,car,175.6,40.39,1
8.0,1,car,175.7,41.77,1
8.1,1,car,175.9,43.16,1
8.2,1,car,176.0,44.55,1
8.3,1,car,176.1,45.93,1
8.4,1,car,176.2,47.32,1
8.5,1,car,176.3,48.70,1
8.6,1,car,176.4,50.09,1
8.7,1,car,176.5,51.48,1
8.8,1,car,176.6,52.86,1
8.9,1,car,176.7,54.25,1
9.0,1,car,176.8,55.64,1
9.1,1,car,176.9,57.02,1
9.2,1,car,176.9,58.41,1
9.3,1,car,177.0,59.80,1
9.4,1,car,177.1,61.18,1
9.5,1,car,177.1,62.57,1
9.6,1,car,177.2,63.96,1
9.7,1,car,177.3,65.35,1
9.8,1,car,177.3,66.73,1
9.9,1,car,177.4,68.12,1
0.3,2,car,175.4,77.77,1
0.4,2,car,175.3,76.53,1
0.5,2,car,175.2,75.28,1
0.6,2,car,175.1,74.04,1
0.7,2,car,175.1,72.79,1
0.8,2,car,175.0,71.55,1
0.9,2,car,174.9,70.30,1
1.0,2,car,174.8,69.06,1
1.1,2,car,174.7,67.81,1
1.2,2,car,174.6,66.57,1
1.3,2,car,174.5,65.32,1
1.4,2,car,174.4,64.08,1
1.5,2,car,174.3,62.84,1
1.6,2,car,174.2,61.59,1
1.7,2,car,174.0,60.35,1
1.8,2,car,173.9,59.11,1
1.9,2,car,173.8,57.87,1
2.0,2,car,173.6,56.62,1
2.1,2,car,173.5,55.38,1
2.2,2,car,173.4,54.14,1
2.3,2,car,173.2,52.90,1
2.4,2,car,173.0,51.66,1
2.5,2,car,172.9,50.42,1
2.6,2,car,172.7,49.18,1
2.7,2,car,172.5,47.94,1
2.8,2,car,172.3,46.70,1
2.9,2,car,172.1,45.47,1
3.0,2,car,171.9,44.23,1
3.1,2,car,171.6,42.99,1
3.2,2,car,171.4,41.76,1
3.3,2,car,171.1,40.52,1
3.4,2,car,170.8,39.29,1
3.5,2,car,170.5,38.06,1
3.6,2,car,170.2,36.83,1
3.7,2,car,169.9,35.60,1
3.8,2,car,169.5,34.37,1
3.9,2,car,169.1,33.14,1
4.0,2,car,168.7,31.92,1
4.1,2,car,168.2,30.70,1
4.2,2,car,167.7,29.48,1
4.3,2,car,167.2,28.26,1
4.4,2,car,166.6,27.04,1
4.5,2,car,166.0,25.83,1
4.6,2,car,165.2,24.62,1
4.7,2,car,164.5,23.42,1
4.8,2,car,163.6,22.22,1
4.9,2,car,162.6,21.03,1
5.0,2,car,161.6,19.84,1
5.1,2,car,160.4,18.67,1
5.2,2,car,159.0,17.50,1
5.3,2,car,157.4,16.35,1
5.4,2,car,155.6,15.21,1
5.5,2,car,153.5,14.09,1
5.6,2,car,151.0,12.99,1
5.7,2,car,148.1,11.93,1
5.8,2,car,144.6,10.90,1
5.9,2,car,140.5,9.92,1
6.0,2,car,135.4,9.02,1
6.1,2,car,129.2,8.20,1
6.2,2,car,121.8,7.50,1
6.3,2,car,113.0,6.96,1
6.4,2,car,102.9,6.62,1
6.5,2,car,92.1,6.50,1
6.6,2,car,81.2,6.62,1
6.7,2,car,70.9,6.96,1
6.8,2,car,61.8,7.50,1
6.9,2,car,54.1,8.20,1
7.0,2,car,47.6,9.02,1
7.1,2,car,42.3,9.92,1
7.2,2,car,37.9,10.90,1
7.3,2,car,34.2,11.93,1
7.4,2,car,31.1,12.99,1
7.5,2,car,28.4,14.09,1
7.6,2,car,26.2,15.21,1
7.7,2,car,24.3,16.35,1
7.8,2,car,22.6,17.50,1
7.9,2,car,21.1,18.67,1
8.0,2,car,19.8,19.84,1
8.1,2,car,18.6,21.03,1
8.2,2,car,17.6,22.22,1
8.3,2,car,16.7,23.42,1
8.4,2,car,15.9,24.62,1
8.5,2,car,15.1,25.83,1
8.6,2,car,14.4,27.04,1
8.7,2,car,13.8,28.26,1
8.8,2,car,13.2,29.48,1
8.9,2,car,12.7,30.70,1
9.0,2,car,12.2,31.92,1
9.1,2,car,11.7,33.14,1
9.2,2,car,11.3,34.37,1
9.3,2,car,10.9,35.60,1
9.4,2,car,10.5,36.83,1
9.5,2,car,10.2,38.06,1
9.6,2,car,9.9,39.29,1
9.7,2,car,9.6,40.52,1
9.8,2,car,9.3,41.76,1
9.9,2,car,9.0,42.99,1
0.4,3,car,1.6,105.60,1
0.5,3,car,1.6,104.21,1
0.6,3,car,1.6,102.82,1
0.7,3,car,1.6,101.43,1
0.8,3,car,1.6,100.04,1
0.9,3,car,1.7,98.66,1
1.0,3,car,1.7,97.27,1
1.1,3,car,1.7,95.88,1
1.2,3,car,1.7,94.49,1
1.3,3,car,1.8,93.10,1
1.4,3,car,1.8,91.72,1
1.5,3,car,1.8,90.33,1
1.6,3,car,1.9,88.94,1
1.7,3,car,1.9,87.55,1
1.8,3,car,1.9,86.16,1
1.9,3,car,1.9,84.78,1
2.0,3,car,2.0,83.39,1
2.1,3,car,2.0,82.00,1
2.2,3,car,2.0,80.61,1
2.3,3,car,2.1,79.22,1
2.4,3,car,2.1,77.84,1
2.5,3,car,2.2,76.45,1
2.6,3,car,2.2,75.06,1
2.7,3,car,2.2,73.67,1
2.8,3,car,2.3,72.28,1
2.9,3,car,2.3,70.90,1
3.0,3,car,2.4,69.51,1
3.1,3,car,2.4,68.12,1
3.2,3,car,2.5,66.73,1
3.3,3,car,2.5,65.35,1
3.4,3,car,2.6,63.96,1
3.5,3,car,2.6,62.57,1
3.6,3,car,2.7,61.18,1
3.7,3,car,2.8,59.80,1
3.8,3,car,2.8,58.41,1
3.9,3,car,2.9,57.02,1
4.0,3,car,3.0,55.64,1
4.1,3,car,3.0,54.25,1
4.2,3,car,3.1,52.86,1
4.3,3,car,3.2,51.48,1
4.4,3,car,3.3,50.09,1
4.5,3,car,3.4,48.70,1
4.6,3,car,3.5,47.32,1
4.7,3,car,3.6,45.93,1
4.8,3,car,3.7,44.55,1
4.9,3,car,3.8,43.16,1
5.0,3,car,4.0,41.77,1
5.1,3,car,4.1,40.39,1
5.2,3,car,4.2,39.00,1
5.3,3,car,4.4,37.62,1
5.4,3,car,4.6,36.24,1
5.5,3,car,4.7,34.85,1
5.6,3,car,4.9,33.47,1
5.7,3,car,5.1,32.09,1
5.8,3,car,5.4,30.70,1
5.9,3,car,5.6,29.32,1
6.0,3,car,5.9,27.94,1
6.1,3,car,6.2,26.56,1
6.2,3,car,6.6,25.18,1
6.3,3,car,6.9,23.80,1
6.4,3,car,7.4,22.42,1
6.5,3,car,7.9,21.05,1
6.6,3,car,8.4,19.67,1
6.7,3,car,9.1,18.30,1
6.8,3,car,9.8,16.93,1
6.9,3,car,10.7,15.57,1
7.0,3,car,11.7,14.21,1
7.1,3,car,13.0,12.85,1
7.2,3,car,14.5,11.51,1
7.3,3,car,16.5,10.17,1
7.4,3,car,19.0,8.86,1
7.5,3,car,22.4,7.56,1
7.6,3,car,27.3,6.31,1
7.7,3,car,34.4,5.13,1
7.8,3,car,45.5,4.09,1
7.9,3,car,63.1,3.31,1
8.0,3,car,87.7,3.00,1
8.1,3,car,112.7,3.31,1
8.2,3,car,131.1,4.09,1
8.3,3,car,142.9,5.13,1
8.4,3,car,150.5,6.31,1
8.5,3,car,155.7,7.56,1
8.6,3,car,159.4,8.86,1
8.7,3,car,162.2,10.17,1
8.8,3,car,164.3,11.51,1
8.9,3,car,166.0,12.85,1
9.0,3,car,167.3,14.21,1
9.1,3,car,168.4,15.57,1
9.2,3,car,169.4,16.93,1
9.3,3,car,170.2,18.30,1
9.4,3,car,170.9,19.67,1
9.5,3,car,171.5,21.05,1
9.6,3,car,172.0,22.42,1
9.7,3,car,172.5,23.80,1
9.8,3,car,172.9,25.18,1
9.9,3,car,173.3,26.56,1
