t_s,class,az_deg,dist_m
0.3,car,-175,35.69
0.4,car,-175,34.42
0.4,car,-177,66.12
0.4,car,-4,98.81
0.5,car,-175,33.16
0.5,car,-177,64.85
0.5,car,-4,97.45
0.6,car,-174,31.90
0.6,car,-177,63.59
0.6,car,-4,96.08
0.7,car,-174,30.63
0.7,car,-177,62.32
0.7,car,-4,94.71
0.8,car,-174,29.37
0.8,car,-177,61.05
0.8,car,-4,93.35
0.9,car,-174,28.11
0.9,car,-177,59.78
0.9,car,-4,91.98
1.0,car,-173,26.85
1.0,car,-176,58.52
1.0,car,-4,90.62
1.1,car,-173,25.59
1.1,car,-176,57.25
1.1,car,-4,89.25
1.2,car,-173,24.33
1.2,car,-176,55.98
1.2,car,-4,87.89
1.3,car,-172,23.07
1.3,car,-176,54.72
1.3,car,-4,86.52
1.4,car,-172,21.82
1.4,car,-176,53.45
1.4,car,-4,85.15
1.5,car,-171,20.56
1.5,car,-176,52.19
1.5,car,-4,83.79
1.6,car,-171,19.31
1.6,car,-176,50.92
1.6,car,-4,82.42
1.7,car,-170,18.06
1.7,car,-176,49.65
1.7,car,-4,81.06
1.8,car,-169,16.81
1.8,car,-176,48.39
1.8,car,-5,79.69
1.9,car,-169,15.57
1.9,car,-176,47.12
1.9,car,-5,78.33
2.0,car,-168,14.33
2.0,car,-175,45.86
2.0,car,-5,76.96
2.1,car,-166,13.09
2.1,car,-175,44.59
2.1,car,-5,75.60
2.2,car,-165,11.86
2.2,car,-175,43.33
2.2,car,-5,74.24
2.3,car,-163,10.65
2.3,car,-175,42.06
2.3,car,-5,72.87
2.4,car,-161,9.44
2.4,car,-175,40.80
2.4,car,-5,71.51
2.5,car,-158,8.26
2.5,car,-175,39.54
2.5,car,-5,70.14
2.6,car,-154,7.11
2.6,car,-175,38.27
2.6,car,-5,68.78
2.7,car,-149,6.00
2.7,car,-174,37.01
2.7,car,-5,67.42
2.8,car,-141,4.97
2.8,car,-174,35.75
2.8,car,-5,66.05
2.9,car,-130,4.08
2.9,car,-174,34.49
2.9,car,-6,64.69
3.0,car,-114,3.44
3.0,car,-174,33.22
3.0,car,-6,63.33
3.1,car,-92,3.20
3.1,car,-173,31.96
3.1,car,-6,61.97
3.2,car,-71,3.44
3.2,car,-173,30.70
3.2,car,-6,60.61
3.3,car,-53,4.08
3.3,car,-173,29.44
3.3,car,-6,59.24
3.4,car,-42,4.97
3.4,car,-173,28.19
3.4,car,-6,57.88
3.5,car,-33,6.00
3.5,car,-172,26.93
3.5,car,-6,56.52
3.6,car,-28,7.11
3.6,car,-172,25.67
3.6,car,-7,55.16
3.7,car,-24,8.26
3.7,car,-171,24.42
3.7,car,-7,53.80
3.8,car,-21,9.44
3.8,car,-171,23.16
3.8,car,-7,52.44
3.9,car,-18,10.65
3.9,car,-170,21.91
3.9,car,-7,51.08
4.0,car,-16,11.86
4.0,car,-170,20.66
4.0,car,-7,49.73
4.1,car,-15,13.09
4.1,car,-169,19.42
4.1,car,-7,48.37
4.2,car,-13,14.33
4.2,car,-168,18.17
4.2,car,-8,47.01
4.3,car,-12,15.57
4.3,car,-168,16.93
4.3,car,-8,45.66
4.4,car,-11,16.81
4.4,car,-167,15.70
4.4,car,-8,44.30
4.5,car,-11,18.06
4.5,car,-165,14.47
4.5,car,-8,42.95
4.6,car,-10,19.31
4.6,car,-164,13.25
4.6,car,-9,41.59
4.7,car,-9,20.56
4.7,car,-162,12.04
4.7,car,-9,40.24
4.8,car,-9,21.82
4.8,car,-160,10.84
4.8,car,-9,38.89
4.9,car,-8,23.07
4.9,car,-158,9.66
4.9,car,-10,37.54
5.0,car,-8,24.33
5.0,car,-155,8.51
5.0,car,-10,36.19
5.1,car,-7,25.59
5.1,car,-150,7.40
5.1,car,-10,34.85
5.2,car,-7,26.85
5.2,car,-145,6.34
5.2,car,-11,33.50
5.3,car,-7,28.11
5.3,car,-137,5.38
5.3,car,-11,32.16
5.4,car,-7,29.37
5.4,car,-126,4.57
5.4,car,-12,30.82
5.5,car,-6,30.63
5.5,car,-111,4.01
5.5,car,-12,29.48
5.6,car,-6,31.90
5.6,car,-92,3.80
5.6,car,-13,28.15
5.7,car,-6,33.16
5.7,car,-74,4.01
5.7,car,-14,26.82
5.8,car,-6,34.42
5.8,car,-58,4.57
5.8,car,-14,25.49
5.9,car,-5,35.69
5.9,car,-47,5.38
5.9,car,-15,24.17
6.0,car,-5,36.95
6.0,car,-38,6.34
6.0,car,-16,22.85
6.1,car,-5,38.22
6.1,car,-32,7.40
6.1,car,-17,21.55
6.2,car,-5,39.48
6.2,car,-28,8.51
6.2,car,-18,20.24
6.3,car,-5,40.75
6.3,car,-24,9.66
6.3,car,-19,18.95
6.4,car,-5,42.01
6.4,car,-21,10.84
6.4,car,-21,17.67
6.5,car,-4,43.28
6.5,car,-19,12.04
6.5,car,-23,16.41
6.6,car,-4,44.55
6.6,car,-17,13.25
6.6,car,-24,15.16
