t_s,class,az_deg,dist_m
0.2,kick,178,25.74
0.3,kick,178,25.31
0.4,kick,178,24.87
0.5,kick,178,24.44
0.6,kick,178,24.00
0.7,kick,178,23.56
0.8,kick,178,23.13
0.9,kick,178,22.69
1.0,kick,178,22.26
1.1,kick,178,21.82
1.2,kick,178,21.38
1.3,kick,178,20.95
1.4,kick,178,20.51
1.5,kick,178,20.08
1.6,kick,178,19.64
1.7,kick,178,19.21
1.8,kick,178,18.77
1.9,kick,178,18.33
2.0,kick,177,17.90
2.1,kick,177,17.46
2.2,kick,177,17.03
2.3,kick,177,16.59
2.4,kick,177,16.16
2.5,kick,177,15.72
2.6,kick,177,15.28
2.7,kick,177,14.85
2.8,kick,177,14.41
2.9,kick,177,13.98
3.0,kick,177,13.54
3.1,kick,177,13.11
3.2,kick,176,12.67
3.3,kick,176,12.24
3.4,kick,176,11.80
3.5,kick,176,11.37
3.6,kick,176,10.93
3.7,kick,176,10.50
3.8,kick,176,10.06
3.9,kick,175,9.63
4.0,kick,175,9.19
4.1,kick,175,8.76
4.2,kick,175,8.32
4.3,kick,174,7.89
4.4,kick,174,7.46
4.5,kick,174,7.02
4.6,kick,173,6.59
4.7,kick,173,6.16
4.8,kick,172,5.73
4.9,kick,171,5.29
5.0,kick,171,4.86
5.1,kick,170,4.43
5.2,kick,169,4.01
5.3,kick,167,3.58
5.4,kick,166,3.16
5.5,kick,163,2.74
5.6,kick,160,2.32
5.7,kick,156,1.92
5.8,kick,149,1.53
5.9,kick,138,1.18
6.0,kick,119,0.91
6.1,kick,91,0.80
6.2,kick,62,0.91
6.3,kick,43,1.18
6.4,kick,32,1.53
6.5,kick,25,1.92
6.6,kick,20,2.32
6.7,kick,17,2.74
6.8,kick,15,3.16
6.9,kick,13,3.58
7.0,kick,12,4.01
7.1,kick,11,4.43
7.2,kick,10,4.86
7.3,kick,9,5.29
7.4,kick,8,5.73
7.5,kick,8,6.16
7.6,kick,7,6.59
7.7,kick,7,7.02
7.8,kick,6,7.46
7.9,kick,6,7.89
8.0,kick,6,8.32
8.1,kick,5,8.76
8.2,kick,5,9.19
8.3,kick,5,9.63
8.4,kick,5,10.06
8.5,kick,4,10.50
8.6,kick,4,10.93
8.7,kick,4,11.37
8.8,kick,4,11.80
8.9,kick,4,12.24
9.0,kick,4,12.67
9.1,kick,4,13.11
9.2,kick,3,13.54
9.3,kick,3,13.98
9.4,kick,3,14.41
9.5,kick,3,14.85
9.6,kick,3,15.28
9.7,kick,3,15.72
9.8,kick,3,16.16
9.9,kick,3,16.59
10.0,kick,3,17.03
# オラクル（検出=GT系列）。モデル出力ではない
