t_s,obj,class,az_deg,dist_m,vis
0.1,0,kick,178.2,25.74,1
0.2,0,kick,178.2,25.31,1
0.3,0,kick,178.2,24.87,1
0.4,0,kick,178.2,24.44,1
0.5,0,kick,178.1,24.00,1
0.6,0,kick,178.1,23.56,1
0.7,0,kick,178.0,23.13,1
0.8,0,kick,178.0,22.69,1
0.9,0,kick,178.0,22.26,1
1.0,0,kick,177.9,21.82,1
1.1,0,kick,177.9,21.38,1
1.2,0,kick,177.8,20.95,1
1.3,0,kick,177.8,20.51,1
1.4,0,kick,177.8,20.08,1
1.5,0,kick,177.7,19.64,1
1.6,0,kick,177.7,19.21,1
1.7,0,kick,177.6,18.77,1
1.8,0,kick,177.5,18.33,1
1.9,0,kick,177.5,17.90,1
2.0,0,kick,177.4,17.46,1
2.1,0,kick,177.4,17.03,1
2.2,0,kick,177.3,16.59,1
2.3,0,kick,177.2,16.16,1
2.4,0,kick,177.1,15.72,1
2.5,0,kick,177.0,15.28,1
2.6,0,kick,177.0,14.85,1
2.7,0,kick,176.9,14.41,1
2.8,0,kick,176.8,13.98,1
2.9,0,kick,176.7,13.54,1
3.0,0,kick,176.6,13.11,1
3.1,0,kick,176.4,12.67,1
3.2,0,kick,176.3,12.24,1
3.3,0,kick,176.2,11.80,1
3.4,0,kick,176.0,11.37,1
3.5,0,kick,175.9,10.93,1
3.6,0,kick,175.7,10.50,1
3.7,0,kick,175.5,10.06,1
3.8,0,kick,175.3,9.63,1
3.9,0,kick,175.1,9.19,1
4.0,0,kick,174.8,8.76,1
4.1,0,kick,174.6,8.32,1
4.2,0,kick,174.3,7.89,1
4.3,0,kick,173.9,7.46,1
4.4,0,kick,173.6,7.02,1
4.5,0,kick,173.1,6.59,1
4.6,0,kick,172.7,6.16,1
4.7,0,kick,172.1,5.73,1
4.8,0,kick,171.4,5.29,1
4.9,0,kick,170.7,4.86,1
5.0,0,kick,169.8,4.43,1
5.1,0,kick,168.7,4.01,1
5.2,0,kick,167.3,3.58,1
5.3,0,kick,165.6,3.16,1
5.4,0,kick,163.3,2.74,1
5.5,0,kick,160.2,2.32,1
5.6,0,kick,155.8,1.92,1
5.7,0,kick,149.0,1.53,1
5.8,0,kick,138.1,1.18,1
5.9,0,kick,119.4,0.91,1
6.0,0,kick,90.9,0.80,1
6.1,0,kick,62.2,0.91,1
6.2,0,kick,43.2,1.18,1
6.3,0,kick,31.9,1.53,1
6.4,0,kick,25.0,1.92,1
6.5,0,kick,20.5,2.32,1
6.6,0,kick,17.3,2.74,1
6.7,0,kick,14.9,3.16,1
6.8,0,kick,13.1,3.58,1
6.9,0,kick,11.7,4.01,1
7.0,0,kick,10.6,4.43,1
7.1,0,kick,9.6,4.86,1
7.2,0,kick,8.8,5.29,1
7.3,0,kick,8.2,5.73,1
7.4,0,kick,7.6,6.16,1
7.5,0,kick,7.1,6.59,1
7.6,0,kick,6.6,7.02,1
7.7,0,kick,6.3,7.46,1
7.8,0,kick,5.9,7.89,1
7.9,0,kick,5.6,8.32,1
8.0,0,kick,5.3,8.76,1
8.1,0,kick,5.1,9.19,1
8.2,0,kick,4.8,9.63,1
8.3,0,kick,4.6,10.06,1
8.4,0,kick,4.4,10.50,1
8.5,0,kick,4.3,10.93,1
8.6,0,kick,4.1,11.37,1
8.7,0,kick,3.9,11.80,1
8.8,0,kick,3.8,12.24,1
8.9,0,kick,3.7,12.67,1
9.0,0,kick,3.6,13.11,1
9.1,0,kick,3.4,13.54,1
9.2,0,kick,3.3,13.98,1
9.3,0,kick,3.2,14.41,1
9.4,0,kick,3.1,14.85,1
9.5,0,kick,3.0,15.28,1
9.6,0,kick,3.0,15.72,1
9.7,0,kick,2.9,16.16,1
9.8,0,kick,2.8,16.59,1
9.9,0,kick,2.7,17.03,1
