t_s,class,az_deg,dist_m
0.3,bike,-179,57.53
0.4,bike,-179,56.54
0.5,bike,-179,55.55
0.6,bike,-179,54.55
0.7,bike,-179,53.56
0.8,bike,-179,52.57
0.9,bike,-179,51.58
1.0,bike,-179,50.59
1.1,bike,-179,49.60
1.2,bike,-179,48.61
1.3,bike,-179,47.62
1.4,bike,-179,46.62
1.5,bike,-179,45.63
1.6,bike,-179,44.64
1.7,bike,-178,43.65
1.8,bike,-178,42.66
1.9,bike,-178,41.67
2.0,bike,-178,40.68
2.1,bike,-178,39.68
2.2,bike,-178,38.69
2.3,bike,-178,37.70
2.4,bike,-178,36.71
2.5,bike,-178,35.72
2.6,bike,-178,34.73
2.7,bike,-178,33.74
2.8,bike,-178,32.75
2.9,bike,-178,31.76
3.0,bike,-178,30.77
3.1,bike,-178,29.77
3.2,bike,-178,28.78
3.3,bike,-178,27.79
3.4,bike,-178,26.80
3.5,bike,-177,25.81
3.6,bike,-177,24.82
3.7,bike,-177,23.83
3.8,bike,-177,22.84
3.9,bike,-177,21.85
4.0,bike,-177,20.86
4.1,bike,-177,19.87
4.2,bike,-176,18.88
4.3,bike,-176,17.89
4.4,bike,-176,16.90
4.5,bike,-176,15.91
4.6,bike,-176,14.92
4.7,bike,-175,13.94
4.8,bike,-175,12.95
4.9,bike,-174,11.96
5.0,bike,-174,10.97
5.1,bike,-173,9.99
5.2,bike,-173,9.01
5.3,bike,-172,8.02
5.4,bike,-171,7.04
5.5,bike,-169,6.07
5.6,bike,-167,5.10
5.7,bike,-164,4.14
5.8,bike,-159,3.21
5.9,bike,-150,2.32
6.0,bike,-131,1.56
6.1,bike,-92,1.20
6.2,bike,-52,1.56
6.3,bike,-32,2.32
6.4,bike,-23,3.21
6.5,bike,-17,4.14
6.6,bike,-14,5.10
6.7,bike,-12,6.07
6.8,bike,-10,7.04
6.9,bike,-9,8.02
7.0,bike,-8,9.01
7.1,bike,-7,9.99
7.2,bike,-6,10.97
7.3,bike,-6,11.96
7.4,bike,-5,12.95
7.5,bike,-5,13.94
7.6,bike,-5,14.92
7.7,bike,-4,15.91
7.8,bike,-4,16.90
7.9,bike,-4,17.89
8.0,bike,-4,18.88
8.1,bike,-4,19.87
8.2,bike,-3,20.86
8.3,bike,-3,21.85
8.4,bike,-3,22.84
8.5,bike,-3,23.83
8.6,bike,-3,24.82
8.7,bike,-3,25.81
8.8,bike,-3,26.80
8.9,bike,-3,27.79
9.0,bike,-2,28.78
9.1,bike,-2,29.77
9.2,bike,-2,30.77
9.3,bike,-2,31.76
9.4,bike,-2,32.75
9.5,bike,-2,33.74
9.6,bike,-2,34.73
9.7,bike,-2,35.72
9.8,bike,-2,36.71
9.9,bike,-2,37.70
10.0,bike,-2,38.69
# オラクル（検出=GT系列）。モデル出力ではない
