t_s,obj,class,az_deg,dist_m,vis
0.3,0,siren,177.6,93.14,1
0.4,0,siren,177.6,91.75,1
0.5,0,siren,177.6,90.37,1
0.6,0,siren,177.5,88.98,1
0.7,0,siren,177.5,87.59,1
0.8,0,siren,177.4,86.20,1
0.9,0,siren,177.4,84.82,1
1.0,0,siren,177.4,83.43,1
1.1,0,siren,177.3,82.04,1
1.2,0,siren,177.3,80.65,1
1.3,0,siren,177.2,79.27,1
1.4,0,siren,177.2,77.88,1
1.5,0,siren,177.1,76.49,1
1.6,0,siren,177.1,75.11,1
1.7,0,siren,177.0,73.72,1
1.8,0,siren,177.0,72.33,1
1.9,0,siren,176.9,70.95,1
2.0,0,siren,176.8,69.56,1
2.1,0,siren,176.8,68.17,1
2.2,0,siren,176.7,66.79,1
2.3,0,siren,176.6,65.40,1
2.4,0,siren,176.6,64.01,1
2.5,0,siren,176.5,62.63,1
2.6,0,siren,176.4,61.24,1
2.7,0,siren,176.3,59.86,1
2.8,0,siren,176.2,58.47,1
2.9,0,siren,176.1,57.08,1
3.0,0,siren,176.0,55.70,1
3.1,0,siren,175.9,54.31,1
3.2,0,siren,175.8,52.93,1
3.3,0,siren,175.7,51.54,1
3.4,0,siren,175.6,50.16,1
3.5,0,siren,175.5,48.78,1
3.6,0,siren,175.4,47.39,1
3.7,0,siren,175.2,46.01,1
3.8,0,siren,175.1,44.62,1
3.9,0,siren,174.9,43.24,1
4.0,0,siren,174.7,41.86,1
4.1,0,siren,174.6,40.48,1
4.2,0,siren,174.4,39.09,1
4.3,0,siren,174.2,37.71,1
4.4,0,siren,173.9,36.33,1
4.5,0,siren,173.7,34.95,1
4.6,0,siren,173.4,33.57,1
4.7,0,siren,173.2,32.19,1
4.8,0,siren,172.8,30.82,1
4.9,0,siren,172.5,29.44,1
5.0,0,siren,172.1,28.06,1
5.1,0,siren,171.7,26.69,1
5.2,0,siren,171.3,25.32,1
5.3,0,siren,170.8,23.95,1
5.4,0,siren,170.2,22.58,1
5.5,0,siren,169.6,21.21,1
5.6,0,siren,168.8,19.85,1
5.7,0,siren,168.0,18.49,1
5.8,0,siren,167.0,17.14,1
5.9,0,siren,165.9,15.79,1
6.0,0,siren,164.6,14.45,1
6.1,0,siren,163.0,13.12,1
6.2,0,siren,161.0,11.81,1
6.3,0,siren,158.5,10.51,1
6.4,0,siren,155.4,9.24,1
6.5,0,siren,151.2,8.01,1
6.6,0,siren,145.6,6.85,1
6.7,0,siren,137.8,5.78,1
6.8,0,siren,126.7,4.87,1
6.9,0,siren,111.3,4.23,1
7.0,0,siren,92.3,4.00,1
7.1,0,siren,73.0,4.23,1
7.2,0,siren,57.1,4.87,1
7.3,0,siren,45.4,5.78,1
7.4,0,siren,37.1,6.85,1
7.5,0,siren,31.1,8.01,1
7.6,0,siren,26.6,9.24,1
7.7,0,siren,23.2,10.51,1
7.8,0,siren,20.6,11.81,1
7.9,0,siren,18.5,13.12,1
8.0,0,siren,16.7,14.45,1
8.1,0,siren,15.3,15.79,1
8.2,0,siren,14.0,17.14,1
8.3,0,siren,13.0,18.49,1
8.4,0,siren,12.1,19.85,1
8.5,0,siren,11.3,21.21,1
8.6,0,siren,10.6,22.58,1
8.7,0,siren,10.0,23.95,1
8.8,0,siren,9.5,25.32,1
8.9,0,siren,9.0,26.69,1
9.0,0,siren,8.5,28.06,1
9.1,0,siren,8.1,29.44,1
9.2,0,siren,7.8,30.82,1
9.3,0,siren,7.4,32.19,1
9.4,0,siren,7.1,33.57,1
9.5,0,siren,6.8,34.95,1
9.6,0,siren,6.6,36.33,1
9.7,0,siren,6.3,37.71,1
9.8,0,siren,6.1,39.09,1
9.9,0,siren,5.9,40.48,1
