t_s,class,az_deg,dist_m
0.3,car,-76,39.60
0.4,car,-76,38.76
0.5,car,-76,37.93
0.6,car,-75,37.09
0.7,car,-75,36.25
0.8,car,-75,35.42
0.9,car,-75,34.58
1.0,car,-75,33.75
1.1,car,-75,32.91
1.2,car,-74,32.08
1.3,car,-74,31.25
1.4,car,-74,30.41
1.5,car,-74,29.58
1.6,car,-73,28.75
1.7,car,-73,27.92
1.8,car,-73,27.08
1.9,car,-73,26.25
2.0,car,-72,25.42
2.1,car,-72,24.60
2.2,car,-72,23.77
2.3,car,-71,22.94
2.4,car,-71,22.12
2.5,car,-70,21.29
2.6,car,-70,20.47
2.7,car,-69,19.65
2.8,car,-69,18.83
2.9,car,-68,18.01
3.0,car,-68,17.19
3.1,car,-67,16.38
3.2,car,-66,15.58
3.3,car,-65,14.81
3.4,car,-64,14.07
3.5,car,-63,13.35
3.6,car,-62,12.65
3.7,car,-61,11.98
3.8,car,-60,11.34
3.9,car,-59,10.73
4.0,car,-58,10.14
4.1,car,-56,9.58
4.2,car,-55,9.04
4.3,car,-53,8.53
4.4,car,-52,8.05
4.5,car,-50,7.59
4.6,car,-48,7.15
4.7,car,-47,6.75
4.8,car,-45,6.36
4.9,car,-43,6.00
5.0,car,-41,5.67
5.1,car,-39,5.36
5.2,car,-37,5.06
5.3,car,-34,4.77
5.4,car,-32,4.49
5.5,car,-29,4.22
5.6,car,-25,3.96
5.7,car,-21,3.72
5.8,car,-17,3.50
5.9,car,-12,3.31
6.0,car,-7,3.14
6.1,car,-1,3.00
6.2,car,6,2.90
6.3,car,13,2.84
6.4,car,20,2.82
6.5,car,27,2.85
6.6,car,34,2.92
6.7,car,41,3.04
6.8,car,47,3.18
6.9,car,52,3.36
7.0,car,57,3.56
7.1,car,61,3.79
7.2,car,65,4.04
7.3,car,68,4.30
7.4,car,71,4.57
7.5,car,74,4.85
7.6,car,76,5.14
7.7,car,78,5.44
7.8,car,80,5.75
7.9,car,82,6.06
8.0,car,83,6.38
8.1,car,85,6.69
8.2,car,86,7.02
8.3,car,87,7.34
8.4,car,88,7.67
8.5,car,89,8.00
8.6,car,90,8.33
8.7,car,91,8.67
8.8,car,91,9.00
8.9,car,92,9.34
9.0,car,93,9.68
9.1,car,93,10.02
9.2,car,94,10.36
9.3,car,94,10.70
9.4,car,95,11.04
9.5,car,95,11.38
9.6,car,96,11.73
9.7,car,96,12.07
9.8,car,97,12.41
9.9,car,97,12.76
10.0,car,97,13.11
# オラクル（検出=GT系列）。モデル出力ではない
