t_s,class,az_deg,dist_m
0.3,car,174,42.38
0.4,car,174,41.67
0.5,car,174,40.97
0.6,car,174,40.26
0.7,car,174,39.56
0.8,car,174,38.85
0.9,car,174,38.15
1.0,car,173,37.45
1.1,car,173,36.74
1.2,car,173,36.04
1.3,car,173,35.34
1.4,car,173,34.63
1.5,car,172,33.93
1.6,car,172,33.23
1.7,car,172,32.53
1.8,car,172,31.83
1.9,car,171,31.13
2.0,car,171,30.43
2.1,car,171,29.74
2.2,car,171,29.04
2.3,car,170,28.34
2.4,car,170,27.65
2.5,car,170,26.95
2.6,car,169,26.26
2.7,car,169,25.57
2.8,car,168,24.88
2.9,car,168,24.19
3.0,car,168,23.50
3.1,car,167,22.81
3.2,car,167,22.13
3.3,car,166,21.45
3.4,car,165,20.77
3.5,car,165,20.09
3.6,car,164,19.41
3.7,car,163,18.74
3.8,car,163,18.07
3.9,car,162,17.40
4.0,car,161,16.74
4.1,car,160,16.08
4.2,car,159,15.43
4.3,car,158,14.78
4.4,car,157,14.14
4.5,car,155,13.50
4.6,car,154,12.87
4.7,car,152,12.25
4.8,car,151,11.64
4.9,car,149,11.05
5.0,car,147,10.47
5.1,car,144,9.89
5.2,car,142,9.34
5.3,car,139,8.80
5.4,car,135,8.29
5.5,car,132,7.82
5.6,car,127,7.38
5.7,car,123,6.99
5.8,car,117,6.66
5.9,car,112,6.38
6.0,car,106,6.18
6.1,car,99,6.05
6.2,car,95,6.64
6.3,car,92,7.34
6.4,car,89,8.05
6.5,car,87,8.78
6.6,car,85,9.37
6.7,car,82,9.59
6.8,car,78,9.85
6.9,car,74,10.15
7.0,car,70,10.49
7.1,car,67,10.87
7.2,car,64,11.29
7.3,car,61,11.73
7.4,car,59,12.19
7.5,car,56,12.69
7.6,car,54,13.20
7.7,car,52,13.73
7.8,car,50,14.27
7.9,car,48,14.83
8.0,car,46,15.41
8.1,car,45,15.99
8.2,car,43,16.59
8.3,car,42,17.19
8.4,car,41,17.80
8.5,car,40,18.42
8.6,car,39,19.05
8.7,car,38,19.68
8.8,car,37,20.32
8.9,car,36,20.96
9.0,car,35,21.61
9.1,car,34,22.26
9.2,car,33,22.92
9.3,car,33,23.58
9.4,car,32,24.24
9.5,car,31,24.90
9.6,car,31,25.57
9.7,car,30,26.24
9.8,car,30,26.91
9.9,car,29,27.59
10.0,car,29,28.27
# オラクル（検出=GT系列）。モデル出力ではない
