t_s,obj,class,az_deg,dist_m,vis
0.2,0,car,55.9,36.56,1
0.3,0,car,55.8,35.72,1
0.4,0,car,55.8,34.89,1
0.5,0,car,55.7,34.06,1
0.6,0,car,55.6,33.23,1
0.7,0,car,55.5,32.40,1
0.8,0,car,55.5,31.56,1
0.9,0,car,55.4,30.73,1
1.0,0,car,55.3,29.90,1
1.1,0,car,55.2,29.07,1
1.2,0,car,55.1,28.24,1
1.3,0,car,55.0,27.41,1
1.4,0,car,54.8,26.57,1
1.5,0,car,54.7,25.74,1
1.6,0,car,54.6,24.91,1
1.7,0,car,54.4,24.08,1
1.8,0,car,54.3,23.25,1
1.9,0,car,54.1,22.42,1
2.0,0,car,53.9,21.59,1
2.1,0,car,53.7,20.76,1
2.2,0,car,53.5,19.93,1
2.3,0,car,53.3,19.10,1
2.4,0,car,53.0,18.27,1
2.5,0,car,52.8,17.44,1
2.6,0,car,52.5,16.61,1
2.7,0,car,52.1,15.79,1
2.8,0,car,51.8,14.96,1
2.9,0,car,51.3,14.13,1
3.0,0,car,50.9,13.31,1
3.1,0,car,50.4,12.49,1
3.2,0,car,49.8,11.70,1
3.3,0,car,49.1,10.93,1
3.4,0,car,48.4,10.18,1
3.5,0,car,47.6,9.46,1
3.6,0,car,46.7,8.75,1
3.7,0,car,45.6,8.07,1
3.8,0,car,44.4,7.42,1
3.9,0,car,43.0,6.78,1
4.0,0,car,41.4,6.18,1
4.1,0,car,39.5,5.59,1
4.2,0,car,37.3,5.04,1
4.3,0,car,34.6,4.51,1
4.4,0,car,31.4,4.02,1
4.5,0,car,27.4,3.55,1
4.6,0,car,22.5,3.13,1
4.7,0,car,15.5,2.82,1
4.8,0,car,6.6,2.62,1
4.9,0,car,-3.0,2.50,1
5.0,0,car,-12.9,2.46,1
5.1,0,car,-22.6,2.49,1
5.2,0,car,-31.8,2.58,1
5.3,0,car,-40.2,2.74,1
5.4,0,car,-47.5,2.94,1
5.5,0,car,-53.8,3.19,1
5.6,0,car,-59.1,3.47,1
5.7,0,car,-63.6,3.78,1
5.8,0,car,-67.5,4.11,1
5.9,0,car,-70.7,4.45,1
6.0,0,car,-73.5,4.80,1
6.1,0,car,-75.9,5.16,1
6.2,0,car,-77.9,5.53,1
6.3,0,car,-79.8,5.91,1
