t_s,urgency,az_deg
0.1,0.000,0
0.2,0.000,0
0.3,0.000,0
0.4,0.000,0
0.5,0.000,0
0.6,0.000,0
0.7,0.000,0
0.8,0.000,0
0.9,0.000,0
1.0,0.000,0
1.1,0.000,0
1.2,0.000,0
1.3,0.000,0
1.4,0.000,0
1.5,0.000,0
1.6,0.000,0
1.7,0.000,0
1.8,0.000,0
1.9,0.000,0
2.0,0.019,54
2.1,0.045,54
2.2,0.073,54
2.3,0.103,54
2.4,0.135,53
2.5,0.169,53
2.6,0.206,53
2.7,0.246,52
2.8,0.289,52
2.9,0.336,52
3.0,0.387,51
3.1,0.444,51
3.2,0.495,50
3.3,0.536,50
3.4,0.572,49
3.5,0.609,48
3.6,0.652,48
3.7,0.703,47
3.8,0.756,46
3.9,0.813,44
4.0,0.873,43
4.1,0.936,41
4.2,1.000,40
4.3,1.000,37
4.4,1.000,35
4.5,1.000,31
4.6,1.000,27
4.7,1.000,22
4.8,0.838,15
4.9,0.000,0
5.0,0.000,0
5.1,0.000,0
5.2,0.000,0
5.3,0.000,0
5.4,0.000,0
5.5,0.000,0
5.6,0.000,0
5.7,0.000,0
5.8,0.000,0
5.9,0.000,0
6.0,0.000,0
6.1,0.000,0
6.2,0.000,0
6.3,0.000,0
6.4,0.000,0
6.5,0.000,0
6.6,0.000,0
6.7,0.000,0
6.8,0.000,0
6.9,0.000,0
7.0,0.000,0
7.1,0.000,0
7.2,0.000,0
7.3,0.000,0
7.4,0.000,0
7.5,0.000,0
7.6,0.000,0
7.7,0.000,0
7.8,0.000,0
7.9,0.000,0
8.0,0.000,0
8.1,0.000,0
8.2,0.000,0
8.3,0.000,0
8.4,0.000,0
8.5,0.000,0
8.6,0.000,0
8.7,0.000,0
8.8,0.000,0
8.9,0.000,0
9.0,0.000,0
9.1,0.000,0
9.2,0.000,0
9.3,0.000,0
9.4,0.000,0
9.5,0.000,0
9.6,0.000,0
9.7,0.000,0
9.8,0.000,0
9.9,0.000,0
10.0,0.000,0
