t_s,obj,class,az_deg,dist_m,vis
0.2,0,car,-95.2,33.71,1
0.3,0,car,-95.3,33.03,1
0.4,0,car,-95.3,32.35,1
0.5,0,car,-95.4,31.67,1
0.6,0,car,-95.5,30.99,1
0.7,0,car,-95.6,30.31,1
0.8,0,car,-95.6,29.63,1
0.9,0,car,-95.7,28.96,1
1.0,0,car,-95.8,28.28,1
1.1,0,car,-95.9,27.60,1
1.2,0,car,-96.0,26.92,1
1.3,0,car,-96.1,26.24,1
1.4,0,car,-96.2,25.56,1
1.5,0,car,-96.3,24.88,1
1.6,0,car,-96.4,24.21,1
1.7,0,car,-96.6,23.53,1
1.8,0,car,-96.7,22.85,1
1.9,0,car,-96.8,22.17,1
2.0,0,car,-97.0,21.49,1
2.1,0,car,-97.1,20.82,1
2.2,0,car,-97.3,20.14,1
2.3,0,car,-97.5,19.46,1
2.4,0,car,-97.7,18.79,1
2.5,0,car,-97.9,18.11,1
2.6,0,car,-98.1,17.43,1
2.7,0,car,-98.4,16.76,1
2.8,0,car,-98.7,16.08,1
2.9,0,car,-98.9,15.41,1
3.0,0,car,-99.3,14.73,1
3.1,0,car,-99.6,14.06,1
3.2,0,car,-100.0,13.42,1
3.3,0,car,-100.4,12.79,1
3.4,0,car,-100.8,12.18,1
3.5,0,car,-101.2,11.59,1
3.6,0,car,-101.6,11.02,1
3.7,0,car,-102.1,10.47,1
3.8,0,car,-102.6,9.94,1
3.9,0,car,-103.2,9.42,1
4.0,0,car,-103.8,8.93,1
4.1,0,car,-104.6,8.45,1
4.2,0,car,-105.4,8.00,1
4.3,0,car,-106.3,7.56,1
4.4,0,car,-107.3,7.14,1
4.5,0,car,-108.4,6.75,1
4.6,0,car,-109.7,6.37,1
4.7,0,car,-111.1,6.02,1
4.8,0,car,-112.6,5.69,1
4.9,0,car,-114.3,5.38,1
5.0,0,car,-116.2,5.10,1
5.1,0,car,-118.2,4.83,1
5.2,0,car,-120.5,4.56,1
5.3,0,car,-123.1,4.29,1
5.4,0,car,-126.1,4.04,1
5.5,0,car,-129.5,3.79,1
5.6,0,car,-133.3,3.56,1
5.7,0,car,-137.7,3.34,1
5.8,0,car,-142.7,3.14,1
5.9,0,car,-148.4,2.97,1
6.0,0,car,-154.8,2.83,1
6.1,0,car,-161.8,2.72,1
6.2,0,car,-169.3,2.66,1
6.3,0,car,-177.1,2.65,1
6.4,0,car,175.0,2.68,1
6.5,0,car,167.5,2.77,1
6.6,0,car,160.4,2.89,1
6.7,0,car,153.9,3.06,1
6.8,0,car,148.1,3.27,1
6.9,0,car,143.0,3.51,1
7.0,0,car,138.5,3.77,1
7.1,0,car,134.6,4.05,1
7.2,0,car,131.1,4.35,1
7.3,0,car,128.1,4.67,1
7.4,0,car,125.4,5.00,1
7.5,0,car,123.1,5.34,1
7.6,0,car,121.0,5.69,1
7.7,0,car,119.1,6.06,1
7.8,0,car,117.5,6.42,1
7.9,0,car,115.8,6.77,1
8.0,0,car,113.8,7.06,1
8.1,0,car,111.9,7.37,1
8.2,0,car,110.1,7.68,1
8.3,0,car,108.5,8.00,1
8.4,0,car,106.9,8.34,1
8.5,0,car,105.5,8.67,1
8.6,0,car,104.1,9.02,1
8.7,0,car,102.9,9.37,1
8.8,0,car,101.7,9.73,1
8.9,0,car,100.6,10.10,1
9.0,0,car,99.6,10.47,1
9.1,0,car,98.6,10.85,1
9.2,0,car,97.6,11.23,1
9.3,0,car,96.8,11.62,1
9.4,0,car,95.9,12.01,1
9.5,0,car,95.2,12.41,1
9.6,0,car,94.4,12.82,1
9.7,0,car,93.7,13.23,1
9.8,0,car,93.0,13.64,1
9.9,0,car,92.4,14.06,1
