t_s,obj,class,az_deg,dist_m,vis
0.1,0,car,53.3,23.74,1
0.2,0,car,53.3,22.84,1
0.3,0,car,53.4,21.94,1
0.4,0,car,53.4,21.04,1
0.5,0,car,53.5,20.14,1
0.6,0,car,53.5,19.24,1
0.7,0,car,53.6,18.34,1
0.8,0,car,53.6,17.44,1
0.9,0,car,53.7,16.54,1
1.0,0,car,53.8,15.63,1
1.1,0,car,53.8,14.73,1
1.2,0,car,53.9,13.83,1
1.3,0,car,54.0,12.93,1
1.4,0,car,54.2,12.03,1
1.5,0,car,54.3,11.13,1
1.6,0,car,54.5,10.23,1
1.7,0,car,54.7,9.33,1
1.8,0,car,54.9,8.43,1
1.9,0,car,55.2,7.53,1
2.0,0,car,54.4,6.67,1
2.1,0,car,52.5,5.84,1
2.2,0,car,50.0,5.03,1
2.3,0,car,46.6,4.26,1
2.4,0,car,42.0,3.53,1
2.5,0,car,35.4,2.84,1
2.6,0,car,25.1,2.24,1
2.7,0,car,8.9,1.76,1
2.8,0,car,-14.8,1.51,1
2.9,0,car,-40.9,1.57,1
3.0,0,car,-61.1,1.89,1
3.1,0,car,-74.3,2.34,1
3.2,0,car,-82.7,2.85,1
3.3,0,car,-88.4,3.39,1
3.4,0,car,-92.4,3.93,1
3.5,0,car,-95.4,4.46,1
3.6,0,car,-97.7,4.98,1
3.7,0,car,-99.6,5.48,1
3.8,0,car,-101.2,5.97,1
3.9,0,car,-102.5,6.44,1
4.0,0,car,-103.6,6.90,1
4.1,0,car,-104.5,7.34,1
4.2,0,car,-105.4,7.79,1
4.3,0,car,-106.2,8.24,1
4.4,0,car,-106.9,8.69,1
4.5,0,car,-107.5,9.14,1
4.6,0,car,-108.1,9.59,1
4.7,0,car,-108.6,10.05,1
4.8,0,car,-109.0,10.50,1
4.9,0,car,-109.5,10.95,1
5.0,0,car,-109.9,11.41,1
5.1,0,car,-110.2,11.87,1
5.2,0,car,-110.6,12.32,1
5.3,0,car,-110.9,12.78,1
5.4,0,car,-111.2,13.24,1
5.5,0,car,-111.4,13.69,1
5.6,0,car,-111.6,14.14,1
5.7,0,car,-111.7,14.60,1
5.8,0,car,-111.9,15.05,1
5.9,0,car,-112.0,15.51,1
6.0,0,car,-112.2,15.96,1
6.1,0,car,-112.3,16.42,1
6.2,0,car,-112.4,16.87,1
6.3,0,car,-112.5,17.33,1
6.4,0,car,-112.7,17.78,1
6.5,0,car,-112.8,18.24,1
6.6,0,car,-112.9,18.69,1
6.7,0,car,-112.9,19.15,1
6.8,0,car,-113.0,19.60,1
6.9,0,car,-113.1,20.06,1
7.0,0,car,-113.2,20.51,1
7.1,0,car,-113.3,20.97,1
7.2,0,car,-113.4,21.42,1
7.3,0,car,-113.4,21.88,1
7.4,0,car,-113.5,22.34,1
7.5,0,car,-113.6,22.79,1
7.6,0,car,-113.6,23.25,1
7.7,0,car,-113.7,23.70,1
7.8,0,car,-113.7,24.16,1
7.9,0,car,-113.8,24.61,1
8.0,0,car,-113.9,25.07,1
8.1,0,car,-113.9,25.53,1
8.2,0,car,-114.0,25.98,1
8.3,0,car,-114.0,26.44,1
8.4,0,car,-114.1,26.89,1
8.5,0,car,-114.1,27.35,1
8.6,0,car,-114.1,27.80,1
8.7,0,car,-114.2,28.26,1
8.8,0,car,-114.2,28.72,1
8.9,0,car,-114.3,29.17,1
9.0,0,car,-114.3,29.63,1
9.1,0,car,-114.3,30.08,1
9.2,0,car,-114.4,30.54,1
9.3,0,car,-114.4,30.99,1
9.4,0,car,-114.5,31.45,1
9.5,0,car,-114.5,31.91,1
9.6,0,car,-114.5,32.36,1
9.7,0,car,-114.5,32.82,1
9.8,0,car,-114.6,33.27,1
9.9,0,car,-114.6,33.73,1
