t_s,class,az_deg,dist_m
0.2,crossing,56,
0.3,crossing,56,
0.4,crossing,56,
0.5,crossing,56,
0.6,crossing,56,
0.7,crossing,56,
0.8,crossing,56,
0.9,crossing,56,
1.0,crossing,56,
1.1,crossing,56,
1.2,crossing,56,
1.3,crossing,56,
1.4,crossing,56,
1.5,crossing,56,
1.6,crossing,56,
1.7,crossing,56,
1.8,crossing,56,
1.9,crossing,56,
2.0,crossing,56,
2.1,crossing,56,
2.2,crossing,56,
2.3,crossing,56,
2.4,crossing,56,
2.5,crossing,56,
2.6,crossing,56,
2.7,crossing,56,
2.8,crossing,56,
2.9,crossing,56,
3.0,crossing,56,
3.1,crossing,56,
3.2,crossing,56,
3.3,crossing,56,
3.4,crossing,56,
3.5,crossing,56,
3.6,crossing,56,
3.7,crossing,56,
3.8,crossing,56,
3.9,crossing,56,
4.0,crossing,56,
4.1,crossing,56,
4.2,crossing,56,
4.3,crossing,56,
4.4,crossing,56,
4.5,crossing,56,
4.6,crossing,56,
4.7,crossing,56,
4.8,crossing,56,
4.9,crossing,56,
5.0,crossing,56,
5.1,crossing,56,
5.2,crossing,56,
5.3,crossing,56,
5.4,crossing,56,
5.5,crossing,56,
5.6,crossing,56,
5.7,crossing,56,
5.8,crossing,56,
5.9,crossing,56,
6.0,crossing,56,
6.1,crossing,56,
6.2,crossing,56,
6.3,crossing,56,
6.4,crossing,56,
6.5,crossing,56,
6.6,crossing,56,
6.7,crossing,56,
6.8,crossing,56,
6.9,crossing,56,
7.0,crossing,56,
7.1,crossing,56,
7.2,crossing,56,
7.3,crossing,56,
7.4,crossing,56,
7.5,crossing,56,
7.6,crossing,56,
7.7,crossing,56,
7.8,crossing,56,
7.9,crossing,56,
8.0,crossing,56,
8.1,crossing,56,
8.2,crossing,56,
8.3,crossing,56,
8.4,crossing,56,
8.5,crossing,56,
8.6,crossing,56,
8.7,crossing,56,
8.8,crossing,56,
8.9,crossing,56,
9.0,crossing,56,
9.1,crossing,56,
9.2,crossing,56,
9.3,crossing,56,
9.4,crossing,56,
9.5,crossing,56,
9.6,crossing,56,
9.7,crossing,56,
9.8,crossing,56,
9.9,crossing,56,
10.0,crossing,56,
# オラクル（検出=GT系列）。モデル出力ではない
