t_s,obj,class,az_deg,dist_m,vis
0.1,0,backup_beep,-175.2,9.62,1
0.2,0,backup_beep,-175.2,9.48,1
0.3,0,backup_beep,-175.1,9.34,1
0.4,0,backup_beep,-175.0,9.20,1
0.5,0,backup_beep,-175.0,9.06,1
0.6,0,backup_beep,-174.9,8.92,1
0.7,0,backup_beep,-174.8,8.79,1
0.8,0,backup_beep,-174.7,8.65,1
0.9,0,backup_beep,-174.6,8.51,1
1.0,0,backup_beep,-174.5,8.37,1
1.1,0,backup_beep,-174.4,8.23,1
1.2,0,backup_beep,-174.4,8.10,1
1.3,0,backup_beep,-174.3,7.96,1
1.4,0,backup_beep,-174.2,7.82,1
1.5,0,backup_beep,-174.0,7.68,1
1.6,0,backup_beep,-173.9,7.54,1
1.7,0,backup_beep,-173.8,7.40,1
1.8,0,backup_beep,-173.7,7.27,1
1.9,0,backup_beep,-173.6,7.13,1
2.0,0,backup_beep,-173.5,6.99,1
2.1,0,backup_beep,-173.3,6.85,1
2.2,0,backup_beep,-173.2,6.71,1
2.3,0,backup_beep,-173.0,6.58,1
2.4,0,backup_beep,-172.9,6.44,1
2.5,0,backup_beep,-172.7,6.30,1
2.6,0,backup_beep,-172.6,6.16,1
2.7,0,backup_beep,-172.4,6.03,1
2.8,0,backup_beep,-172.2,5.89,1
2.9,0,backup_beep,-172.0,5.75,1
3.0,0,backup_beep,-171.8,5.61,1
3.1,0,backup_beep,-171.6,5.48,1
3.2,0,backup_beep,-171.4,5.34,1
3.3,0,backup_beep,-171.2,5.20,1
3.4,0,backup_beep,-170.9,5.06,1
3.5,0,backup_beep,-170.7,4.93,1
3.6,0,backup_beep,-170.4,4.79,1
3.7,0,backup_beep,-170.1,4.65,1
3.8,0,backup_beep,-169.8,4.52,1
3.9,0,backup_beep,-169.5,4.38,1
4.0,0,backup_beep,-169.2,4.24,1
4.1,0,backup_beep,-168.8,4.11,1
4.2,0,backup_beep,-168.4,3.97,1
4.3,0,backup_beep,-168.0,3.83,1
4.4,0,backup_beep,-167.6,3.70,1
4.5,0,backup_beep,-167.1,3.56,1
4.6,0,backup_beep,-166.6,3.43,1
4.7,0,backup_beep,-166.0,3.29,1
4.8,0,backup_beep,-165.4,3.16,1
4.9,0,backup_beep,-164.7,3.02,1
5.0,0,backup_beep,-164.0,2.89,1
5.1,0,backup_beep,-163.2,2.76,1
5.2,0,backup_beep,-162.3,2.62,1
5.3,0,backup_beep,-161.4,2.49,1
5.4,0,backup_beep,-160.3,2.36,1
5.5,0,backup_beep,-159.1,2.23,1
5.6,0,backup_beep,-157.7,2.10,1
5.7,0,backup_beep,-156.2,1.97,1
5.8,0,backup_beep,-154.5,1.85,1
5.9,0,backup_beep,-152.5,1.72,1
6.0,0,backup_beep,-150.2,1.60,1
6.1,0,backup_beep,-147.5,1.48,1
6.2,0,backup_beep,-144.4,1.37,1
6.3,0,backup_beep,-140.7,1.26,1
6.4,0,backup_beep,-136.3,1.16,1
6.5,0,backup_beep,-131.1,1.06,1
6.6,0,backup_beep,-125.0,0.97,1
6.7,0,backup_beep,-117.7,0.90,1
6.8,0,backup_beep,-109.4,0.85,1
6.9,0,backup_beep,-100.1,0.81,1
7.0,0,backup_beep,-90.2,0.80,1
7.1,0,backup_beep,-80.4,0.81,1
7.2,0,backup_beep,-71.1,0.85,1
7.3,0,backup_beep,-62.7,0.90,1
7.4,0,backup_beep,-55.4,0.97,1
7.5,0,backup_beep,-49.2,1.06,1
7.6,0,backup_beep,-44.0,1.16,1
7.7,0,backup_beep,-39.6,1.26,1
7.8,0,backup_beep,-35.9,1.37,1
7.9,0,backup_beep,-32.7,1.48,1
8.0,0,backup_beep,-30.1,1.60,1
8.1,0,backup_beep,-27.7,1.72,1
8.2,0,backup_beep,-25.7,1.85,1
8.3,0,backup_beep,-24.0,1.97,1
8.4,0,backup_beep,-22.5,2.10,1
8.5,0,backup_beep,-21.1,2.23,1
8.6,0,backup_beep,-19.9,2.36,1
8.7,0,backup_beep,-18.8,2.49,1
8.8,0,backup_beep,-17.8,2.62,1
8.9,0,backup_beep,-16.9,2.76,1
9.0,0,backup_beep,-16.1,2.89,1
9.1,0,backup_beep,-15.4,3.02,1
9.2,0,backup_beep,-14.7,3.16,1
9.3,0,backup_beep,-14.1,3.29,1
9.4,0,backup_beep,-13.5,3.43,1
9.5,0,backup_beep,-13.0,3.56,1
9.6,0,backup_beep,-12.5,3.70,1
9.7,0,backup_beep,-12.1,3.83,1
9.8,0,backup_beep,-11.7,3.97,1
9.9,0,backup_beep,-11.3,4.11,1
0.1,1,car,-175.2,9.62,1
0.2,1,car,-175.2,9.48,1
0.3,1,car,-175.1,9.34,1
0.4,1,car,-175.0,9.20,1
0.5,1,car,-175.0,9.06,1
0.6,1,car,-174.9,8.92,1
0.7,1,car,-174.8,8.79,1
0.8,1,car,-174.7,8.65,1
0.9,1,car,-174.6,8.51,1
1.0,1,car,-174.5,8.37,1
1.1,1,car,-174.4,8.23,1
1.2,1,car,-174.4,8.10,1
1.3,1,car,-174.3,7.96,1
1.4,1,car,-174.2,7.82,1
1.5,1,car,-174.0,7.68,1
1.6,1,car,-173.9,7.54,1
1.7,1,car,-173.8,7.40,1
1.8,1,car,-173.7,7.27,1
1.9,1,car,-173.6,7.13,1
2.0,1,car,-173.5,6.99,1
2.1,1,car,-173.3,6.85,1
2.2,1,car,-173.2,6.71,1
2.3,1,car,-173.0,6.58,1
2.4,1,car,-172.9,6.44,1
2.5,1,car,-172.7,6.30,1
2.6,1,car,-172.6,6.16,1
2.7,1,car,-172.4,6.03,1
2.8,1,car,-172.2,5.89,1
2.9,1,car,-172.0,5.75,1
3.0,1,car,-171.8,5.61,1
3.1,1,car,-171.6,5.48,1
3.2,1,car,-171.4,5.34,1
3.3,1,car,-171.2,5.20,1
3.4,1,car,-170.9,5.06,1
3.5,1,car,-170.7,4.93,1
3.6,1,car,-170.4,4.79,1
3.7,1,car,-170.1,4.65,1
3.8,1,car,-169.8,4.52,1
3.9,1,car,-169.5,4.38,1
4.0,1,car,-169.2,4.24,1
4.1,1,car,-168.8,4.11,1
4.2,1,car,-168.4,3.97,1
4.3,1,car,-168.0,3.83,1
4.4,1,car,-167.6,3.70,1
4.5,1,car,-167.1,3.56,1
4.6,1,car,-166.6,3.43,1
4.7,1,car,-166.0,3.29,1
4.8,1,car,-165.4,3.16,1
4.9,1,car,-164.7,3.02,1
5.0,1,car,-164.0,2.89,1
5.1,1,car,-163.2,2.76,1
5.2,1,car,-162.3,2.62,1
5.3,1,car,-161.4,2.49,1
5.4,1,car,-160.3,2.36,1
5.5,1,car,-159.1,2.23,1
5.6,1,car,-157.7,2.10,1
5.7,1,car,-156.2,1.97,1
5.8,1,car,-154.5,1.85,1
5.9,1,car,-152.5,1.72,1
6.0,1,car,-150.2,1.60,1
6.1,1,car,-147.5,1.48,1
6.2,1,car,-144.4,1.37,1
6.3,1,car,-140.7,1.26,1
6.4,1,car,-136.3,1.16,1
6.5,1,car,-131.1,1.06,1
6.6,1,car,-125.0,0.97,1
6.7,1,car,-117.7,0.90,1
6.8,1,car,-109.4,0.85,1
6.9,1,car,-100.1,0.81,1
7.0,1,car,-90.2,0.80,1
7.1,1,car,-80.4,0.81,1
7.2,1,car,-71.1,0.85,1
7.3,1,car,-62.7,0.90,1
7.4,1,car,-55.4,0.97,1
7.5,1,car,-49.2,1.06,1
7.6,1,car,-44.0,1.16,1
7.7,1,car,-39.6,1.26,1
7.8,1,car,-35.9,1.37,1
7.9,1,car,-32.7,1.48,1
8.0,1,car,-30.1,1.60,1
8.1,1,car,-27.7,1.72,1
8.2,1,car,-25.7,1.85,1
8.3,1,car,-24.0,1.97,1
8.4,1,car,-22.5,2.10,1
8.5,1,car,-21.1,2.23,1
8.6,1,car,-19.9,2.36,1
8.7,1,car,-18.8,2.49,1
8.8,1,car,-17.8,2.62,1
8.9,1,car,-16.9,2.76,1
9.0,1,car,-16.1,2.89,1
9.1,1,car,-15.4,3.02,1
9.2,1,car,-14.7,3.16,1
9.3,1,car,-14.1,3.29,1
9.4,1,car,-13.5,3.43,1
9.5,1,car,-13.0,3.56,1
9.6,1,car,-12.5,3.70,1
9.7,1,car,-12.1,3.83,1
9.8,1,car,-11.7,3.97,1
9.9,1,car,-11.3,4.11,1
