half,idx,label,strong,crit,caut,safe,lead,lead25,n_fire
0,0,brg5+mn4/4,81.94,96.99,92.60,70.54,1.00,21.13,1530
0,1,brg5+mn4/4+link,82.61,96.66,92.35,70.54,1.00,21.20,1533
0,2,brg5+mn4/4+rc(0.05,8),82.61,96.99,92.60,70.54,1.00,21.29,1531
0,3,brg5+mn4/4+rc(0.05,8)+link,83.28,96.66,92.35,70.54,1.00,21.35,1534
0,4,brg5+mn4/4+rc(0.05,15),83.28,96.99,92.86,69.69,1.10,22.78,1566
0,5,brg5+mn4/4+rc(0.05,15)+link,83.95,96.66,92.60,69.69,1.10,22.85,1569
0,6,brg5+mn4/4+rc(0.10,8),82.61,96.99,92.35,70.25,1.00,21.63,1535
0,7,brg5+mn4/4+rc(0.10,8)+link,83.28,96.66,92.09,70.25,1.00,21.69,1538
0,8,brg5+mn4/4+rc(0.10,15),86.29,97.66,93.11,67.42,1.20,25.88,1607
0,9,brg5+mn4/4+rc(0.10,15)+link,86.96,97.32,92.86,67.42,1.20,25.95,1609
0,10,brg5+mn4/4+rc(0.20,8),84.62,96.99,92.60,69.41,1.00,22.05,1555
0,11,brg5+mn4/4+rc(0.20,8)+link,85.28,96.66,92.35,69.41,1.10,22.12,1558
0,12,brg5+mn4/4+rc(0.20,15),90.64,97.32,94.64,60.34,1.40,28.25,1676
0,13,brg5+mn4/4+rc(0.20,15)+link,90.97,97.32,94.39,60.62,1.40,28.29,1678
0,14,brg5+mn4/6,84.28,97.32,94.39,68.56,1.30,25.26,1710
0,15,brg5+mn4/6+link,84.62,96.99,94.13,68.56,1.30,25.34,1713
0,16,brg5+mn4/6+rc(0.05,8),84.62,97.32,94.39,68.56,1.30,25.42,1714
0,17,brg5+mn4/6+rc(0.05,8)+link,84.95,96.99,94.13,68.56,1.30,25.49,1717
0,18,brg5+mn4/6+rc(0.05,15),86.29,97.66,94.39,67.71,1.40,27.34,1777
0,19,brg5+mn4/6+rc(0.05,15)+link,86.62,97.32,94.13,67.71,1.40,27.42,1780
0,20,brg5+mn4/6+rc(0.10,8),84.95,97.32,94.13,68.27,1.30,25.61,1732
0,21,brg5+mn4/6+rc(0.10,8)+link,85.28,96.99,93.88,68.27,1.30,25.68,1735
0,22,brg5+mn4/6+rc(0.10,15),88.63,97.66,94.39,64.87,1.50,30.51,1837
0,23,brg5+mn4/6+rc(0.10,15)+link,88.96,97.66,94.13,65.16,1.50,30.56,1839
0,24,brg5+mn4/6+rc(0.20,8),87.63,97.32,94.39,67.42,1.30,25.72,1751
0,25,brg5+mn4/6+rc(0.20,8)+link,87.96,96.99,94.13,67.42,1.30,25.80,1754
0,26,brg5+mn4/6+rc(0.20,15),92.64,97.32,95.66,57.22,1.70,32.73,1890
0,27,brg5+mn4/6+rc(0.20,15)+link,92.64,97.66,95.41,57.51,1.70,32.73,1893
0,28,brg5+mn3/5,91.64,97.99,95.41,61.76,1.70,33.28,1973
0,29,brg5+mn3/5+link,91.30,98.33,95.15,61.76,1.70,33.28,1978
0,30,brg5+mn3/5+rc(0.05,8),91.97,97.99,95.15,61.76,1.70,33.33,1979
0,31,brg5+mn3/5+rc(0.05,8)+link,91.64,98.33,94.90,61.76,1.70,33.33,1984
0,32,brg5+mn3/5+rc(0.05,15),92.31,97.99,95.15,61.19,1.80,35.14,2041
0,33,brg5+mn3/5+rc(0.05,15)+link,92.31,98.33,94.90,61.19,1.80,35.14,2046
0,34,brg5+mn3/5+rc(0.10,8),91.97,97.99,95.15,61.76,1.70,33.63,1996
0,35,brg5+mn3/5+rc(0.10,8)+link,91.64,98.33,94.90,61.76,1.70,33.63,2001
0,36,brg5+mn3/5+rc(0.10,15),93.65,97.99,95.41,57.79,1.90,37.33,2093
0,37,brg5+mn3/5+rc(0.10,15)+link,93.98,98.33,95.15,57.79,1.90,37.33,2098
0,38,brg5+mn3/5+rc(0.20,8),93.65,97.99,95.41,61.47,1.70,33.43,2005
0,39,brg5+mn3/5+rc(0.20,8)+link,93.31,98.33,95.15,61.47,1.70,33.43,2010
0,40,brg5+mn3/5+rc(0.20,15),96.32,98.66,96.17,49.86,2.00,38.54,2119
0,41,brg5+mn3/5+rc(0.20,15)+link,96.66,98.66,95.92,49.58,2.00,38.60,2124
0,42,brg9+mn4/4,87.63,97.66,94.13,65.44,1.30,28.59,1636
0,43,brg9+mn4/4+link,87.63,97.66,93.88,65.44,1.30,28.64,1641
0,44,brg9+mn4/4+rc(0.05,8),88.29,97.66,93.88,65.44,1.40,29.09,1636
