half,idx,label,strong,crit,caut,safe,safe_ho,lead,lead25,n_fire
0,0,brg5+mn4/4,74.57,94.16,88.65,74.29,27.27,1.20,22.13,1525
0,1,brg5+mn4/4+link,75.26,94.16,88.13,74.05,27.27,1.20,22.20,1525
0,2,brg5+mn4/4+rc(0.05,8),74.91,94.16,88.65,74.29,27.27,1.20,22.46,1526
0,3,brg5+mn4/4+rc(0.05,8)+link,75.60,94.16,88.13,74.05,27.27,1.20,22.53,1526
0,4,brg5+mn4/4+rc(0.05,15),75.95,94.85,88.92,73.81,27.27,1.30,23.98,1548
0,5,brg5+mn4/4+rc(0.05,15)+link,76.63,94.85,88.39,73.57,27.27,1.30,24.06,1548
0,6,brg5+mn4/4+rc(0.10,8),75.26,94.16,88.65,74.05,27.27,1.20,22.46,1530
0,7,brg5+mn4/4+rc(0.10,8)+link,75.95,94.16,88.13,73.81,27.27,1.20,22.53,1530
0,8,brg5+mn4/4+rc(0.10,15),80.07,94.50,89.45,71.67,27.27,1.45,26.71,1592
0,9,brg5+mn4/4+rc(0.10,15)+link,80.76,94.50,88.92,71.43,27.27,1.50,26.80,1592
0,10,brg5+mn4/4+rc(0.20,8),77.66,94.16,88.39,74.05,27.27,1.20,22.50,1523
0,11,brg5+mn4/4+rc(0.20,8)+link,78.01,94.16,87.86,73.81,27.27,1.30,22.57,1523
0,12,brg5+mn4/4+rc(0.20,15),85.57,94.85,91.29,64.76,27.27,1.70,30.06,1623
0,13,brg5+mn4/4+rc(0.20,15)+link,85.91,94.85,91.03,64.52,27.27,1.70,30.11,1623
0,14,brg5+mn4/6,75.95,94.85,89.97,71.67,22.73,1.50,26.26,1686
0,15,brg5+mn4/6+link,76.63,94.85,89.71,71.43,22.73,1.50,26.30,1686
0,16,brg5+mn4/6+rc(0.05,8),76.29,94.85,89.97,71.67,22.73,1.50,26.74,1691
0,17,brg5+mn4/6+rc(0.05,8)+link,76.98,94.85,89.71,71.43,22.73,1.50,26.79,1691
0,18,brg5+mn4/6+rc(0.05,15),78.69,95.53,90.24,70.95,22.73,1.50,28.71,1731
