half,idx,label,strong,crit,caut,safe,safe_ho,lead,lead25,n_fire
0,0,brg5+mn4/4+rc(0.05,15)+link+cs0.7/cm1.6,71.82,93.81,86.54,77.38,59.09,1.00,22.13,1468
0,1,brg5+mn4/4+rc(0.10,15)+link+cs0.7/cm1.6,78.01,93.81,87.60,75.00,59.09,1.30,25.62,1536
0,2,brg5+mn4/4+rc(0.15,15)+link+cs0.7/cm1.6,83.16,94.50,88.65,70.48,50.00,1.50,27.33,1580
0,3,brg5+mn4/4+rc(0.05,15)+link+cs0.7/cm2.0,71.82,94.85,88.39,73.57,27.27,1.20,24.06,1548
0,4,brg5+mn4/4+rc(0.10,15)+link+cs0.7/cm2.0,78.01,94.50,88.92,71.43,27.27,1.50,26.80,1592
0,5,brg5+mn4/4+rc(0.15,15)+link+cs0.7/cm2.0,83.16,95.19,89.71,68.57,27.27,1.60,28.85,1616
0,6,brg5+mn4/4+rc(0.05,15)+link+cs0.7/cm2.4,71.82,95.53,91.29,70.00,9.09,1.40,26.92,1585
0,7,brg5+mn4/4+rc(0.10,15)+link+cs0.7/cm2.4,78.01,95.19,91.56,68.57,9.09,1.60,28.69,1614
0,8,brg5+mn4/4+rc(0.15,15)+link+cs0.7/cm2.4,83.16,95.19,91.29,66.19,9.09,1.70,30.34,1626
0,9,brg5+mn4/4+rc(0.05,15)+link+cs0.85/cm1.6,74.57,93.81,86.54,77.38,59.09,1.00,22.13,1468
0,10,brg5+mn4/4+rc(0.10,15)+link+cs0.85/cm1.6,79.04,93.81,87.60,75.00,59.09,1.30,25.79,1536
0,11,brg5+mn4/4+rc(0.15,15)+link+cs0.85/cm1.6,83.51,94.50,88.65,70.48,50.00,1.50,27.50,1580
0,12,brg5+mn4/4+rc(0.05,15)+link+cs0.85/cm2.0,74.23,94.85,88.39,73.57,27.27,1.30,24.06,1548
0,13,brg5+mn4/4+rc(0.10,15)+link+cs0.85/cm2.0,79.04,94.50,88.92,71.43,27.27,1.50,26.96,1592
0,14,brg5+mn4/4+rc(0.15,15)+link+cs0.85/cm2.0,83.51,95.19,89.71,68.57,27.27,1.60,29.01,1616
0,15,brg5+mn4/4+rc(0.05,15)+link+cs0.85/cm2.4,74.23,95.53,91.29,70.00,9.09,1.45,27.08,1585
0,16,brg5+mn4/4+rc(0.10,15)+link+cs0.85/cm2.4,79.04,95.19,91.56,68.57,9.09,1.60,28.85,1614
0,17,brg5+mn4/4+rc(0.15,15)+link+cs0.85/cm2.4,83.51,95.19,91.29,66.19,9.09,1.70,30.50,1626
0,18,brg5+mn4/4+rc(0.05,15)+link+cs1.0/cm1.6,76.98,93.81,86.54,77.38,59.09,1.10,22.13,1468
0,19,brg5+mn4/4+rc(0.10,15)+link+cs1.0/cm1.6,80.76,93.81,87.60,75.00,59.09,1.30,25.62,1536
0,20,brg5+mn4/4+rc(0.15,15)+link+cs1.0/cm1.6,83.85,94.50,88.65,70.48,50.00,1.50,27.50,1580
0,21,brg5+mn4/4+rc(0.05,15)+link,76.63,94.85,88.39,73.57,27.27,1.30,24.06,1548
0,22,brg5+mn4/4+rc(0.10,15)+link,80.76,94.50,88.92,71.43,27.27,1.50,26.80,1592
0,23,brg5+mn4/4+rc(0.15,15)+link,83.85,95.19,89.71,68.57,27.27,1.60,29.01,1616
0,24,brg5+mn4/4+rc(0.05,15)+link+cs1.0/cm2.4,76.63,95.53,91.29,70.00,9.09,1.50,26.92,1585
0,25,brg5+mn4/4+rc(0.10,15)+link+cs1.0/cm2.4,80.76,95.19,91.56,68.57,9.09,1.65,28.53,1614
0,26,brg5+mn4/4+rc(0.15,15)+link+cs1.0/cm2.4,83.85,95.19,91.29,66.19,9.09,1.70,30.34,1626
0,27,brg5+mn4/4+rc(0.05,15)+link+cs1.15/cm1.6,78.35,93.81,86.54,77.38,59.09,1.10,21.96,1468
0,28,brg5+mn4/4+rc(0.10,15)+link+cs1.15/cm1.6,82.13,93.81,87.60,75.00,59.09,1.30,25.79,1536
0,29,brg5+mn4/4+rc(0.15,15)+link+cs1.15/cm1.6,84.54,94.50,88.65,70.48,50.00,1.50,27.66,1580
0,30,brg5+mn4/4+rc(0.05,15)+link+cs1.15/cm2.0,78.01,94.85,88.39,73.57,27.27,1.30,24.06,1548
0,31,brg5+mn4/4+rc(0.10,15)+link+cs1.15/cm2.0,82.13,94.50,88.92,71.43,27.27,1.45,26.96,1592
0,32,brg5+mn4/4+rc(0.15,15)+link+cs1.15/cm2.0,84.54,95.19,89.71,68.57,27.27,1.60,29.17,1616
0,33,brg5+mn4/4+rc(0.05,15)+link+cs1.15/cm2.4,78.01,95.53,91.29,70.00,9.09,1.50,26.76,1585
0,34,brg5+mn4/4+rc(0.10,15)+link+cs1.15/cm2.4,82.13,95.19,91.56,68.57,9.09,1.60,28.53,1614
0,35,brg5+mn4/4+rc(0.15,15)+link+cs1.15/cm2.4,84.19,95.19,91.29,66.19,9.09,1.70,30.50,1626
0,36,brg5+mn4/4+rc(0.05,15)+link+cs1.3/cm1.6,84.54,93.81,86.54,77.38,59.09,1.10,22.13,1468
0,37,brg5+mn4/4+rc(0.10,15)+link+cs1.3/cm1.6,86.60,93.81,87.60,75.00,59.09,1.30,25.79,1536
0,38,brg5+mn4/4+rc(0.15,15)+link+cs1.3/cm1.6,87.97,94.50,88.65,70.48,50.00,1.50,27.66,1580
0,39,brg5+mn4/4+rc(0.05,15)+link+cs1.3/cm2.0,84.19,94.85,88.39,73.57,27.27,1.30,23.90,1548
0,40,brg5+mn4/4+rc(0.10,15)+link+cs1.3/cm2.0,86.60,94.50,88.92,71.43,27.27,1.50,26.96,1592
0,41,brg5+mn4/4+rc(0.15,15)+link+cs1.3/cm2.0,87.97,95.19,89.71,68.57,27.27,1.60,29.17,1616
0,42,brg5+mn4/4+rc(0.05,15)+link+cs1.3/cm2.4,83.85,95.88,91.29,70.24,9.09,1.50,26.72,1585
