clip,cls,tier,typ,j,t_to_cpa,route,rc,cpa_ok,ins,d_pred,d_gt,dc,tc,adot,gt_adot,ddot,gt_cpa_d
fold31_room1_mix0001,4,critical,対向型,25,2.3,cpa,1,1,0,13.7,13.49,0.59,2.47,-0.017,0.0,-5.54,1.07
fold31_room1_mix0007,4,critical,対向型,32,3.8,cpa,0,1,0,21.25,29.63,0.78,2.1,0.017,0.0,-10.12,1.39
fold31_room1_mix0012,4,critical,対向型,51,2.9,cpa,1,1,0,14.41,15.37,1.08,2.14,0.035,0.0,-6.71,1.01
fold31_room1_mix0018,4,critical,対向型,41,2.1,cpa,1,1,0,12.35,12.58,0.47,1.08,0.035,0.0,-11.4,1.13
fold31_room1_mix0019,4,critical,対向型,44,0.5,cpa,0,1,0,3.75,3.52,0.37,0.51,-0.192,0.7853981633974483,-7.22,1.43
fold31_room1_mix0023,4,critical,対向型,23,6.5,rc,1,0,0,12.44,,1.92,2.92,0.052,,-4.16,0.84
fold31_room1_mix0026,4,critical,対向型,56,0.7,cpa,1,1,0,8.54,6.65,0.71,1.19,-0.07,0.17453292519943292,-7.11,0.71
fold31_room1_mix0041,4,critical,対向型,15,4.6,rc,1,0,0,12.09,11.71,1.07,5.06,-0.017,0.0,-2.37,0.82
fold31_room1_mix0041,4,critical,対向型,33,3.5,cpa,1,1,0,7.57,,0.26,1.98,0.017,,-3.81,1.17
fold31_room1_mix0046,4,critical,対向型,16,3.2,cpa,1,1,0,13.13,10.02,0.0,2.09,-0.0,0.0,-6.29,1.34
fold31_room1_mix0046,4,safe,すり抜け型,16,5.8,cpa,1,1,0,13.13,24.97,0.0,2.09,-0.0,0.08726646259971771,-6.29,14.33
fold31_room1_mix0052,4,critical,対向型,42,2.5,cpa,1,1,0,10.92,10.48,0.0,1.75,-0.0,0.0,-6.25,0.71
fold31_room1_mix0052,4,safe,すり抜け型,42,2.9,cpa,1,1,0,10.92,21.88,0.0,1.75,-0.0,0.17453292519943098,-6.25,7.98
fold31_room1_mix0056,4,critical,対向型,19,3.2,rc,1,0,0,8.92,9.0,0.55,3.54,0.017,0.0,-2.51,0.83
fold31_room1_mix0057,4,critical,対向型,31,5.2,rc,1,0,0,13.87,45.54,1.33,2.74,0.035,0.0,-5.02,1.37
fold31_room1_mix0059,4,critical,対向型,14,2.6,rc,1,0,0,12.27,13.31,1.6,1.85,-0.07,0.0,-6.53,1.11
fold31_room1_mix0060,4,critical,対向型,43,2.0,rc,1,0,0,12.99,13.66,1.76,1.92,0.07,0.0,-6.65,1.09
fold31_room1_mix0065,4,safe,すり抜け型,18,3.4,rc,1,0,0,10.87,11.9,3.86,9.5,0.035,0.1745329251994321,-1.0,10.12
fold31_room1_mix0065,4,safe,すり抜け型,18,2.7,rc,1,0,0,10.87,24.19,3.86,9.5,0.035,0.0,-1.0,4.01
fold31_room1_mix0067,4,critical,対向型,63,2.0,cpa,1,1,0,12.87,12.83,0.0,2.08,0.0,0.0,-6.19,0.69
fold31_room1_mix0071,4,critical,対向型,78,0.9,cpa,0,1,0,9.6,10.2,1.12,0.95,0.122,0.08726646259971646,-10.0,0.87
fold31_room1_mix0073,4,critical,対向型,42,3.1,cpa,1,1,0,14.07,15.18,0.51,2.07,0.017,0.0,-6.79,0.68
fold31_room1_mix0081,4,critical,対向型,48,2.9,rc,1,0,0,12.05,10.13,0.0,2.67,-0.0,0.0,-4.51,1.08
fold31_room1_mix0083,4,critical,対向型,36,3.0,rc,1,0,0,13.28,12.08,1.97,2.8,0.052,0.0,-4.63,1.05
