clip,cls,t_on,t_off,dur,d_on,d_off,snr_on,snr_off,t_cpa,d_cpa,cpa_in_window,sudden_on,sudden_off,noise,speed
fold1_room1_mix0002,bike_bell,2.665,7.47,4.805,16.721207228578777,9.441257655989167,18.55087019488539,23.515625781133124,6.800000000000001,9.145561150014208,1,1,1,51.503951190327626,3.4014451904820984
fold1_room1_mix0008,bike_bell,2.616,7.858,5.241999999999999,13.311946949980225,23.298644528455842,7.810546853748676,2.948765311820864,4.3,8.388905163443438,1,0,0,51.059754599703055,6.11829967023059
fold1_room1_mix0010,horn,2.141,7.086,4.945,15.773993824570637,31.573884009906614,32.526712413484454,26.49898555867592,3.2,13.529628192013691,1,1,1,58.58983668576543,7.4102325834191705
fold1_room1_mix0011,bike_bell,2.402,7.85,5.4479999999999995,14.696740922985217,15.60104967857651,9.556829029832727,9.038173402496213,4.9,12.697727416859456,1,0,0,56.28999445609635,3.022593256879307
fold1_room1_mix0011,bike_bell,4.664,8.987,4.323,9.055485688180505,22.05779554805413,12.458387162967753,4.725379994195393,3.3000000000000003,7.586345586773246,0,1,0,56.28999445609635,3.6473470435887227
fold1_room1_mix0013,horn,1.662,7.288,5.626,28.30802416286465,24.87205336906027,33.58157456280768,34.70553289706668,4.7,6.333012033126718,1,1,1,47.59526777992766,9.179918857387284
fold1_room1_mix0013,bike_bell,4.682,7.199,2.5169999999999995,12.616126424371812,17.655930289300752,19.53812873134796,16.618837269495323,4.7,12.615572086311,1,1,1,47.59526777992766,4.9564314759441395
fold1_room1_mix0015,siren,4.278,7.992,3.7140000000000004,25.40922227851251,25.1499663461885,62.79347343485411,62.88255271854706,6.1000000000000005,6.641227696273752,1,1,1,48.403313057810394,13.138851901087685
fold1_room1_mix0016,horn,5.447,8.042,2.5949999999999998,15.803216921114597,51.632627044597875,33.7234307359052,23.439856318413476,4.5,8.71192712050261,0,1,1,59.89213026808241,14.527371385082557
fold1_room1_mix0016,backup_beep,2.52,5.492,2.972,8.277158624807585,7.467253427882664,10.296983323727531,11.19139106887721,5.0,7.440612337888131,1,1,1,59.89213026808241,1.433720931673968
fold1_room1_mix0017,backup_beep,3.107,7.321,4.2139999999999995,7.057643982957013,8.913799727983717,14.267529136381597,12.239466629575887,4.3,6.659671882155967,1,1,1,50.06752481648522,1.960462375395263
fold1_room1_mix0018,siren,3.15,9.099,5.949,10.156220080325586,30.924439173201698,64.60933270823308,54.93793812784354,4.5,5.279625584919696,1,1,1,55.28342834939279,6.580875959836555
fold1_room1_mix0019,bike_bell,4.414,7.884,3.4700000000000006,13.311759423219641,23.976457376616246,25.75751124812468,20.646520159745975,4.9,12.855025130399536,1,1,1,42.84220535171368,6.829812896569688
