set,clip,tier,scenario,motion,n_fires,false_fires,car_lead,car_oracle
val,fold2_room1_mix001,caution,normal,static,1,0,3.91,4.91
val,fold2_room1_mix002,critical,normal,static,1,0,2.17,2.87
val,fold2_room1_mix003,caution,normal,walk,2,0,4.6,6.7
val,fold2_room1_mix004,critical,normal,walk,2,0,7.790000000000001,8.690000000000001
val,fold2_room1_mix005,critical,normal,walk,3,0,1.46,2.3600000000000003
val,fold2_room1_mix006,critical,normal,walk,2,0,6.35,7.25
val,fold2_room1_mix007,caution,normal,walk,2,0,5.279999999999999,6.28
val,fold2_room1_mix008,critical,normal,walk,2,0,2.92,3.9200000000000004
val,fold2_room1_mix009,safe,normal,walk,5,0,6.529999999999999,7.43
val,fold2_room1_mix010,critical,normal,walk,1,0,5.15,6.05
val,fold2_room1_mix011,caution,normal,walk,3,0,,2.77
val,fold2_room1_mix012,critical,normal,walk,6,0,4.98,5.88
val,fold2_room1_mix013,critical,normal,static,2,0,6.04,7.04
val,fold2_room1_mix014,caution,normal,walk,1,0,4.93,5.930000000000001
val,fold2_room1_mix015,safe,normal,walk,5,0,6.539999999999999,7.4399999999999995
val,fold2_room1_mix016,safe,normal,static,2,0,7.450000000000001,8.350000000000001
val,fold2_room1_mix017,caution,normal,static,2,0,3.46,4.0600000000000005
val,fold2_room1_mix018,caution,normal,static,1,0,2.1399999999999997,2.84
val,fold2_room1_mix019,safe,normal,static,7,0,5.539999999999999,6.64
val,fold2_room1_mix020,caution,normal,static,3,0,6.89,7.79
val,fold2_room1_mix021,safe,normal,static,2,0,,2.0300000000000002
val,fold2_room1_mix022,critical,normal,static,4,0,0.5999999999999996,1.4000000000000004
val,fold2_room1_mix023,critical,normal,static,2,0,6.77,7.67
val,fold2_room1_mix024,caution,normal,static,2,0,2.92,4.32
val,fold2_room1_mix025,caution,normal,static,3,0,,1.9100000000000001
val,fold2_room1_mix026,critical,normal,static,1,0,1.8900000000000006,2.6900000000000004
val,fold2_room1_mix027,critical,normal,walk,7,0,7.39,8.29
val,fold2_room1_mix028,caution,normal,walk,2,0,5.859999999999999,6.86
val,fold2_room1_mix029,caution,normal,walk,1,0,4.130000000000001,4.73
val,fold2_room1_mix030,caution,normal,walk,6,0,6.66,7.5600000000000005
val,fold2_room1_mix031,caution,normal,static,7,0,2.7800000000000002,3.0800000000000005
val,fold2_room1_mix032,critical,normal,static,4,0,4.8,5.4
val,fold2_room1_mix033,caution,normal,walk,3,0,1.4100000000000001,2.6099999999999994
val,fold2_room1_mix034,caution,normal,walk,4,0,6.52,7.42
