set,clip,tier,scenario,motion,n_fires,false_fires,car_lead,car_oracle
val,fold2_room1_mix0001,critical,v11core,walk,5,0,3.46,4.46
val,fold2_room1_mix0002,safe,v11core,static,6,0,6.709999999999999,7.609999999999999
val,fold2_room1_mix0003,safe,v11core,walk,1,0,1.46,2.8600000000000003
val,fold2_room1_mix0004,na,v11core,walk,2,0,,
val,fold2_room1_mix0005,caution,v11core,static,2,0,6.76,7.66
val,fold2_room1_mix0006,caution,v11core,static,1,0,3.130000000000001,3.9300000000000006
val,fold2_room1_mix0007,critical,v11core,walk,2,0,,0.9799999999999995
val,fold2_room1_mix0008,na,v11core,static,5,0,,
val,fold2_room1_mix0009,safe,v11core,static,2,0,1.9000000000000004,2.1000000000000005
val,fold2_room1_mix0010,safe,v11core,static,1,0,5.699999999999999,6.7
val,fold2_room1_mix0011,safe,v11core,static,2,0,3.7600000000000007,4.5600000000000005
val,fold2_room1_mix0012,critical,v11core,walk,4,0,5.73,6.63
val,fold2_room1_mix0013,caution,v11core,static,4,0,7.23,8.13
val,fold2_room1_mix0014,critical,v11core,walk,3,0,7.5600000000000005,8.56
val,fold2_room1_mix0015,caution,v11core,static,1,0,1.12,1.92
val,fold2_room1_mix0016,na,v11core,walk,1,0,,
val,fold2_room1_mix0017,safe,v11core,static,1,0,4.17,5.87
val,fold2_room1_mix0018,critical,v11core,walk,5,0,5.35,6.35
val,fold2_room1_mix0019,critical,v11core,static,1,0,0.8099999999999996,2.209999999999999
val,fold2_room1_mix0020,caution,v11core,walk,3,0,4.52,5.72
val,fold2_room1_mix0021,safe,v11core,walk,3,0,1.54,2.34
val,fold2_room1_mix0022,caution,v11core,walk,5,0,6.85,7.75
val,fold2_room1_mix0023,critical,v11core,walk,2,0,5.41,6.91
val,fold2_room1_mix0024,na,v11core,static,0,0,,
val,fold2_room1_mix0025,caution,v11core,walk,3,0,5.07,5.970000000000001
val,fold2_room1_mix0026,caution,v11core,static,5,0,5.46,6.66
val,fold2_room1_mix0027,na,v11core,walk,0,0,,
val,fold2_room1_mix0028,na,v11core,walk,2,0,,
val,fold2_room1_mix0029,caution,v11core,static,2,0,2.7199999999999998,3.42
val,fold2_room1_mix0030,na,v11core,walk,1,0,,
val,fold2_room1_mix0031,critical,v11core,static,3,0,4.86,5.86
val,fold2_room1_mix0032,safe,v11core,walk,2,0,6.91,7.81
val,fold2_room1_mix0033,caution,v11core,static,4,0,1.2999999999999998,2.0999999999999996
val,fold2_room1_mix0034,na,v11core,static,0,0,,
val,fold2_room1_mix0035,na,v11core,static,1,0,,
val,fold2_room1_mix0036,caution,v11core,walk,3,0,1.9399999999999995,2.639999999999999
val,fold2_room1_mix0037,safe,v11core,static,3,0,7.710000000000001,8.610000000000001
val,fold2_room1_mix0038,caution,v11core,static,1,0,2.6899999999999995,3.59
val,fold2_room1_mix0039,safe,v11core,walk,6,0,6.390000000000001,7.390000000000001
val,fold2_room1_mix0040,caution,v11core,static,4,0,3.2199999999999998,4.92
val,fold2_room1_mix0041,critical,v11core,walk,5,0,2.97,2.6700000000000004
val,fold2_room1_mix0042,na,v11core,static,0,0,,
val,fold2_room1_mix0043,safe,v11core,walk,3,0,0.8499999999999996,1.25
val,fold2_room1_mix0044,na,v11core,walk,1,0,,
val,fold2_room1_mix0045,safe,v11core,static,0,0,,1.7999999999999998
val,fold2_room1_mix0046,critical,v11core,static,2,0,7.64,8.74
val,fold2_room1_mix0047,caution,v11core,walk,5,0,6.17,7.069999999999999
val,fold2_room1_mix0048,safe,v11core,walk,4,0,6.13,7.13
val,fold2_room1_mix0049,caution,v11core,walk,3,0,3.0299999999999994,1.8299999999999992
val,fold2_room1_mix0050,caution,v11core,walk,1,0,5.289999999999999,6.29
val,fold2_room1_mix0051,safe,v11core,static,4,0,6.64,7.54
val,fold2_room1_mix0052,critical,v11core,walk,2,0,5.39,6.39
val,fold2_room1_mix0053,safe,v11core,walk,2,0,7.4399999999999995,8.44
val,fold2_room1_mix0054,caution,v11core,static,2,0,6.81,7.71
val,fold2_room1_mix0055,na,v11core,static,0,0,,
val,fold2_room1_mix0056,caution,v11core,walk,4,0,3.0999999999999996,4.1
val,fold2_room1_mix0057,critical,v11core,walk,5,0,4.289999999999999,5.29
val,fold2_room1_mix0058,na,v11core,walk,1,0,,
val,fold2_room1_mix0059,caution,v11core,static,8,0,6.26,7.260000000000001
val,fold2_room1_mix0060,critical,v11core,static,2,0,5.75,6.75
val,fold2_room1_mix0061,safe,v11core,static,2,0,6.6,7.6
val,fold2_room1_mix0062,na,v11core,walk,1,0,,
val,fold2_room1_mix0063,caution,v11core,walk,2,0,1.1899999999999995,2.59
val,fold2_room1_mix0064,caution,v11core,walk,1,0,5.11,6.11
val,fold2_room1_mix0065,safe,v11core,walk,2,0,6.88,7.68
val,fold2_room1_mix0066,safe,v11core,static,2,0,0.9899999999999998,2.79
val,fold2_room1_mix0067,critical,v11core,static,2,0,7.620000000000001,8.520000000000001
val,fold2_room1_mix0068,safe,v11core,static,1,0,2.08,2.5799999999999996
val,fold2_room1_mix0069,caution,v11core,walk,1,0,5.49,6.390000000000001
val,fold2_room1_mix0070,safe,v11core,static,5,0,7.079999999999999,8.18
val,fold2_room1_mix0071,critical,v11core,walk,1,0,2.500000000000001,3.3000000000000007
val,fold2_room1_mix0072,caution,v11core,static,2,0,7.069999999999999,3.0699999999999994
val,fold2_room1_mix0073,critical,v11core,walk,5,0,5.539999999999999,6.54
val,fold2_room1_mix0074,na,v11core,static,0,0,,
val,fold2_room1_mix0075,na,v11core,static,2,0,,
val,fold2_room1_mix0076,safe,v11core,static,8,0,7.15,3.55
val,fold2_room1_mix0077,safe,v11core,static,5,0,4.390000000000001,2.09
val,fold2_room1_mix0078,na,v11core,walk,0,0,,
val,fold2_room1_mix0079,safe,v11core,walk,8,0,7.550000000000001,8.55
val,fold2_room1_mix0080,caution,v11core,walk,2,0,7.15,8.55
val,fold2_room1_mix0081,critical,v11core,static,2,0,7.040000000000001,7.94
val,fold2_room1_mix0082,na,v11core,walk,2,0,,
val,fold2_room1_mix0083,critical,v11core,walk,1,0,2.1799999999999997,3.68
val,fold2_room1_mix0084,caution,v11core,static,1,0,5.44,6.340000000000001
val,fold2_room1_mix0085,na,v11core,walk,3,0,,
val,fold2_room1_mix0086,caution,v11core,walk,6,0,6.960000000000001,7.960000000000001
val,fold2_room1_mix0087,safe,v11core,static,3,0,2.3200000000000003,3.22
val,fold2_room1_mix0088,safe,v11core,walk,2,0,6.13,7.23
val,fold2_room1_mix0089,critical,v11core,walk,4,0,6.85,7.75
val,fold2_room1_mix0090,caution,v11core,static,2,0,6.88,7.78
val,fold2_room1_mix0091,na,v11core,static,4,0,,
val,fold2_room1_mix0092,na,v11core,walk,3,0,,
val,fold2_room1_mix0093,na,v11core,static,0,0,,
val,fold2_room1_mix0094,caution,v11core,walk,2,0,4.160000000000001,5.160000000000001
val,fold2_room1_mix0095,na,v11core,static,1,0,,
val,fold2_room1_mix0096,critical,v11core,walk,5,0,6.6899999999999995,7.59
val,fold2_room1_mix0097,critical,v11core,walk,1,0,4.63,5.33
val,fold2_room1_mix0098,critical,v11core,static,5,0,5.85,6.85
val,fold2_room1_mix0099,safe,v11core,walk,1,0,2.95,4.050000000000001
val,fold2_room1_mix0100,safe,v11core,static,2,0,,2.1399999999999997
val,fold2_room1_mix0101,critical,v11core,walk,3,0,1.1099999999999994,2.01
val,fold2_room1_mix0102,critical,v11core,walk,1,0,0.3199999999999994,1.12
val,fold2_room1_mix0103,na,v11core,walk,0,0,,
val,fold2_room1_mix0104,critical,v11core,static,3,0,5.6899999999999995,6.59
val,fold2_room1_mix0105,critical,v11core,static,5,0,5.53,6.33
val,fold2_room1_mix0106,caution,v11core,walk,5,0,5.880000000000001,6.880000000000001
val,fold2_room1_mix0107,safe,v11core,walk,4,0,6.42,7.42
val,fold2_room1_mix0108,safe,v11core,static,1,0,6.62,7.42
val,fold2_room1_mix0109,critical,v11core,walk,6,0,4.24,4.44
val,fold2_room1_mix0110,critical,v11core,static,4,0,6.7700000000000005,7.470000000000001
val,fold2_room1_mix0111,critical,v11core,static,3,0,,1.4299999999999997
val,fold2_room1_mix0112,na,v11core,static,2,0,,
val,fold2_room1_mix0113,na,v11core,walk,0,0,,
val,fold2_room1_mix0114,critical,v11core,walk,3,0,3.9000000000000004,4.800000000000001
val,fold2_room1_mix0115,caution,v11core,walk,0,0,,1.21
val,fold2_room1_mix0116,caution,v11core,walk,2,0,7.6,8.5
val,fold2_room1_mix0117,na,v11core,static,1,0,,
val,fold2_room1_mix0118,safe,v11core,static,6,0,6.42,3.3200000000000003
val,fold2_room1_mix0119,critical,v11core,static,5,0,6.84,7.74
val,fold2_room1_mix0120,safe,v11core,walk,2,0,5.45,6.550000000000001
val,fold2_room1_mix0121,critical,v11core,walk,1,0,2.2699999999999996,2.8699999999999997
val,fold2_room1_mix0122,critical,v11core,walk,2,0,6.0,6.9
val,fold2_room1_mix0123,critical,v11core,static,2,0,2.13,1.9299999999999997
val,fold2_room1_mix0124,critical,v11core,walk,1,0,3.5199999999999996,4.42
val,fold2_room1_mix0125,safe,v11core,static,1,0,1.7400000000000002,2.4399999999999995
val,fold2_room1_mix0126,caution,v11core,static,1,0,,1.3599999999999994
val,fold2_room1_mix0127,caution,v11core,walk,5,0,7.380000000000001,8.38
val,fold2_room1_mix0128,critical,v11core,walk,1,0,3.84,4.54
val,fold2_room1_mix0129,critical,v11core,walk,2,0,5.050000000000001,6.45
val,fold2_room1_mix0130,caution,v11core,static,1,0,5.4,6.4
