set,clip,tier,scenario,motion,n_fires,false_fires,car_lead,car_oracle
scenario,fold2_room9_mix001,na,intersection_siren,walk,5,0,,
scenario,fold2_room9_mix002,na,intersection_siren,walk,5,0,,
scenario,fold2_room9_mix003,na,intersection_siren,walk,5,0,,
scenario,fold2_room9_mix004,na,intersection_siren,walk,5,0,,
scenario,fold2_room9_mix005,na,intersection_siren,walk,5,0,,
scenario,fold2_room9_mix006,na,intersection_siren,walk,5,0,,
scenario,fold2_room9_mix007,na,intersection_siren,walk,5,0,,
scenario,fold2_room9_mix008,na,intersection_siren,walk,5,0,,
scenario,fold2_room9_mix009,na,intersection_siren,walk,5,0,,
scenario,fold2_room9_mix010,na,intersection_siren,walk,5,0,,
scenario,fold2_room9_mix011,na,intersection_siren,walk,5,0,,
scenario,fold2_room9_mix012,na,intersection_siren,walk,5,0,,
scenario,fold2_room9_mix013,na,intersection_siren,walk,5,0,,
scenario,fold2_room9_mix014,na,intersection_siren,walk,4,0,,
scenario,fold2_room9_mix015,na,intersection_siren,walk,5,0,,
scenario,fold2_room9_mix016,na,intersection_siren,walk,5,0,,
scenario,fold2_room9_mix017,na,intersection_siren,walk,5,0,,
scenario,fold2_room9_mix018,na,intersection_siren,walk,5,0,,
scenario,fold2_room9_mix019,na,intersection_siren,walk,5,0,,
scenario,fold2_room9_mix020,na,intersection_siren,walk,5,0,,
