=== v10.2 gen rows 321-704 (384 clips) ===
[gen] fold1_room2_mix322 static tier=critical car_drive+car_drive+car_drive noise=58.9dBA peak=0.003 (10s)
[gen] fold1_room2_mix323 walk tier=caution car_drive+car_drive+car_drive+horn noise=57.7dBA peak=0.047 (26s)
[gen] fold1_room2_mix324 walk tier=safe car_drive+car_drive+car_drive noise=54.0dBA peak=0.003 (18s)
[gen] fold1_room2_mix325 static tier=critical car_drive+car_drive+car_drive+backup_beep noise=56.1dBA peak=0.007 (19s)
[gen] fold1_room2_mix326 static tier=caution car_drive+car_drive+car_drive noise=53.0dBA peak=0.003 (13s)
[gen] fold1_room2_mix327 walk tier=safe car_drive+car_drive+car_drive+bike_bell noise=55.3dBA peak=0.004 (29s)
[gen] fold1_room2_mix328 walk tier=critical car_drive+car_drive+car_drive noise=63.5dBA peak=0.003 (12s)
[gen] fold1_room2_mix329 static tier=caution car_drive+car_drive+car_drive+crossing noise=61.7dBA peak=0.006 (17s)
[gen] fold1_room2_mix330 static tier=safe car_drive+car_drive+car_drive noise=42.8dBA peak=0.002 (14s)
[gen] fold1_room2_mix331 walk tier=critical car_drive+car_drive+car_drive+siren noise=60.9dBA peak=0.008 (12s)
[gen] fold1_room2_mix332 walk tier=caution car_drive+car_drive+car_drive noise=56.1dBA peak=0.004 (8s)
[gen] fold1_room2_mix333 static tier=safe car_drive+car_drive+car_drive+horn noise=59.7dBA peak=0.005 (11s)
[gen] fold1_room2_mix334 static tier=critical car_drive+car_drive+car_drive noise=52.5dBA peak=0.004 (12s)
[gen] fold1_room2_mix335 walk tier=caution car_drive+car_drive+car_drive+backup_beep noise=58.9dBA peak=0.005 (16s)
[gen] fold1_room2_mix336 walk tier=safe car_drive+car_drive+car_drive noise=44.1dBA peak=0.004 (12s)
[gen] fold1_room2_mix337 static tier=critical car_drive+car_drive+car_drive+bike_bell noise=64.5dBA peak=0.005 (21s)
[gen] fold1_room2_mix338 static tier=caution car_drive+car_drive+car_drive noise=63.4dBA peak=0.005 (10s)
[gen] fold1_room2_mix339 walk tier=safe car_drive+car_drive+car_drive+crossing noise=57.5dBA peak=0.005 (15s)
[gen] fold1_room2_mix340 walk tier=critical car_drive+car_drive+car_drive noise=45.9dBA peak=0.007 (11s)
[gen] fold1_room2_mix341 static tier=caution car_drive+car_drive+car_drive+siren noise=45.7dBA peak=0.048 (14s)
[gen] fold1_room2_mix342 static tier=safe car_drive+car_drive+car_drive noise=63.6dBA peak=0.002 (11s)
[gen] fold1_room2_mix343 walk tier=critical car_drive+car_drive+car_drive+horn noise=60.7dBA peak=0.045 (14s)
[gen] fold1_room2_mix344 walk tier=caution car_drive+car_drive+car_drive noise=44.9dBA peak=0.007 (10s)
[gen] fold1_room2_mix345 static tier=safe car_drive+car_drive+car_drive+backup_beep noise=59.2dBA peak=0.003 (12s)
[gen] fold1_room2_mix346 static tier=critical car_drive+car_drive+car_drive noise=65.0dBA peak=0.004 (8s)
[321-704] 25/384 355s elapsed, 14.20s/clip
[gen] fold1_room2_mix347 walk tier=caution car_drive+car_drive+car_drive+bike_bell noise=64.1dBA peak=0.003 (17s)
[gen] fold1_room2_mix348 walk tier=safe car_drive+car_drive+car_drive noise=55.4dBA peak=0.008 (8s)
[gen] fold1_room2_mix349 static tier=critical car_drive+car_drive+car_drive+crossing noise=61.2dBA peak=0.005 (14s)
[gen] fold1_room2_mix350 static tier=caution car_drive+car_drive+car_drive noise=64.7dBA peak=0.003 (11s)
[gen] fold1_room2_mix351 walk tier=safe car_drive+car_drive+car_drive+siren noise=63.2dBA peak=0.015 (16s)
[gen] fold1_room2_mix352 walk tier=critical car_drive+car_drive+car_drive noise=61.5dBA peak=0.005 (12s)
[gen] fold1_room2_mix353 static tier=caution car_drive+car_drive+car_drive+horn noise=40.1dBA peak=0.010 (10s)
[gen] fold1_room2_mix354 static tier=safe car_drive+car_drive+car_drive noise=50.1dBA peak=0.002 (7s)
[gen] fold1_room2_mix355 walk tier=critical car_drive+car_drive+car_drive+backup_beep noise=44.9dBA peak=0.005 (9s)
