=== v10_2ctrl gen rows 0-843 (844 clips) ===
[gen] fold1_room3_mix001 static tier=critical car_drive noise=46.0dBA peak=0.003 (3s)
[gen] fold1_room3_mix002 walk tier=caution car_drive noise=45.7dBA peak=0.001 (4s)
[gen] fold1_room3_mix003 static tier=safe car_drive noise=46.6dBA peak=0.001 (4s)
[gen] fold1_room3_mix004 walk tier=critical car_drive noise=52.3dBA peak=0.004 (4s)
[gen] fold1_room3_mix005 static tier=caution car_drive noise=55.8dBA peak=0.002 (4s)
[gen] fold1_room3_mix006 walk tier=safe car_drive noise=64.4dBA peak=0.001 (4s)
[gen] fold1_room3_mix007 static tier=critical car_drive noise=57.2dBA peak=0.003 (4s)
[gen] fold1_room3_mix008 walk tier=caution car_drive noise=40.3dBA peak=0.003 (4s)
[gen] fold1_room3_mix009 static tier=safe car_drive noise=47.4dBA peak=0.001 (4s)
[gen] fold1_room3_mix010 walk tier=critical car_drive noise=46.5dBA peak=0.004 (5s)
[gen] fold1_room3_mix011 static tier=caution car_drive noise=41.0dBA peak=0.002 (4s)
[gen] fold1_room3_mix012 walk tier=safe car_drive noise=50.6dBA peak=0.001 (5s)
[gen] fold1_room3_mix013 static tier=critical car_drive noise=48.8dBA peak=0.005 (4s)
[gen] fold1_room3_mix014 walk tier=caution car_drive noise=46.4dBA peak=0.003 (4s)
[gen] fold1_room3_mix015 static tier=safe car_drive noise=62.0dBA peak=0.001 (4s)
[gen] fold1_room3_mix016 walk tier=critical car_drive noise=56.9dBA peak=0.004 (4s)
[gen] fold1_room3_mix017 static tier=caution car_drive noise=54.8dBA peak=0.003 (4s)
[gen] fold1_room3_mix018 walk tier=safe car_drive noise=61.1dBA peak=0.001 (4s)
[gen] fold1_room3_mix019 static tier=critical car_drive noise=61.8dBA peak=0.003 (4s)
[gen] fold1_room3_mix020 walk tier=caution car_drive noise=56.6dBA peak=0.003 (5s)
[gen] fold1_room3_mix021 static tier=safe car_drive noise=54.4dBA peak=0.002 (5s)
[gen] fold1_room3_mix022 walk tier=critical car_drive noise=54.5dBA peak=0.003 (4s)
[gen] fold1_room3_mix023 static tier=caution car_drive noise=40.1dBA peak=0.001 (4s)
[gen] fold1_room3_mix024 walk tier=safe car_drive noise=44.2dBA peak=0.001 (4s)
[gen] fold1_room3_mix025 static tier=critical car_drive noise=45.4dBA peak=0.003 (4s)
[0-843] 25/844 105s elapsed, 4.21s/clip
[gen] fold1_room3_mix026 walk tier=caution car_drive noise=55.8dBA peak=0.003 (3s)
[gen] fold1_room3_mix027 static tier=safe car_drive noise=42.2dBA peak=0.001 (3s)
[gen] fold1_room3_mix028 walk tier=critical car_drive noise=49.0dBA peak=0.005 (3s)
[gen] fold1_room3_mix029 static tier=caution car_drive noise=53.9dBA peak=0.003 (3s)
[gen] fold1_room3_mix030 walk tier=safe car_drive noise=46.0dBA peak=0.000 (3s)
[gen] fold1_room3_mix031 static tier=critical car_drive noise=60.8dBA peak=0.004 (3s)
[gen] fold1_room3_mix032 walk tier=caution car_drive noise=55.8dBA peak=0.002 (4s)
[gen] fold1_room3_mix033 static tier=safe car_drive noise=55.2dBA peak=0.000 (3s)
[gen] fold1_room3_mix034 walk tier=critical car_drive noise=57.7dBA peak=0.005 (4s)
[gen] fold1_room3_mix035 static tier=caution car_drive noise=44.4dBA peak=0.002 (3s)
[gen] fold1_room3_mix036 walk tier=safe car_drive noise=44.8dBA peak=0.001 (4s)
[gen] fold1_room3_mix037 static tier=critical car_drive noise=57.5dBA peak=0.006 (4s)
[gen] fold1_room3_mix038 walk tier=caution car_drive noise=51.1dBA peak=0.002 (4s)
[gen] fold1_room3_mix039 static tier=safe car_drive noise=41.4dBA peak=0.000 (4s)
[gen] fold1_room3_mix040 walk tier=critical car_drive noise=49.7dBA peak=0.005 (3s)
[gen] fold1_room3_mix041 static tier=caution car_drive noise=41.9dBA peak=0.003 (4s)
[gen] fold1_room3_mix042 walk tier=safe car_drive noise=55.8dBA peak=0.002 (3s)
[gen] fold1_room3_mix043 static tier=critical car_drive noise=52.7dBA peak=0.007 (3s)
[gen] fold1_room3_mix044 walk tier=caution car_drive noise=57.4dBA peak=0.002 (3s)
[gen] fold1_room3_mix045 static tier=safe car_drive noise=62.4dBA peak=0.001 (3s)
[gen] fold1_room3_mix046 walk tier=critical car_drive noise=53.0dBA peak=0.002 (4s)
[gen] fold1_room3_mix047 static tier=caution car_drive noise=63.3dBA peak=0.003 (4s)
[gen] fold1_room3_mix048 walk tier=safe car_drive noise=53.2dBA peak=0.001 (4s)
[gen] fold1_room3_mix049 static tier=critical car_drive noise=46.9dBA peak=0.004 (4s)
[gen] fold1_room3_mix050 walk tier=caution car_drive noise=53.9dBA peak=0.002 (4s)
[0-843] 50/844 193s elapsed, 3.86s/clip
[gen] fold1_room3_mix051 static tier=safe car_drive noise=46.1dBA peak=0.001 (4s)
[gen] fold1_room3_mix052 walk tier=critical car_drive noise=42.4dBA peak=0.004 (4s)
[gen] fold1_room3_mix053 static tier=caution car_drive noise=49.1dBA peak=0.003 (4s)
[gen] fold1_room3_mix054 walk tier=safe car_drive noise=42.9dBA peak=0.001 (5s)
[gen] fold1_room3_mix055 static tier=critical car_drive noise=40.9dBA peak=0.004 (4s)
[gen] fold1_room3_mix056 walk tier=caution car_drive noise=48.4dBA peak=0.002 (6s)
[gen] fold1_room3_mix057 static tier=safe car_drive noise=46.2dBA peak=0.000 (4s)
[gen] fold1_room3_mix058 walk tier=critical car_drive noise=46.3dBA peak=0.003 (4s)
[gen] fold1_room3_mix059 static tier=caution car_drive noise=52.7dBA peak=0.002 (6s)
[gen] fold1_room3_mix060 walk tier=safe car_drive noise=49.7dBA peak=0.000 (6s)
[gen] fold1_room3_mix061 static tier=critical car_drive noise=49.2dBA peak=0.003 (4s)
[gen] fold1_room3_mix062 walk tier=caution car_drive noise=60.6dBA peak=0.002 (5s)
[gen] fold1_room3_mix063 static tier=safe car_drive noise=58.2dBA peak=0.001 (5s)
[gen] fold1_room3_mix064 walk tier=critical car_drive noise=44.9dBA peak=0.004 (5s)
[gen] fold1_room3_mix065 static tier=caution car_drive noise=41.8dBA peak=0.002 (4s)
[gen] fold1_room3_mix066 walk tier=safe car_drive noise=61.3dBA peak=0.001 (5s)
[gen] fold1_room3_mix067 static tier=critical car_drive noise=50.8dBA peak=0.004 (4s)
[gen] fold1_room3_mix068 walk tier=caution car_drive noise=48.0dBA peak=0.002 (4s)
[gen] fold1_room3_mix069 static tier=safe car_drive noise=42.8dBA peak=0.002 (4s)
[gen] fold1_room3_mix070 walk tier=critical car_drive noise=49.8dBA peak=0.003 (5s)
[gen] fold1_room3_mix071 static tier=caution car_drive noise=53.3dBA peak=0.001 (4s)
[gen] fold1_room3_mix072 walk tier=safe car_drive noise=64.0dBA peak=0.001 (4s)
[gen] fold1_room3_mix073 static tier=critical car_drive noise=48.2dBA peak=0.003 (5s)
[gen] fold1_room3_mix074 walk tier=caution car_drive noise=52.0dBA peak=0.002 (4s)
[gen] fold1_room3_mix075 static tier=safe car_drive noise=62.4dBA peak=0.001 (4s)
[0-843] 75/844 308s elapsed, 4.11s/clip
