=== v10_2ctrl gen rows 75-843 (769 clips) ===
[gen] fold1_room3_mix076 walk tier=critical car_drive noise=59.3dBA peak=0.004 (9s)
[gen] fold1_room3_mix077 static tier=caution car_drive noise=57.1dBA peak=0.003 (6s)
[gen] fold1_room3_mix078 walk tier=safe car_drive noise=61.8dBA peak=0.001 (7s)
[gen] fold1_room3_mix079 static tier=critical car_drive noise=42.9dBA peak=0.007 (6s)
[gen] fold1_room3_mix080 walk tier=caution car_drive noise=54.7dBA peak=0.001 (7s)
[gen] fold1_room3_mix081 static tier=safe car_drive noise=60.8dBA peak=0.002 (6s)
[gen] fold1_room3_mix082 walk tier=critical car_drive noise=41.3dBA peak=0.003 (4s)
[gen] fold1_room3_mix083 static tier=caution car_drive noise=49.5dBA peak=0.002 (5s)
[gen] fold1_room3_mix084 walk tier=safe car_drive noise=44.0dBA peak=0.001 (5s)
[gen] fold1_room3_mix085 static tier=critical car_drive noise=45.5dBA peak=0.005 (4s)
[gen] fold1_room3_mix086 walk tier=caution car_drive noise=59.3dBA peak=0.002 (4s)
[gen] fold1_room3_mix087 static tier=safe car_drive noise=55.7dBA peak=0.000 (4s)
[gen] fold1_room3_mix088 walk tier=critical car_drive noise=45.6dBA peak=0.005 (4s)
[gen] fold1_room3_mix089 static tier=caution car_drive noise=48.2dBA peak=0.002 (4s)
[gen] fold1_room3_mix090 walk tier=safe car_drive noise=58.1dBA peak=0.001 (4s)
[gen] fold1_room3_mix091 static tier=critical car_drive noise=53.4dBA peak=0.003 (4s)
[gen] fold1_room3_mix092 walk tier=caution car_drive noise=62.5dBA peak=0.002 (4s)
[gen] fold1_room3_mix093 static tier=safe car_drive noise=56.5dBA peak=0.001 (3s)
[gen] fold1_room3_mix094 walk tier=critical car_drive noise=61.8dBA peak=0.003 (4s)
[gen] fold1_room3_mix095 static tier=caution car_drive noise=46.1dBA peak=0.002 (4s)
[gen] fold1_room3_mix096 walk tier=safe car_drive noise=42.1dBA peak=0.000 (4s)
[gen] fold1_room3_mix097 static tier=critical car_drive noise=45.4dBA peak=0.003 (3s)
[gen] fold1_room3_mix098 walk tier=caution car_drive noise=46.2dBA peak=0.002 (4s)
[gen] fold1_room3_mix099 static tier=safe car_drive noise=50.3dBA peak=0.001 (4s)
[gen] fold1_room3_mix100 walk tier=critical car_drive noise=49.6dBA peak=0.005 (3s)
[75-843] 25/769 118s elapsed, 4.72s/clip
[gen] fold1_room3_mix101 static tier=caution car_drive noise=42.6dBA peak=0.003 (3s)
[gen] fold1_room3_mix102 walk tier=safe car_drive noise=62.9dBA peak=0.001 (3s)
[gen] fold1_room3_mix103 static tier=critical car_drive noise=60.4dBA peak=0.004 (3s)
[gen] fold1_room3_mix104 walk tier=caution car_drive noise=49.6dBA peak=0.003 (3s)
[gen] fold1_room3_mix105 static tier=safe car_drive noise=51.1dBA peak=0.002 (3s)
[gen] fold1_room3_mix106 walk tier=critical car_drive noise=40.6dBA peak=0.006 (3s)
[gen] fold1_room3_mix107 static tier=caution car_drive noise=40.4dBA peak=0.002 (3s)
[gen] fold1_room3_mix108 walk tier=safe car_drive noise=54.3dBA peak=0.001 (3s)
[gen] fold1_room3_mix109 static tier=critical car_drive noise=41.0dBA peak=0.004 (2s)
[gen] fold1_room3_mix110 walk tier=caution car_drive noise=44.3dBA peak=0.002 (3s)
[gen] fold1_room3_mix111 static tier=safe car_drive noise=58.7dBA peak=0.001 (2s)
[gen] fold1_room3_mix112 walk tier=critical car_drive noise=50.2dBA peak=0.002 (2s)
[gen] fold1_room3_mix113 static tier=caution car_drive noise=60.1dBA peak=0.001 (3s)
[gen] fold1_room3_mix114 walk tier=safe car_drive noise=44.9dBA peak=0.001 (3s)
[gen] fold1_room3_mix115 static tier=critical car_drive noise=43.2dBA peak=0.004 (3s)
[gen] fold1_room3_mix116 walk tier=caution car_drive noise=45.8dBA peak=0.004 (3s)
[gen] fold1_room3_mix117 static tier=safe car_drive noise=62.7dBA peak=0.001 (3s)
[gen] fold1_room3_mix118 walk tier=critical car_drive noise=62.2dBA peak=0.002 (3s)
[gen] fold1_room3_mix119 static tier=caution car_drive noise=52.6dBA peak=0.003 (3s)
[gen] fold1_room3_mix120 walk tier=safe car_drive noise=55.7dBA peak=0.001 (3s)
[gen] fold1_room3_mix121 static tier=critical car_drive noise=42.1dBA peak=0.004 (3s)
[gen] fold1_room3_mix122 walk tier=caution car_drive noise=48.6dBA peak=0.002 (3s)
[gen] fold1_room3_mix123 static tier=safe car_drive noise=47.8dBA peak=0.001 (2s)
