=== v11 gen rows 50-3599 (3550 clips) ===
[gen] fold1_room1_mix0051 walk tier=critical car_drive noise=54.5dBA peak=0.006 (3s)
[gen] fold1_room1_mix0052 walk tier=critical car_drive+car_drive noise=40.7dBA peak=0.006 (5s)
[gen] fold1_room1_mix0053 walk tier=caution car_drive+car_drive+car_drive noise=64.9dBA peak=0.003 (7s)
[gen] fold1_room1_mix0054 walk tier=critical car_drive+siren+bike_bell noise=46.6dBA peak=0.005 (17s)
[gen] fold1_room1_mix0055 walk tier=na siren noise=45.9dBA peak=0.050 (3s)
[gen] fold1_room1_mix0056 static tier=critical car_drive+car_drive+bike_bell+bike_bell noise=44.2dBA peak=0.005 (11s)
[gen] fold1_room1_mix0057 static tier=na bike_bell noise=56.0dBA peak=0.000 (13s)
[gen] fold1_room1_mix0058 static tier=critical car_drive+bike_bell noise=58.6dBA peak=0.005 (7s)
[gen] fold1_room1_mix0059 walk tier=safe car_drive+siren+horn noise=50.2dBA peak=0.302 (8s)
[gen] fold1_room1_mix0060 static tier=caution car_drive+car_drive+car_drive noise=61.5dBA peak=0.004 (8s)
[gen] fold1_room1_mix0061 walk tier=safe car_drive+bike_bell+crossing noise=59.3dBA peak=0.001 (18s)
[gen] fold1_room1_mix0062 walk tier=safe car_drive+car_drive+crossing noise=63.7dBA peak=0.003 (9s)
[gen] fold1_room1_mix0063 static tier=safe car_drive+car_drive+car_drive+crossing noise=59.5dBA peak=0.004 (10s)
[gen] fold1_room1_mix0064 static tier=caution car_drive+car_drive+car_drive noise=46.5dBA peak=0.003 (7s)
[gen] fold1_room1_mix0065 static tier=caution car_drive noise=41.8dBA peak=0.004 (3s)
[gen] fold1_room1_mix0066 walk tier=caution car_drive+car_drive noise=61.9dBA peak=0.005 (5s)
[gen] fold1_room1_mix0067 static tier=critical car_drive+bike_bell noise=52.6dBA peak=0.002 (14s)
[gen] fold1_room1_mix0068 static tier=safe car_drive noise=57.2dBA peak=0.001 (3s)
[gen] fold1_room1_mix0069 static tier=caution car_drive+backup_beep noise=56.5dBA peak=0.002 (5s)
[gen] fold1_room1_mix0070 walk tier=safe car_drive+car_drive+siren+backup_beep noise=60.9dBA peak=0.058 (11s)
[gen] fold1_room1_mix0071 static tier=caution car_drive+bike_bell+bike_bell noise=62.2dBA peak=0.001 (18s)
[gen] fold1_room1_mix0072 static tier=critical car_drive+car_drive+backup_beep noise=60.3dBA peak=0.006 (7s)
[gen] fold1_room1_mix0073 walk tier=critical car_drive+car_drive+backup_beep noise=51.2dBA peak=0.006 (7s)
[gen] fold1_room1_mix0074 static tier=critical car_drive noise=43.3dBA peak=0.003 (3s)
[gen] fold1_room1_mix0075 walk tier=na none noise=64.7dBA peak=0.001 (0s)
[50-3599] 25/3550 200s elapsed, 8.01s/clip
[gen] fold1_room1_mix0076 static tier=safe car_drive+bike_bell noise=46.6dBA peak=0.001 (13s)
[gen] fold1_room1_mix0077 walk tier=critical car_drive+car_drive+bike_bell noise=56.6dBA peak=0.006 (16s)
[gen] fold1_room1_mix0078 static tier=caution car_drive+crossing noise=61.9dBA peak=0.002 (6s)
[gen] fold1_room1_mix0079 static tier=na bike_bell noise=46.8dBA peak=0.002 (3s)
[gen] fold1_room1_mix0080 walk tier=critical car_drive+car_drive+car_drive noise=40.8dBA peak=0.004 (8s)
[gen] fold1_room1_mix0081 static tier=safe car_drive noise=49.0dBA peak=0.001 (3s)
[gen] fold1_room1_mix0082 static tier=critical car_drive noise=56.6dBA peak=0.004 (2s)
[gen] fold1_room1_mix0083 walk tier=na siren noise=52.5dBA peak=0.226 (3s)
[gen] fold1_room1_mix0084 static tier=critical car_drive noise=61.1dBA peak=0.010 (2s)
[gen] fold1_room1_mix0085 static tier=na none noise=61.2dBA peak=0.000 (0s)
[gen] fold1_room1_mix0086 walk tier=safe car_drive+horn+crossing noise=42.1dBA peak=0.022 (9s)
[gen] fold1_room1_mix0087 walk tier=safe car_drive+backup_beep noise=64.4dBA peak=0.001 (5s)
[gen] fold1_room1_mix0088 static tier=safe car_drive+car_drive+siren noise=50.6dBA peak=0.127 (7s)
[gen] fold1_room1_mix0089 static tier=safe car_drive noise=44.0dBA peak=0.001 (2s)
[gen] fold1_room1_mix0090 walk tier=na none noise=51.2dBA peak=0.000 (0s)
[gen] fold1_room1_mix0091 walk tier=safe car_drive noise=58.8dBA peak=0.001 (3s)
[gen] fold1_room1_mix0092 static tier=caution car_drive+car_drive+siren+siren noise=51.8dBA peak=0.103 (9s)
[gen] fold1_room1_mix0093 static tier=safe car_drive+horn+bike_bell noise=59.2dBA peak=0.007 (17s)
[gen] fold1_room1_mix0094 static tier=safe car_drive+bike_bell noise=51.3dBA peak=0.001 (14s)
[gen] fold1_room1_mix0095 walk tier=critical car_drive+siren+siren noise=60.4dBA peak=0.129 (7s)
[gen] fold1_room1_mix0096 walk tier=na siren noise=49.6dBA peak=0.018 (2s)
[gen] fold1_room1_mix0097 walk tier=critical car_drive+siren noise=44.9dBA peak=0.020 (5s)
[gen] fold1_room1_mix0098 walk tier=safe car_drive+backup_beep noise=43.8dBA peak=0.001 (6s)
[gen] fold1_room1_mix0099 static tier=caution car_drive noise=47.2dBA peak=0.002 (3s)
[gen] fold1_room1_mix0100 static tier=caution car_drive+bike_bell noise=43.6dBA peak=0.003 (6s)
[50-3599] 50/3550 354s elapsed, 7.07s/clip
[gen] fold1_room1_mix0101 walk tier=safe car_drive+bike_bell+crossing noise=63.4dBA peak=0.003 (9s)
[gen] fold1_room1_mix0102 walk tier=critical car_drive+car_drive noise=61.7dBA peak=0.007 (5s)
