=== v11eval gen rows 1623-3245 (1623 clips) ===
[gen] fold5_room5_mix0024 static tier=na siren noise=60.5dBA peak=0.028 (2s)
[gen] fold5_room5_mix0025 static tier=na siren noise=60.1dBA peak=0.008 (2s)
[gen] fold5_room5_mix0026 static tier=na siren noise=64.5dBA peak=0.011 (3s)
[gen] fold5_room5_mix0027 static tier=na siren noise=60.2dBA peak=0.106 (2s)
[gen] fold5_room5_mix0028 static tier=na siren noise=61.3dBA peak=0.033 (2s)
[gen] fold5_room5_mix0029 static tier=na siren noise=62.0dBA peak=0.024 (2s)
[gen] fold5_room5_mix0030 static tier=na siren noise=63.7dBA peak=0.070 (2s)
[gen] fold5_room5_mix0031 static tier=na siren noise=60.1dBA peak=0.068 (3s)
[gen] fold5_room5_mix0032 static tier=na siren noise=60.2dBA peak=0.011 (2s)
[gen] fold5_room5_mix0033 static tier=na siren noise=60.8dBA peak=0.020 (3s)
[gen] fold5_room5_mix0034 static tier=na siren noise=62.5dBA peak=0.012 (2s)
[gen] fold5_room5_mix0035 static tier=na siren noise=63.4dBA peak=0.080 (3s)
[gen] fold5_room5_mix0036 static tier=na siren noise=60.7dBA peak=0.176 (3s)
[gen] fold5_room5_mix0037 static tier=na siren noise=60.6dBA peak=0.051 (2s)
[gen] fold5_room5_mix0038 static tier=na siren noise=62.2dBA peak=0.081 (3s)
[gen] fold5_room5_mix0039 static tier=na siren noise=61.0dBA peak=0.149 (3s)
[gen] fold5_room5_mix0040 static tier=na siren noise=62.4dBA peak=0.012 (3s)
[gen] fold5_room5_mix0041 static tier=na siren noise=61.2dBA peak=0.022 (2s)
[gen] fold5_room5_mix0042 static tier=na siren noise=62.2dBA peak=0.022 (3s)
[gen] fold5_room5_mix0043 static tier=na siren noise=63.1dBA peak=0.047 (2s)
[gen] fold5_room5_mix0044 static tier=na siren noise=63.9dBA peak=0.111 (3s)
[gen] fold5_room5_mix0045 static tier=na siren noise=64.7dBA peak=0.150 (3s)
[gen] fold5_room5_mix0046 static tier=na siren noise=62.4dBA peak=0.199 (3s)
[gen] fold5_room5_mix0047 static tier=na siren noise=63.2dBA peak=0.004 (4s)
[gen] fold5_room5_mix0048 static tier=na siren noise=62.8dBA peak=0.016 (3s)
[1623-3245] 25/1623 68s elapsed, 2.72s/clip
[gen] fold5_room5_mix0049 static tier=na siren noise=64.3dBA peak=0.189 (2s)
[gen] fold5_room5_mix0050 static tier=na siren noise=64.2dBA peak=0.101 (3s)
[gen] fold5_room5_mix0051 static tier=na siren noise=60.8dBA peak=0.049 (3s)
[gen] fold5_room5_mix0052 static tier=na siren noise=61.7dBA peak=0.111 (3s)
[gen] fold5_room5_mix0053 static tier=na siren noise=60.8dBA peak=0.254 (2s)
[gen] fold5_room5_mix0054 static tier=na siren noise=62.5dBA peak=0.089 (3s)
[gen] fold5_room5_mix0055 static tier=na siren noise=63.9dBA peak=0.045 (2s)
[gen] fold5_room5_mix0056 static tier=na siren noise=61.5dBA peak=0.016 (2s)
[gen] fold5_room5_mix0057 static tier=na siren noise=60.5dBA peak=0.008 (3s)
[gen] fold5_room5_mix0058 static tier=na siren noise=61.6dBA peak=0.041 (2s)
[gen] fold5_room5_mix0059 static tier=na siren noise=61.2dBA peak=0.098 (3s)
[gen] fold5_room5_mix0060 static tier=na siren noise=60.2dBA peak=0.102 (2s)
[gen] fold5_room5_mix0061 static tier=na siren noise=60.7dBA peak=0.016 (2s)
[gen] fold5_room5_mix0062 static tier=na siren noise=61.4dBA peak=0.046 (3s)
[gen] fold5_room5_mix0063 static tier=na siren noise=63.0dBA peak=0.042 (2s)
[gen] fold5_room5_mix0064 static tier=na siren noise=63.6dBA peak=0.015 (3s)
[gen] fold5_room5_mix0065 static tier=na siren noise=64.2dBA peak=0.140 (2s)
[gen] fold5_room5_mix0066 static tier=na siren noise=64.0dBA peak=0.007 (2s)
[gen] fold5_room5_mix0067 static tier=na siren noise=64.6dBA peak=0.038 (3s)
[gen] fold5_room5_mix0068 static tier=na siren noise=63.4dBA peak=0.014 (2s)
[gen] fold5_room5_mix0069 static tier=na siren noise=64.5dBA peak=0.029 (3s)
[gen] fold5_room5_mix0070 static tier=na siren noise=62.4dBA peak=0.049 (2s)
[gen] fold5_room5_mix0071 static tier=na siren noise=63.9dBA peak=0.039 (3s)
[gen] fold5_room5_mix0072 static tier=na siren noise=64.1dBA peak=0.011 (2s)
[gen] fold5_room5_mix0073 static tier=na siren noise=63.2dBA peak=0.101 (2s)
[1623-3245] 50/1623 132s elapsed, 2.64s/clip
[gen] fold5_room5_mix0074 static tier=na siren noise=60.4dBA peak=0.009 (3s)
[gen] fold5_room5_mix0075 static tier=na siren noise=61.7dBA peak=0.035 (2s)
[gen] fold5_room5_mix0076 static tier=na siren noise=64.5dBA peak=0.012 (3s)
[gen] fold5_room5_mix0077 static tier=na siren noise=64.6dBA peak=0.139 (2s)
