clip,track,category,frame,trig_az,own_az,own_azdiff,other_track,other_dist,verdict
fold20_room1_mix0012,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0014,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0020,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0031,0,B2(他車帰属),53,-103,55,158.0,1,0.78,正当(他所に実在の重大車)
fold20_room1_mix0046,0,B2(他車帰属),46,-102,-178,76.0,2,0.90,正当(他所に実在の重大車)
fold20_room1_mix0049,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0065,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0096,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0098,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0099,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0102,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0105,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0110,0,帰属不能トリガのみ(episode監査対象),,,,,,,
fold20_room1_mix0111,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0120,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0123,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0129,0,B2(他車帰属),83,73,100,27.0,1,2.99,中間(他車は注意域)
fold20_room1_mix0134,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0162,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0163,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0182,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0184,0,B2(他車帰属),68,55,-24,79.0,1,0.71,正当(他所に実在の重大車)
fold20_room1_mix0189,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0198,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0200,0,B2(他車帰属),81,76,156,80.0,2,1.11,正当(他所に実在の重大車)
fold20_room1_mix0203,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0203,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0208,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0210,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0219,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0226,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0247,0,B3(自GT行なしフレームのみで発火),,,,,,,
fold20_room1_mix0255,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0257,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0260,0,B3(自GT行なしフレームのみで発火),,,,,,,
fold20_room1_mix0261,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0272,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0281,1,B2(他車帰属),87,50,-6,56.0,0,1.02,正当(他所に実在の重大車)
fold20_room1_mix0289,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0306,1,B2(他車帰属),60,-86,-175,89.0,0,1.09,正当(他所に実在の重大車)
fold20_room1_mix0317,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0326,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0330,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0340,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0349,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0353,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0358,2,B2(他車帰属),78,-33,9,42.0,0,1.17,正当(他所に実在の重大車)
fold20_room1_mix0361,0,B2(他車帰属),45,-68,10,78.0,2,1.21,正当(他所に実在の重大車)
fold20_room1_mix0383,2,B2(他車帰属),66,77,-178,105.0,0,1.33,正当(他所に実在の重大車)
fold20_room1_mix0403,1,B2(他車帰属),62,59,166,107.0,0,1.37,正当(他所に実在の重大車)
fold20_room1_mix0414,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0415,2,B2(他車帰属),65,71,-20,91.0,0,1.08,正当(他所に実在の重大車)
fold20_room1_mix0418,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0450,2,B2(他車帰属),66,63,-4,67.0,0,1.49,正当(他所に実在の重大車)
fold20_room1_mix0469,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0469,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0491,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0506,0,B2(他車帰属),85,-30,-65,35.0,1,2.08,中間(他車は注意域)
fold20_room1_mix0508,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0515,2,B2(他車帰属),81,82,142,60.0,0,1.67,中間(他車は注意域)
fold20_room1_mix0518,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0525,1,B2(他車帰属),80,104,-118,138.0,0,1.04,正当(他所に実在の重大車)
fold20_room1_mix0527,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0547,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0551,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0555,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0556,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0568,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0568,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0572,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0573,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0591,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0595,2,B2(他車帰属),74,-109,165,86.0,0,0.70,正当(他所に実在の重大車)
fold20_room1_mix0600,1,B2(他車帰属),51,143,1,142.0,0,1.11,正当(他所に実在の重大車)
fold20_room1_mix0624,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0630,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0630,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0635,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0638,2,B2(他車帰属),81,62,-4,66.0,1,1.31,正当(他所に実在の重大車)
fold20_room1_mix0645,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0653,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0674,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0693,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0700,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0702,1,A(強トリガ未成立),,,,,,,
fold20_room1_mix0708,0,A(強トリガ未成立),,,,,,,
fold20_room1_mix0725,2,A(強トリガ未成立),,,,,,,
fold20_room1_mix0727,0,B2(他車帰属),59,-120,25,145.0,2,1.44,正当(他所に実在の重大車)
fold20_room1_mix0727,1,B2(他車帰属),59,-120,176,64.0,2,1.44,正当(他所に実在の重大車)
fold20_room1_mix0732,0,B1(±25°内で最近傍負け),50,-129,-146,17.0,1,,
fold20_room1_mix0732,2,B2(他車帰属),50,-129,-49,80.0,1,6.95,スチール(他車は安全域)
fold20_room1_mix0740,1,A(強トリガ未成立),,,,,,,
