frame,class,snr_a_db
0,4,-8.54
1,4,-5.0
2,4,-3.9
3,4,-4.08
4,4,-4.2
5,4,-4.46
6,4,-3.19
7,4,-3.58
8,4,-3.65
9,4,-2.58
10,4,-1.91
11,4,-2.73
12,4,-3.87
13,4,-1.76
14,4,-1.66
15,4,-2.37
16,4,-2.12
17,4,-1.61
18,4,-2.51
19,4,-0.97
20,4,-1.33
21,4,-1.75
22,4,-0.57
23,4,-0.05
24,4,-0.28
25,4,-0.2
26,4,-0.25
27,4,-1.21
28,4,-1.69
29,4,-0.38
30,4,-0.9
31,4,-0.33
32,4,-0.42
33,4,0.12
34,4,0.07
35,4,-0.26
36,4,0.46
37,4,1.1
38,4,0.65
39,4,1.35
40,4,1.68
41,4,1.97
42,4,2.26
43,4,1.43
44,4,3.2
45,4,3.76
46,4,2.96
47,4,3.52
48,4,3.41
49,4,4.13
50,4,4.56
51,4,3.63
52,4,5.09
53,4,4.22
54,4,5.41
55,4,5.9
56,4,5.7
57,4,6.06
58,4,6.67
59,4,7.69
60,4,7.51
61,4,7.32
62,4,7.26
63,4,7.9
64,4,8.91
65,4,7.9
66,4,8.35
67,4,8.54
68,4,10.53
69,4,10.76
70,4,11.79
71,4,11.33
72,4,11.63
73,4,12.07
74,4,13.79
75,4,14.32
76,4,14.84
77,4,15.61
78,4,16.64
79,4,16.49
80,4,17.45
81,4,18.28
82,4,18.09
83,4,18.28
84,4,18.25
85,4,17.69
86,4,17.26
87,4,16.11
88,4,15.31
89,4,14.58
90,4,14.01
91,4,12.81
92,4,12.29
93,4,11.14
94,4,11.86
95,4,10.75
96,4,11.48
97,4,10.82
98,4,9.73
99,4,10.31
0,0,28.05
1,0,28.88
2,0,29.14
3,0,29.31
4,0,29.23
5,0,28.98
6,0,29.47
7,0,29.16
8,0,28.77
9,0,29.62
10,0,30.35
11,0,29.51
12,0,29.06
13,0,30.47
14,0,30.18
15,0,29.63
16,0,29.95
17,0,30.06
18,0,29.71
19,0,30.22
20,0,29.82
21,0,29.98
22,0,30.38
23,0,31.09
24,0,30.48
25,0,30.82
26,0,30.62
27,0,30.69
28,0,29.86
29,0,31.17
30,0,30.68
31,0,30.88
32,0,31.08
33,0,30.97
34,0,31.1
35,0,30.63
36,0,31.22
37,0,31.63
38,0,31.67
39,0,31.6
40,0,32.12
41,0,32.25
42,0,32.19
43,0,31.84
44,0,32.11
45,0,32.77
46,0,32.2
47,0,31.97
48,0,31.81
49,0,32.45
50,0,32.77
51,0,32.58
52,0,32.98
53,0,32.68
54,0,32.93
55,0,33.21
56,0,32.86
57,0,32.98
58,0,33.1
59,0,33.8
60,0,33.43
61,0,33.24
62,0,33.32
63,0,33.84
64,0,34.22
65,0,33.51
66,0,33.29
67,0,33.51
68,0,34.0
69,0,34.1
70,0,34.62
71,0,33.84
72,0,34.12
73,0,33.33
74,0,34.92
75,0,34.67
76,0,34.45
77,0,34.71
78,0,35.2
79,0,34.75
80,0,34.71
81,0,35.7
82,0,35.87
83,0,35.53
84,0,36.02
85,0,35.99
86,0,36.1
87,0,35.99
88,0,36.08
89,0,36.31
90,0,36.57
91,0,36.36
92,0,36.07
93,0,35.92
94,0,36.72
95,0,36.27
96,0,37.63
97,0,37.21
98,0,37.21
99,0,37.98
0,1,-503.6
1,1,-502.82
2,1,-502.62
3,1,-502.53
4,1,-502.65
5,1,-502.86
6,1,-502.31
7,1,-502.69
8,1,-503.13
9,1,-502.35
10,1,-501.68
11,1,-502.57
12,1,-503.33
13,1,-501.98
14,1,-502.37
15,1,-502.94
16,1,-502.72
17,1,-502.65
18,1,-502.94
19,1,-502.39
20,1,-502.86
21,1,-502.77
22,1,-502.43
23,1,-501.79
24,1,-502.48
25,1,-502.45
26,1,-502.68
27,1,-502.71
28,1,32.94
29,1,37.43
30,1,-502.91
31,1,-502.65
32,1,-502.42
33,1,-502.6
34,1,-502.55
35,1,-503.09
36,1,-502.57
37,1,-502.27
38,1,-502.49
39,1,-502.63
40,1,-502.19
41,1,-502.15
42,1,-502.27
43,1,-502.73
44,1,-502.35
45,1,-501.7
46,1,-502.36
47,1,-502.66
48,1,-502.89
49,1,-502.34
50,1,-502.15
51,1,-502.57
52,1,-502.28
53,1,-502.63
54,1,-502.49
55,1,-502.26
56,1,-502.71
57,1,-502.53
58,1,-502.42
59,1,-501.8
60,1,-502.27
61,1,-502.55
62,1,-502.55
63,1,-502.19
64,1,-502.0
65,1,-502.83
66,1,-503.11
67,1,-502.98
68,1,-502.58
69,1,-502.57
70,1,-502.02
71,1,-502.86
72,1,-502.66
73,1,-503.54
74,1,-502.05
75,1,-502.4
76,1,-502.75
77,1,-502.68
78,1,-502.28
79,1,-502.84
80,1,-502.96
81,1,-502.09
82,1,-501.99
83,1,-502.35
84,1,-501.95
85,1,-502.08
86,1,-502.07
87,1,-502.28
88,1,-502.29
89,1,-502.19
90,1,-502.07
91,1,-502.38
92,1,-502.79
93,1,-503.02
94,1,-502.35
95,1,-502.87
96,1,-501.6
97,1,-502.14
98,1,-502.25
99,1,-501.59
