frame,class,snr_a_db
0,4,-511.17
1,4,-28.32
2,4,-15.89
3,4,-17.01
4,4,-17.33
5,4,-16.03
6,4,-15.76
7,4,-15.8
8,4,-15.9
9,4,-15.54
10,4,-15.12
11,4,-15.22
12,4,-16.43
13,4,-15.17
14,4,-16.39
15,4,-14.66
16,4,-14.93
17,4,-15.01
18,4,-15.3
19,4,-15.36
20,4,-14.71
21,4,-13.75
22,4,-15.34
23,4,-15.3
24,4,-15.15
25,4,-13.99
26,4,-14.49
27,4,-16.25
28,4,-13.78
29,4,-13.78
30,4,-13.92
31,4,-13.67
32,4,-14.35
33,4,-12.91
34,4,-13.05
35,4,-12.98
36,4,-13.04
37,4,-12.65
38,4,-12.47
39,4,-11.96
40,4,-12.41
41,4,-11.38
42,4,-10.83
43,4,-10.27
44,4,-10.43
45,4,-9.72
46,4,-8.11
47,4,-8.63
48,4,-6.27
49,4,-6.72
50,4,-6.11
51,4,-5.39
52,4,-4.01
53,4,-3.59
54,4,-3.2
55,4,-2.74
56,4,-2.87
57,4,-1.71
58,4,-0.59
59,4,1.1
60,4,1.03
61,4,2.62
62,4,3.83
63,4,4.93
64,4,6.1
65,4,8.34
66,4,11.35
67,4,14.3
68,4,18.66
69,4,16.82
70,4,13.16
71,4,10.06
72,4,7.23
73,4,5.32
74,4,4.19
75,4,3.19
76,4,2.22
77,4,0.25
78,4,0.11
79,4,-1.42
80,4,-2.58
81,4,-1.85
82,4,-3.06
83,4,-2.99
84,4,-4.28
85,4,-4.73
86,4,-4.55
87,4,-5.92
88,4,-5.68
89,4,-7.67
90,4,-7.2
91,4,-8.82
92,4,-8.56
93,4,-9.78
94,4,-10.74
95,4,-10.85
96,4,-11.36
97,4,-12.29
98,4,-12.37
99,4,-11.83
0,5,-0.78
1,5,-4.46
2,5,-8.12
3,5,-8.71
4,5,-8.18
5,5,-2.13
6,5,-7.43
7,5,-9.62
8,5,-9.97
9,5,-2.6
10,5,-2.92
11,5,-8.37
12,5,-8.33
13,5,-8.79
14,5,0.33
15,5,-3.74
16,5,-7.16
17,5,-6.11
18,5,-0.48
19,5,0.91
20,5,-6.47
21,5,-3.98
22,5,-6.28
23,5,3.36
24,5,-0.97
25,5,-4.81
26,5,-4.01
27,5,-1.77
28,5,3.85
29,5,-3.39
30,5,-3.31
31,5,-3.75
32,5,3.76
33,5,1.91
34,5,-4.23
35,5,-2.13
36,5,-2.43
37,5,6.23
38,5,-1.63
39,5,-2.45
40,5,-3.05
41,5,3.99
42,5,3.31
43,5,-3.84
44,5,-3.08
45,5,-4.16
46,5,6.51
47,5,-0.32
48,5,-2.57
49,5,-2.47
50,5,2.43
51,5,4.24
52,5,-3.01
53,5,-2.54
54,5,-3.18
55,5,5.53
56,5,0.43
57,5,-3.87
58,5,-1.94
59,5,1.22
60,5,4.0
61,5,-3.04
62,5,-3.03
63,5,-3.41
64,5,3.92
65,5,1.17
66,5,-4.75
67,5,-3.41
68,5,-2.77
69,5,3.7
70,5,-2.94
71,5,-4.19
72,5,-4.52
73,5,2.05
74,5,1.33
75,5,-6.69
76,5,-3.86
77,5,-7.07
78,5,3.53
79,5,-3.41
80,5,-5.94
81,5,-4.29
82,5,0.46
83,5,0.34
84,5,-6.61
85,5,-5.77
86,5,-5.77
87,5,1.9
88,5,-2.34
89,5,-7.81
90,5,-5.5
91,5,-2.5
92,5,0.77
93,5,-7.35
94,5,-6.99
95,5,-7.03
96,5,0.56
97,5,-3.44
98,5,-8.7
99,5,-6.61
